"RasLBockPtiteVingnenne50x - RawData"
"Wavelength nm.","Abs."
190.00,2.337
191.00,2.630
192.00,2.749
193.00,2.754
194.00,2.936
195.00,2.931
196.00,2.979
197.00,2.929
198.00,3.044
199.00,2.958
200.00,2.967
201.00,2.855
202.00,2.780
203.00,2.716
204.00,2.615
205.00,2.515
206.00,2.410
207.00,2.303
208.00,2.204
209.00,2.108
210.00,2.013
211.00,1.931
212.00,1.847
213.00,1.766
214.00,1.690
215.00,1.622
216.00,1.553
217.00,1.487
218.00,1.424
219.00,1.361
220.00,1.302
221.00,1.247
222.00,1.194
223.00,1.141
224.00,1.088
225.00,1.038
226.00,0.987
227.00,0.936
228.00,0.885
229.00,0.838
230.00,0.793
231.00,0.752
232.00,0.715
233.00,0.681
234.00,0.652
235.00,0.627
236.00,0.605
237.00,0.586
238.00,0.570
239.00,0.556
240.00,0.544
241.00,0.534
242.00,0.526
243.00,0.520
244.00,0.516
245.00,0.512
246.00,0.510
247.00,0.509
248.00,0.509
249.00,0.509
250.00,0.510
251.00,0.512
252.00,0.514
253.00,0.516
254.00,0.519
255.00,0.521
256.00,0.524
257.00,0.526
258.00,0.527
259.00,0.528
260.00,0.529
261.00,0.530
262.00,0.531
263.00,0.533
264.00,0.534
265.00,0.534
266.00,0.535
267.00,0.535
268.00,0.534
269.00,0.532
270.00,0.529
271.00,0.526
272.00,0.522
273.00,0.518
274.00,0.512
275.00,0.506
276.00,0.500
277.00,0.492
278.00,0.484
279.00,0.475
280.00,0.466
281.00,0.457
282.00,0.446
283.00,0.435
284.00,0.423
285.00,0.410
286.00,0.398
287.00,0.386
288.00,0.373
289.00,0.360
290.00,0.347
291.00,0.334
292.00,0.321
293.00,0.310
294.00,0.301
295.00,0.292
296.00,0.284
297.00,0.276
298.00,0.269
299.00,0.262
300.00,0.255
301.00,0.249
302.00,0.244
303.00,0.239
304.00,0.235
305.00,0.232
306.00,0.228
307.00,0.225
308.00,0.222
309.00,0.219
310.00,0.217
311.00,0.214
312.00,0.212
313.00,0.210
314.00,0.208
315.00,0.206
316.00,0.204
317.00,0.202
318.00,0.200
319.00,0.198
320.00,0.196
321.00,0.194
322.00,0.192
323.00,0.190
324.00,0.188
325.00,0.185
326.00,0.182
327.00,0.180
328.00,0.177
329.00,0.174
330.00,0.171
331.00,0.168
332.00,0.165
333.00,0.162
334.00,0.159
335.00,0.155
336.00,0.153
337.00,0.150
338.00,0.146
339.00,0.143
340.00,0.140
341.00,0.136
342.00,0.133
343.00,0.130
344.00,0.127
345.00,0.124
346.00,0.121
347.00,0.119
348.00,0.116
349.00,0.113
350.00,0.111
351.00,0.108
352.00,0.106
353.00,0.104
354.00,0.102
355.00,0.100
356.00,0.098
357.00,0.096
358.00,0.094
359.00,0.092
360.00,0.091
361.00,0.089
362.00,0.088
363.00,0.086
364.00,0.084
365.00,0.083
366.00,0.082
367.00,0.081
368.00,0.079
369.00,0.078
370.00,0.077
371.00,0.076
372.00,0.075
373.00,0.074
374.00,0.073
375.00,0.072
376.00,0.072
377.00,0.071
378.00,0.070
379.00,0.069
380.00,0.068
381.00,0.068
382.00,0.067
383.00,0.066
384.00,0.066
385.00,0.065
386.00,0.065
387.00,0.064
388.00,0.064
389.00,0.064
390.00,0.063
391.00,0.063
392.00,0.062
393.00,0.062
394.00,0.062
395.00,0.061
396.00,0.061
397.00,0.061
398.00,0.060
399.00,0.060
400.00,0.060
401.00,0.060
402.00,0.059
403.00,0.059
404.00,0.059
405.00,0.059
406.00,0.059
407.00,0.058
408.00,0.058
409.00,0.058
410.00,0.058
411.00,0.058
412.00,0.058
413.00,0.057
414.00,0.057
415.00,0.057
416.00,0.057
417.00,0.057
418.00,0.057
419.00,0.057
420.00,0.057
421.00,0.057
422.00,0.057
423.00,0.057
424.00,0.056
425.00,0.056
426.00,0.056
427.00,0.056
428.00,0.056
429.00,0.056
430.00,0.056
431.00,0.056
432.00,0.056
433.00,0.056
434.00,0.055
435.00,0.055
436.00,0.055
437.00,0.055
438.00,0.055
439.00,0.055
440.00,0.055
441.00,0.055
442.00,0.055
443.00,0.055
444.00,0.055
445.00,0.055
446.00,0.055
447.00,0.055
448.00,0.054
449.00,0.054
450.00,0.054
451.00,0.054
452.00,0.054
453.00,0.054
454.00,0.054
455.00,0.054
456.00,0.054
457.00,0.054
458.00,0.054
459.00,0.054
460.00,0.054
461.00,0.054
462.00,0.054
463.00,0.054
464.00,0.054
465.00,0.054
466.00,0.054
467.00,0.054
468.00,0.054
469.00,0.054
470.00,0.054
471.00,0.054
472.00,0.054
473.00,0.054
474.00,0.054
475.00,0.054
476.00,0.054
477.00,0.054
478.00,0.054
479.00,0.054
480.00,0.054
481.00,0.054
482.00,0.054
483.00,0.054
484.00,0.054
485.00,0.054
486.00,0.055
487.00,0.055
488.00,0.055
489.00,0.055
490.00,0.055
491.00,0.055
492.00,0.055
493.00,0.055
494.00,0.055
495.00,0.055
496.00,0.055
497.00,0.055
498.00,0.055
