"RiverbendKolsch_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.676
191.00,3.436
192.00,3.418
193.00,3.669
194.00,3.605
195.00,3.773
196.00,3.877
197.00,3.835
198.00,3.484
199.00,3.581
200.00,3.646
201.00,3.571
202.00,3.517
203.00,3.238
204.00,3.139
205.00,3.011
206.00,2.905
207.00,2.783
208.00,2.650
209.00,2.535
210.00,2.419
211.00,2.317
212.00,2.220
213.00,2.117
214.00,2.020
215.00,1.933
216.00,1.846
217.00,1.767
218.00,1.686
219.00,1.607
220.00,1.531
221.00,1.461
222.00,1.394
223.00,1.328
224.00,1.261
225.00,1.198
226.00,1.134
227.00,1.069
228.00,1.006
229.00,0.950
230.00,0.899
231.00,0.853
232.00,0.812
233.00,0.777
234.00,0.747
235.00,0.722
236.00,0.701
237.00,0.683
238.00,0.669
239.00,0.658
240.00,0.649
241.00,0.642
242.00,0.638
243.00,0.635
244.00,0.634
245.00,0.634
246.00,0.634
247.00,0.636
248.00,0.638
249.00,0.641
250.00,0.645
251.00,0.648
252.00,0.653
253.00,0.657
254.00,0.661
255.00,0.665
256.00,0.668
257.00,0.671
258.00,0.672
259.00,0.673
260.00,0.673
261.00,0.672
262.00,0.672
263.00,0.672
264.00,0.671
265.00,0.669
266.00,0.667
267.00,0.665
268.00,0.663
269.00,0.659
270.00,0.653
271.00,0.647
272.00,0.639
273.00,0.630
274.00,0.621
275.00,0.611
276.00,0.601
277.00,0.589
278.00,0.577
279.00,0.564
280.00,0.551
281.00,0.537
282.00,0.522
283.00,0.505
284.00,0.489
285.00,0.471
286.00,0.455
287.00,0.439
288.00,0.422
289.00,0.406
290.00,0.388
291.00,0.371
292.00,0.356
293.00,0.342
294.00,0.331
295.00,0.321
296.00,0.313
297.00,0.305
298.00,0.298
299.00,0.292
300.00,0.287
301.00,0.282
302.00,0.278
303.00,0.273
304.00,0.270
305.00,0.267
306.00,0.264
307.00,0.261
308.00,0.258
309.00,0.256
310.00,0.254
311.00,0.252
312.00,0.250
313.00,0.248
314.00,0.246
315.00,0.244
316.00,0.243
317.00,0.241
318.00,0.239
319.00,0.237
320.00,0.235
321.00,0.233
322.00,0.231
323.00,0.229
324.00,0.227
325.00,0.224
326.00,0.222
327.00,0.220
328.00,0.217
329.00,0.214
330.00,0.211
331.00,0.209
332.00,0.206
333.00,0.203
334.00,0.200
335.00,0.198
336.00,0.195
337.00,0.192
338.00,0.189
339.00,0.186
340.00,0.184
341.00,0.180
342.00,0.176
343.00,0.174
344.00,0.171
345.00,0.169
346.00,0.166
347.00,0.163
348.00,0.160
349.00,0.158
350.00,0.155
351.00,0.153
352.00,0.150
353.00,0.148
354.00,0.146
355.00,0.144
356.00,0.141
357.00,0.139
358.00,0.137
359.00,0.135
360.00,0.133
361.00,0.132
362.00,0.129
363.00,0.128
364.00,0.127
365.00,0.125
366.00,0.123
367.00,0.122
368.00,0.120
369.00,0.119
370.00,0.117
371.00,0.116
372.00,0.114
373.00,0.113
374.00,0.112
375.00,0.111
376.00,0.109
377.00,0.108
378.00,0.107
379.00,0.106
380.00,0.104
381.00,0.103
382.00,0.102
383.00,0.101
384.00,0.100
385.00,0.099
386.00,0.098
387.00,0.098
388.00,0.097
389.00,0.096
390.00,0.095
391.00,0.094
392.00,0.093
393.00,0.092
394.00,0.092
395.00,0.091
396.00,0.090
397.00,0.090
398.00,0.089
399.00,0.088
400.00,0.088
401.00,0.087
402.00,0.087
403.00,0.086
404.00,0.086
405.00,0.085
406.00,0.085
407.00,0.084
408.00,0.084
409.00,0.083
410.00,0.083
411.00,0.083
412.00,0.082
413.00,0.082
414.00,0.081
415.00,0.081
416.00,0.081
417.00,0.081
418.00,0.080
419.00,0.080
420.00,0.080
421.00,0.080
422.00,0.079
423.00,0.079
424.00,0.079
425.00,0.079
426.00,0.078
427.00,0.078
428.00,0.078
429.00,0.078
430.00,0.078
431.00,0.077
432.00,0.077
433.00,0.077
434.00,0.077
435.00,0.077
436.00,0.076
437.00,0.076
438.00,0.076
439.00,0.076
440.00,0.076
441.00,0.076
442.00,0.076
443.00,0.075
444.00,0.075
445.00,0.075
446.00,0.075
447.00,0.075
448.00,0.075
449.00,0.074
450.00,0.074
451.00,0.074
452.00,0.074
453.00,0.074
454.00,0.074
455.00,0.074
456.00,0.074
457.00,0.074
458.00,0.073
459.00,0.073
460.00,0.073
461.00,0.073
462.00,0.073
463.00,0.073
464.00,0.073
465.00,0.073
466.00,0.073
467.00,0.073
468.00,0.072
469.00,0.072
470.00,0.072
471.00,0.072
472.00,0.072
473.00,0.072
474.00,0.072
475.00,0.072
476.00,0.072
477.00,0.072
478.00,0.072
479.00,0.071
480.00,0.071
481.00,0.071
482.00,0.071
483.00,0.071
484.00,0.071
485.00,0.071
486.00,0.071
487.00,0.071
488.00,0.071
489.00,0.071
490.00,0.071
491.00,0.070
492.00,0.070
493.00,0.070
494.00,0.070
495.00,0.070
496.00,0.070
497.00,0.070
498.00,0.070
499.00,0.070
500.00,0.070
501.00,0.070
502.00,0.070
503.00,0.069
504.00,0.069
505.00,0.069
506.00,0.069
507.00,0.069
508.00,0.069
509.00,0.069
510.00,0.069
511.00,0.069
512.00,0.069
513.00,0.069
514.00,0.069
515.00,0.069
516.00,0.069
517.00,0.068
518.00,0.068
519.00,0.068
520.00,0.068
521.00,0.068
522.00,0.068
523.00,0.068
524.00,0.068
525.00,0.068
526.00,0.068
527.00,0.068
528.00,0.068
529.00,0.068
530.00,0.068
531.00,0.068
532.00,0.068
533.00,0.067
534.00,0.067
535.00,0.067
536.00,0.068
537.00,0.067
538.00,0.067
539.00,0.067
540.00,0.067
541.00,0.067
542.00,0.067
543.00,0.067
544.00,0.067
545.00,0.067
546.00,0.067
547.00,0.067
548.00,0.067
549.00,0.067
550.00,0.066
551.00,0.066
552.00,0.066
553.00,0.066
554.00,0.066
555.00,0.066
556.00,0.066
557.00,0.066
558.00,0.066
559.00,0.066
560.00,0.066
561.00,0.066
562.00,0.066
563.00,0.066
564.00,0.066
565.00,0.066
566.00,0.066
567.00,0.066
