"RiverbendPorter_100x - RawData"
"Wavelength nm.","Abs."
190.00,3.791
191.00,3.526
192.00,3.788
193.00,3.378
194.00,3.147
195.00,3.149
196.00,3.078
197.00,3.023
198.00,2.961
199.00,2.803
200.00,2.764
201.00,2.649
202.00,2.569
203.00,2.485
204.00,2.406
205.00,2.303
206.00,2.215
207.00,2.139
208.00,2.061
209.00,1.978
210.00,1.903
211.00,1.828
212.00,1.759
213.00,1.690
214.00,1.625
215.00,1.565
216.00,1.506
217.00,1.450
218.00,1.395
219.00,1.342
220.00,1.291
221.00,1.246
222.00,1.201
223.00,1.157
224.00,1.114
225.00,1.074
226.00,1.035
227.00,0.996
228.00,0.959
229.00,0.923
230.00,0.889
231.00,0.856
232.00,0.826
233.00,0.798
234.00,0.772
235.00,0.749
236.00,0.727
237.00,0.707
238.00,0.688
239.00,0.672
240.00,0.657
241.00,0.643
242.00,0.632
243.00,0.623
244.00,0.615
245.00,0.609
246.00,0.603
247.00,0.598
248.00,0.594
249.00,0.591
250.00,0.589
251.00,0.588
252.00,0.587
253.00,0.587
254.00,0.588
255.00,0.589
256.00,0.590
257.00,0.592
258.00,0.594
259.00,0.596
260.00,0.598
261.00,0.600
262.00,0.603
263.00,0.605
264.00,0.608
265.00,0.610
266.00,0.612
267.00,0.615
268.00,0.617
269.00,0.618
270.00,0.618
271.00,0.618
272.00,0.617
273.00,0.616
274.00,0.614
275.00,0.611
276.00,0.608
277.00,0.603
278.00,0.598
279.00,0.593
280.00,0.586
281.00,0.579
282.00,0.572
283.00,0.563
284.00,0.554
285.00,0.544
286.00,0.534
287.00,0.524
288.00,0.513
289.00,0.502
290.00,0.490
291.00,0.479
292.00,0.469
293.00,0.459
294.00,0.450
295.00,0.442
296.00,0.435
297.00,0.428
298.00,0.421
299.00,0.414
300.00,0.408
301.00,0.402
302.00,0.396
303.00,0.390
304.00,0.385
305.00,0.380
306.00,0.375
307.00,0.369
308.00,0.364
309.00,0.360
310.00,0.355
311.00,0.350
312.00,0.346
313.00,0.342
314.00,0.338
315.00,0.334
316.00,0.330
317.00,0.327
318.00,0.322
319.00,0.319
320.00,0.315
321.00,0.311
322.00,0.307
323.00,0.304
324.00,0.300
325.00,0.296
326.00,0.293
327.00,0.289
328.00,0.285
329.00,0.281
330.00,0.277
331.00,0.273
332.00,0.269
333.00,0.265
334.00,0.261
335.00,0.258
336.00,0.254
337.00,0.251
338.00,0.247
339.00,0.244
340.00,0.240
341.00,0.236
342.00,0.232
343.00,0.228
344.00,0.225
345.00,0.222
346.00,0.219
347.00,0.215
348.00,0.212
349.00,0.209
350.00,0.206
351.00,0.203
352.00,0.200
353.00,0.197
354.00,0.194
355.00,0.192
356.00,0.189
357.00,0.187
358.00,0.184
359.00,0.181
360.00,0.179
361.00,0.176
362.00,0.174
363.00,0.172
364.00,0.170
365.00,0.168
366.00,0.166
367.00,0.164
368.00,0.162
369.00,0.160
370.00,0.158
371.00,0.156
372.00,0.154
373.00,0.153
374.00,0.151
375.00,0.149
376.00,0.148
377.00,0.146
378.00,0.144
379.00,0.143
380.00,0.141
381.00,0.139
382.00,0.138
383.00,0.137
384.00,0.135
385.00,0.133
386.00,0.132
387.00,0.131
388.00,0.130
389.00,0.128
390.00,0.127
391.00,0.125
392.00,0.124
393.00,0.123
394.00,0.122
395.00,0.120
396.00,0.119
397.00,0.118
398.00,0.117
399.00,0.116
400.00,0.115
401.00,0.114
402.00,0.113
403.00,0.112
404.00,0.111
405.00,0.110
406.00,0.109
407.00,0.108
408.00,0.107
409.00,0.106
410.00,0.106
411.00,0.105
412.00,0.104
413.00,0.103
414.00,0.102
415.00,0.102
416.00,0.101
417.00,0.100
418.00,0.099
419.00,0.099
420.00,0.098
421.00,0.097
422.00,0.097
423.00,0.096
424.00,0.095
425.00,0.095
426.00,0.094
427.00,0.093
428.00,0.093
429.00,0.092
430.00,0.092
431.00,0.091
432.00,0.090
433.00,0.090
434.00,0.089
435.00,0.089
436.00,0.088
437.00,0.087
438.00,0.087
439.00,0.086
440.00,0.086
441.00,0.086
442.00,0.085
443.00,0.084
444.00,0.084
445.00,0.084
446.00,0.083
447.00,0.082
448.00,0.082
449.00,0.082
450.00,0.081
451.00,0.081
452.00,0.080
453.00,0.080
454.00,0.080
455.00,0.079
456.00,0.079
457.00,0.078
458.00,0.078
459.00,0.077
460.00,0.077
461.00,0.077
462.00,0.076
463.00,0.076
464.00,0.076
465.00,0.075
466.00,0.075
467.00,0.074
468.00,0.074
469.00,0.074
470.00,0.073
471.00,0.073
472.00,0.073
473.00,0.072
474.00,0.072
475.00,0.072
476.00,0.071
477.00,0.071
478.00,0.071
479.00,0.070
480.00,0.070
481.00,0.069
482.00,0.069
483.00,0.069
484.00,0.069
485.00,0.068
486.00,0.068
487.00,0.068
488.00,0.067
489.00,0.067
490.00,0.067
491.00,0.066
492.00,0.066
493.00,0.066
494.00,0.066
495.00,0.065
496.00,0.065
497.00,0.065
498.00,0.064
499.00,0.064
500.00,0.064
501.00,0.064
502.00,0.063
503.00,0.063
504.00,0.063
505.00,0.063
506.00,0.062
507.00,0.062
508.00,0.062
509.00,0.062
510.00,0.061
511.00,0.061
512.00,0.061
513.00,0.061
514.00,0.060
515.00,0.060
516.00,0.060
517.00,0.060
518.00,0.060
519.00,0.059
520.00,0.059
521.00,0.059
522.00,0.059
523.00,0.058
524.00,0.058
525.00,0.058
526.00,0.058
527.00,0.058
528.00,0.057
529.00,0.057
530.00,0.057
531.00,0.057
532.00,0.056
533.00,0.056
534.00,0.056
535.00,0.056
536.00,0.056
537.00,0.055
538.00,0.055
539.00,0.055
540.00,0.055
541.00,0.055
542.00,0.054
543.00,0.054
544.00,0.054
545.00,0.054
546.00,0.054
547.00,0.054
548.00,0.054
549.00,0.053
550.00,0.053
551.00,0.053
552.00,0.053
553.00,0.053
554.00,0.053
555.00,0.052
556.00,0.052
557.00,0.052
558.00,0.052
559.00,0.052
560.00,0.052
561.00,0.051
562.00,0.051
563.00,0.051
564.00,0.051
565.00,0.051
566.00,0.051
567.00,0.050
568.00,0.050
569.00,0.050
570.00,0.050
571.00,0.050
572.00,0.050
573.00,0.050
574.00,0.049
575.00,0.049
576.00,0.049
577.00,0.049
578.00,0.049
579.00,0.049
580.00,0.049
581.00,0.049
582.00,0.048
583.00,0.048
584.00,0.048
585.00,0.048
586.00,0.048
587.00,0.048
588.00,0.048
589.00,0.048
590.00,0.048
591.00,0.047
592.00,0.047
593.00,0.047
594.00,0.047
595.00,0.047
596.00,0.047
597.00,0.047
598.00,0.047
599.00,0.047
600.00,0.047
601.00,0.047
602.00,0.047
603.00,0.047
604.00,0.047
605.00,0.046
606.00,0.046
607.00,0.046
608.00,0.046
609.00,0.046
610.00,0.046
611.00,0.046
612.00,0.046
613.00,0.046
614.00,0.045
615.00,0.045
616.00,0.045
617.00,0.045
618.00,0.045
619.00,0.045
620.00,0.045
621.00,0.045
622.00,0.045
623.00,0.045
624.00,0.045
625.00,0.044
626.00,0.044
627.00,0.044
628.00,0.044
629.00,0.044
630.00,0.044
631.00,0.044
632.00,0.044
633.00,0.044
634.00,0.044
635.00,0.044
636.00,0.043
637.00,0.043
638.00,0.043
639.00,0.043
640.00,0.043
641.00,0.043
642.00,0.043
643.00,0.043
644.00,0.043
645.00,0.043
646.00,0.043
647.00,0.043
648.00,0.043
649.00,0.042
650.00,0.042
651.00,0.042
652.00,0.042
653.00,0.042
654.00,0.042
655.00,0.042
656.00,0.042
657.00,0.042
658.00,0.042
659.00,0.042
660.00,0.042
661.00,0.042
662.00,0.042
663.00,0.042
664.00,0.042
665.00,0.042
666.00,0.042
667.00,0.042
668.00,0.042
669.00,0.042
670.00,0.042
671.00,0.041
672.00,0.041
673.00,0.041
674.00,0.041
675.00,0.041
676.00,0.041
677.00,0.041
678.00,0.041
679.00,0.041
680.00,0.041
681.00,0.041
682.00,0.041
683.00,0.041
684.00,0.041
685.00,0.041
686.00,0.041
687.00,0.041
688.00,0.041
689.00,0.041
690.00,0.041
691.00,0.041
692.00,0.041
693.00,0.041
694.00,0.041
695.00,0.041
696.00,0.041
697.00,0.041
698.00,0.041
699.00,0.041
700.00,0.041
701.00,0.041
702.00,0.041
703.00,0.041
704.00,0.041
705.00,0.041
706.00,0.041
707.00,0.041
708.00,0.041
709.00,0.041
710.00,0.041
711.00,0.042
712.00,0.042
713.00,0.042
