"SMMosaic50x - RawData"
"Wavelength nm.","Abs."
190.00,3.660
191.00,3.580
192.00,3.713
193.00,3.649
194.00,3.573
195.00,3.624
196.00,3.808
197.00,3.992
198.00,3.731
199.00,3.731
200.00,3.676
201.00,3.614
202.00,3.787
203.00,3.903
204.00,3.825
205.00,3.830
206.00,3.673
207.00,3.466
208.00,3.439
209.00,3.284
210.00,3.129
211.00,2.996
212.00,2.877
213.00,2.750
214.00,2.633
215.00,2.517
216.00,2.412
217.00,2.298
218.00,2.199
219.00,2.094
220.00,1.996
221.00,1.902
222.00,1.815
223.00,1.728
224.00,1.641
225.00,1.559
226.00,1.478
227.00,1.394
228.00,1.313
229.00,1.241
230.00,1.172
231.00,1.112
232.00,1.057
233.00,1.007
234.00,0.964
235.00,0.926
236.00,0.893
237.00,0.866
238.00,0.843
239.00,0.824
240.00,0.809
241.00,0.798
242.00,0.790
243.00,0.785
244.00,0.782
245.00,0.781
246.00,0.782
247.00,0.784
248.00,0.787
249.00,0.791
250.00,0.795
251.00,0.800
252.00,0.806
253.00,0.811
254.00,0.817
255.00,0.822
256.00,0.828
257.00,0.831
258.00,0.834
259.00,0.836
260.00,0.836
261.00,0.837
262.00,0.838
263.00,0.838
264.00,0.839
265.00,0.838
266.00,0.837
267.00,0.835
268.00,0.832
269.00,0.828
270.00,0.822
271.00,0.815
272.00,0.807
273.00,0.798
274.00,0.788
275.00,0.778
276.00,0.766
277.00,0.754
278.00,0.740
279.00,0.725
280.00,0.709
281.00,0.694
282.00,0.677
283.00,0.659
284.00,0.641
285.00,0.622
286.00,0.603
287.00,0.585
288.00,0.566
289.00,0.547
290.00,0.526
291.00,0.506
292.00,0.488
293.00,0.472
294.00,0.458
295.00,0.446
296.00,0.435
297.00,0.425
298.00,0.415
299.00,0.407
300.00,0.400
301.00,0.393
302.00,0.386
303.00,0.381
304.00,0.375
305.00,0.370
306.00,0.365
307.00,0.361
308.00,0.357
309.00,0.353
310.00,0.349
311.00,0.346
312.00,0.342
313.00,0.339
314.00,0.335
