"SMaltRousse50x - RawData"
"Wavelength nm.","Abs."
190.00,3.979
191.00,3.823
192.00,4.000
193.00,4.000
194.00,3.933
195.00,3.982
196.00,3.968
197.00,3.991
198.00,3.983
199.00,3.994
200.00,3.984
201.00,3.969
202.00,3.950
203.00,3.978
204.00,3.958
205.00,3.966
206.00,3.965
207.00,3.948
208.00,3.864
209.00,3.672
210.00,3.415
211.00,3.317
212.00,3.180
213.00,3.023
214.00,2.874
215.00,2.771
216.00,2.653
217.00,2.549
218.00,2.430
219.00,2.322
220.00,2.216
221.00,2.120
222.00,2.025
223.00,1.930
224.00,1.838
225.00,1.748
226.00,1.658
227.00,1.570
228.00,1.483
229.00,1.406
230.00,1.330
231.00,1.262
232.00,1.200
233.00,1.144
234.00,1.095
235.00,1.053
236.00,1.018
237.00,0.989
238.00,0.963
239.00,0.942
240.00,0.926
241.00,0.913
242.00,0.905
243.00,0.901
244.00,0.900
245.00,0.900
246.00,0.902
247.00,0.905
248.00,0.910
249.00,0.916
250.00,0.921
251.00,0.928
252.00,0.936
253.00,0.943
254.00,0.950
255.00,0.957
256.00,0.964
257.00,0.970
258.00,0.974
259.00,0.977
260.00,0.980
261.00,0.983
262.00,0.985
263.00,0.988
264.00,0.990
265.00,0.992
266.00,0.992
267.00,0.992
268.00,0.990
269.00,0.988
270.00,0.984
271.00,0.979
272.00,0.973
273.00,0.967
274.00,0.959
275.00,0.950
276.00,0.941
277.00,0.930
278.00,0.918
279.00,0.904
280.00,0.891
281.00,0.878
282.00,0.863
283.00,0.847
284.00,0.830
285.00,0.813
286.00,0.796
287.00,0.779
288.00,0.762
289.00,0.745
290.00,0.726
291.00,0.707
292.00,0.690
293.00,0.675
294.00,0.661
295.00,0.648
296.00,0.637
297.00,0.627
298.00,0.616
299.00,0.605
300.00,0.595
301.00,0.586
302.00,0.577
303.00,0.568
304.00,0.559
305.00,0.550
306.00,0.542
307.00,0.533
308.00,0.524
309.00,0.515
310.00,0.507
311.00,0.499
312.00,0.490
313.00,0.483
314.00,0.475
315.00,0.468
316.00,0.460
317.00,0.452
318.00,0.444
319.00,0.436
320.00,0.429
321.00,0.421
322.00,0.413
323.00,0.405
324.00,0.398
325.00,0.389
326.00,0.381
327.00,0.373
328.00,0.365
329.00,0.358
330.00,0.350
331.00,0.342
332.00,0.335
333.00,0.328
334.00,0.320
335.00,0.313
336.00,0.307
337.00,0.300
338.00,0.293
339.00,0.287
340.00,0.281
341.00,0.273
342.00,0.266
343.00,0.260
344.00,0.255
345.00,0.249
346.00,0.244
347.00,0.239
348.00,0.233
349.00,0.228
350.00,0.223
351.00,0.219
352.00,0.214
353.00,0.210
354.00,0.206
355.00,0.202
356.00,0.198
357.00,0.194
358.00,0.190
359.00,0.186
360.00,0.183
361.00,0.179
362.00,0.176
363.00,0.173
364.00,0.170
365.00,0.167
366.00,0.165
367.00,0.162
368.00,0.160
369.00,0.157
370.00,0.155
371.00,0.152
372.00,0.150
373.00,0.148
374.00,0.145
375.00,0.143
376.00,0.141
377.00,0.139
378.00,0.137
379.00,0.135
380.00,0.133
381.00,0.131
382.00,0.129
383.00,0.128
384.00,0.126
385.00,0.124
386.00,0.123
387.00,0.121
388.00,0.120
389.00,0.118
390.00,0.117
391.00,0.115
392.00,0.114
393.00,0.113
394.00,0.111
395.00,0.110
396.00,0.109
397.00,0.108
398.00,0.107
399.00,0.106
400.00,0.104
401.00,0.103
