"SMaltSaisonSession50x - RawData"
"Wavelength nm.","Abs."
190.00,3.245
191.00,3.670
192.00,3.609
193.00,3.753
194.00,3.421
195.00,3.799
196.00,3.653
197.00,3.379
198.00,3.406
199.00,3.374
200.00,3.234
201.00,3.074
202.00,2.904
203.00,2.746
204.00,2.599
205.00,2.467
206.00,2.338
207.00,2.219
208.00,2.112
209.00,2.005
210.00,1.907
211.00,1.817
212.00,1.728
213.00,1.642
214.00,1.562
215.00,1.486
216.00,1.411
217.00,1.341
218.00,1.272
219.00,1.205
220.00,1.141
221.00,1.083
222.00,1.028
223.00,0.973
224.00,0.918
225.00,0.866
226.00,0.813
227.00,0.760
228.00,0.710
229.00,0.666
230.00,0.625
231.00,0.589
232.00,0.557
233.00,0.530
234.00,0.507
235.00,0.488
236.00,0.472
237.00,0.460
238.00,0.451
239.00,0.444
240.00,0.439
241.00,0.436
242.00,0.435
243.00,0.435
244.00,0.436
245.00,0.438
246.00,0.441
247.00,0.444
248.00,0.447
249.00,0.450
250.00,0.454
251.00,0.458
252.00,0.462
253.00,0.465
254.00,0.469
255.00,0.472
256.00,0.475
257.00,0.477
258.00,0.479
259.00,0.479
260.00,0.480
261.00,0.480
262.00,0.479
263.00,0.479
264.00,0.478
265.00,0.477
266.00,0.475
267.00,0.473
268.00,0.470
269.00,0.467
270.00,0.462
271.00,0.457
272.00,0.450
273.00,0.443
274.00,0.436
275.00,0.428
276.00,0.419
277.00,0.410
278.00,0.401
279.00,0.392
280.00,0.382
281.00,0.371
282.00,0.361
283.00,0.349
284.00,0.337
285.00,0.324
286.00,0.313
287.00,0.302
288.00,0.290
289.00,0.279
290.00,0.267
291.00,0.256
292.00,0.246
293.00,0.237
294.00,0.229
295.00,0.222
296.00,0.217
297.00,0.212
298.00,0.207
299.00,0.202
300.00,0.198
301.00,0.195
302.00,0.192
303.00,0.189
304.00,0.186
305.00,0.184
306.00,0.182
307.00,0.180
308.00,0.178
309.00,0.176
310.00,0.175
311.00,0.173
312.00,0.171
313.00,0.170
314.00,0.169
315.00,0.168
316.00,0.166
