"SaintArnauldVlimeuse_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.793
191.00,3.625
192.00,3.660
193.00,3.648
194.00,3.758
195.00,3.619
196.00,3.692
197.00,3.980
198.00,3.736
199.00,3.826
200.00,3.825
201.00,3.804
202.00,3.779
203.00,3.926
204.00,3.951
205.00,3.795
206.00,3.840
207.00,3.833
208.00,3.889
209.00,3.868
210.00,3.702
211.00,3.595
212.00,3.438
213.00,3.364
214.00,3.350
215.00,3.195
216.00,3.037
217.00,2.986
218.00,2.860
219.00,2.700
220.00,2.564
221.00,2.443
222.00,2.334
223.00,2.225
224.00,2.115
225.00,2.010
226.00,1.903
227.00,1.795
228.00,1.691
229.00,1.596
230.00,1.506
231.00,1.424
232.00,1.351
233.00,1.285
234.00,1.229
235.00,1.179
236.00,1.138
237.00,1.104
238.00,1.075
239.00,1.052
240.00,1.033
241.00,1.019
242.00,1.010
243.00,1.005
244.00,1.002
245.00,1.002
246.00,1.003
247.00,1.006
248.00,1.010
249.00,1.015
250.00,1.020
251.00,1.026
252.00,1.033
253.00,1.039
254.00,1.046
255.00,1.052
256.00,1.059
257.00,1.064
258.00,1.068
259.00,1.069
260.00,1.071
261.00,1.072
262.00,1.072
263.00,1.073
264.00,1.073
265.00,1.072
266.00,1.070
267.00,1.067
268.00,1.062
269.00,1.057
270.00,1.048
271.00,1.039
272.00,1.030
273.00,1.018
274.00,1.006
275.00,0.992
276.00,0.977
277.00,0.961
278.00,0.943
279.00,0.925
280.00,0.906
281.00,0.887
282.00,0.867
283.00,0.846
284.00,0.824
285.00,0.801
286.00,0.781
287.00,0.760
288.00,0.740
289.00,0.719
290.00,0.697
291.00,0.675
292.00,0.657
293.00,0.640
294.00,0.626
295.00,0.612
296.00,0.601
297.00,0.591
298.00,0.581
299.00,0.571
300.00,0.563
301.00,0.555
302.00,0.547
303.00,0.539
304.00,0.532
305.00,0.525
306.00,0.519
307.00,0.511
308.00,0.505
309.00,0.499
310.00,0.492
311.00,0.486
312.00,0.479
313.00,0.473
314.00,0.467
315.00,0.461
316.00,0.455
317.00,0.449
318.00,0.442
319.00,0.436
320.00,0.430
