"SainteAmbroisePorterBaltic100x - RawData"
"Wavelength nm.","Abs."
190.00,3.376
191.00,3.793
192.00,3.703
193.00,3.871
194.00,3.691
195.00,3.770
196.00,3.629
197.00,3.890
198.00,3.920
199.00,3.925
200.00,3.947
201.00,3.935
202.00,3.973
203.00,3.874
204.00,3.762
205.00,3.862
206.00,3.895
207.00,3.888
208.00,3.778
209.00,3.688
210.00,3.666
211.00,3.559
212.00,3.383
213.00,3.341
214.00,3.178
215.00,3.021
216.00,2.917
217.00,2.836
218.00,2.719
219.00,2.624
220.00,2.513
221.00,2.421
222.00,2.328
223.00,2.235
224.00,2.144
225.00,2.055
226.00,1.967
227.00,1.875
228.00,1.787
229.00,1.703
230.00,1.625
231.00,1.551
232.00,1.484
233.00,1.420
234.00,1.365
235.00,1.316
236.00,1.272
237.00,1.234
238.00,1.201
239.00,1.172
240.00,1.148
241.00,1.128
242.00,1.114
243.00,1.104
244.00,1.097
245.00,1.092
246.00,1.090
247.00,1.089
248.00,1.089
249.00,1.091
250.00,1.093
251.00,1.097
252.00,1.100
253.00,1.105
254.00,1.109
255.00,1.114
256.00,1.119
257.00,1.123
258.00,1.126
259.00,1.128
260.00,1.129
261.00,1.131
262.00,1.132
263.00,1.133
264.00,1.135
265.00,1.134
266.00,1.134
267.00,1.134
268.00,1.132
269.00,1.129
270.00,1.126
271.00,1.122
272.00,1.117
273.00,1.112
274.00,1.106
275.00,1.098
276.00,1.090
277.00,1.081
278.00,1.071
279.00,1.059
280.00,1.048
281.00,1.036
282.00,1.023
283.00,1.009
284.00,0.995
285.00,0.979
286.00,0.964
287.00,0.949
288.00,0.934
289.00,0.918
290.00,0.900
291.00,0.882
292.00,0.866
293.00,0.851
294.00,0.838
295.00,0.825
296.00,0.813
297.00,0.801
298.00,0.789
299.00,0.778
300.00,0.766
301.00,0.755
302.00,0.744
303.00,0.733
304.00,0.722
305.00,0.711
306.00,0.700
307.00,0.689
308.00,0.678
309.00,0.667
310.00,0.657
311.00,0.647
312.00,0.636
313.00,0.627
314.00,0.618
315.00,0.608
316.00,0.599
317.00,0.590
318.00,0.581
319.00,0.572
320.00,0.563
321.00,0.554
322.00,0.544
323.00,0.536
324.00,0.527
325.00,0.518
326.00,0.510
327.00,0.501
328.00,0.493
329.00,0.485
330.00,0.476
331.00,0.468
332.00,0.460
333.00,0.453
334.00,0.445
335.00,0.438
336.00,0.431
337.00,0.424
338.00,0.416
339.00,0.409
340.00,0.402
341.00,0.394
342.00,0.387
343.00,0.381
344.00,0.375
345.00,0.369
346.00,0.362
347.00,0.357
348.00,0.351
349.00,0.345
350.00,0.339
351.00,0.333
352.00,0.328
353.00,0.323
354.00,0.318
355.00,0.313
356.00,0.308
357.00,0.303
358.00,0.299
359.00,0.294
360.00,0.289
361.00,0.285
362.00,0.281
363.00,0.276
364.00,0.272
365.00,0.269
366.00,0.265
367.00,0.261
368.00,0.257
369.00,0.254
370.00,0.250
371.00,0.247
372.00,0.244
373.00,0.240
374.00,0.237
375.00,0.234
376.00,0.231
377.00,0.228
378.00,0.225
379.00,0.221
380.00,0.219
381.00,0.216
382.00,0.213
383.00,0.210
384.00,0.208
385.00,0.205
386.00,0.203
387.00,0.200
388.00,0.198
389.00,0.195
390.00,0.193
391.00,0.191
392.00,0.188
393.00,0.186
394.00,0.184
395.00,0.182
396.00,0.180
397.00,0.178
398.00,0.176
399.00,0.174
400.00,0.172
401.00,0.170
402.00,0.168
403.00,0.166
404.00,0.165
405.00,0.163
406.00,0.161
407.00,0.160
408.00,0.158
409.00,0.156
410.00,0.154
411.00,0.153
412.00,0.152
413.00,0.150
414.00,0.149
415.00,0.147
416.00,0.145
417.00,0.144
418.00,0.143
419.00,0.141
420.00,0.140
421.00,0.139
422.00,0.138
423.00,0.136
424.00,0.135
425.00,0.134
426.00,0.132
427.00,0.131
428.00,0.130
429.00,0.128
430.00,0.127
431.00,0.126
432.00,0.125
433.00,0.124
434.00,0.123
435.00,0.122
436.00,0.120
437.00,0.119
438.00,0.118
439.00,0.117
440.00,0.116
441.00,0.115
442.00,0.114
443.00,0.113
444.00,0.112
445.00,0.111
446.00,0.111
447.00,0.110
448.00,0.109
449.00,0.108
450.00,0.107
451.00,0.106
452.00,0.105
453.00,0.104
454.00,0.104
455.00,0.103
456.00,0.102
457.00,0.101
458.00,0.100
459.00,0.100
460.00,0.099
461.00,0.098
462.00,0.097
463.00,0.097
464.00,0.096
465.00,0.095
466.00,0.094
467.00,0.094
468.00,0.093
469.00,0.092
470.00,0.092
471.00,0.091
472.00,0.090
473.00,0.090
474.00,0.089
475.00,0.088
476.00,0.088
477.00,0.087
478.00,0.086
479.00,0.086
480.00,0.085
481.00,0.084
482.00,0.084
483.00,0.083
484.00,0.082
485.00,0.082
486.00,0.081
487.00,0.081
488.00,0.080
489.00,0.080
490.00,0.079
491.00,0.078
492.00,0.078
493.00,0.077
494.00,0.077
495.00,0.076
496.00,0.076
497.00,0.075
498.00,0.075
499.00,0.074
500.00,0.074
501.00,0.073
502.00,0.073
503.00,0.072
504.00,0.072
505.00,0.072
506.00,0.071
507.00,0.071
508.00,0.070
509.00,0.070
510.00,0.069
511.00,0.069
512.00,0.069
513.00,0.068
514.00,0.068
515.00,0.067
516.00,0.067
517.00,0.067
518.00,0.066
519.00,0.066
520.00,0.066
521.00,0.065
522.00,0.065
523.00,0.064
524.00,0.064
525.00,0.064
526.00,0.063
527.00,0.063
528.00,0.063
529.00,0.062
530.00,0.062
531.00,0.062
532.00,0.061
533.00,0.061
534.00,0.061
535.00,0.060
536.00,0.060
537.00,0.060
538.00,0.059
539.00,0.059
540.00,0.059
541.00,0.059
542.00,0.058
543.00,0.058
544.00,0.058
545.00,0.057
546.00,0.057
547.00,0.057
548.00,0.057
549.00,0.056
550.00,0.056
551.00,0.056
552.00,0.056
553.00,0.055
554.00,0.055
555.00,0.055
556.00,0.055
557.00,0.054
558.00,0.054
559.00,0.054
560.00,0.054
561.00,0.054
562.00,0.053
563.00,0.053
564.00,0.053
565.00,0.053
566.00,0.052
567.00,0.052
568.00,0.052
569.00,0.052
570.00,0.052
571.00,0.052
572.00,0.051
573.00,0.051
574.00,0.051
575.00,0.051
576.00,0.051
577.00,0.050
578.00,0.050
579.00,0.050
580.00,0.050
581.00,0.050
582.00,0.050
583.00,0.049
584.00,0.049
585.00,0.049
586.00,0.049
587.00,0.049
588.00,0.049
589.00,0.049
590.00,0.049
591.00,0.048
592.00,0.048
593.00,0.048
594.00,0.048
595.00,0.048
596.00,0.048
597.00,0.048
598.00,0.048
599.00,0.048
600.00,0.047
601.00,0.047
602.00,0.047
603.00,0.047
604.00,0.047
605.00,0.047
606.00,0.047
607.00,0.047
608.00,0.047
609.00,0.046
610.00,0.046
611.00,0.046
612.00,0.046
613.00,0.046
614.00,0.046
615.00,0.046
616.00,0.046
617.00,0.046
618.00,0.045
619.00,0.045
620.00,0.045
621.00,0.045
622.00,0.045
623.00,0.045
624.00,0.045
625.00,0.045
626.00,0.045
627.00,0.044
628.00,0.044
629.00,0.044
630.00,0.044
631.00,0.044
632.00,0.044
633.00,0.044
634.00,0.044
635.00,0.044
636.00,0.044
637.00,0.043
638.00,0.043
639.00,0.043
640.00,0.043
641.00,0.043
642.00,0.043
643.00,0.043
644.00,0.043
645.00,0.043
646.00,0.043
647.00,0.043
648.00,0.043
649.00,0.043
650.00,0.042
651.00,0.043
652.00,0.042
653.00,0.042
654.00,0.042
655.00,0.042
656.00,0.042
657.00,0.042
658.00,0.042
659.00,0.042
660.00,0.042
661.00,0.042
662.00,0.042
663.00,0.042
664.00,0.042
665.00,0.042
666.00,0.042
667.00,0.042
668.00,0.042
669.00,0.042
670.00,0.041
671.00,0.041
672.00,0.041
673.00,0.041
674.00,0.041
675.00,0.041
676.00,0.041
677.00,0.041
678.00,0.041
679.00,0.041
680.00,0.041
681.00,0.041
682.00,0.041
683.00,0.041
684.00,0.041
685.00,0.041
686.00,0.041
687.00,0.041
688.00,0.041
689.00,0.041
690.00,0.041
691.00,0.041
692.00,0.041
693.00,0.041
694.00,0.041
695.00,0.041
696.00,0.041
697.00,0.041
698.00,0.041
699.00,0.041
700.00,0.041
701.00,0.041
702.00,0.041
703.00,0.041
704.00,0.041
705.00,0.041
706.00,0.041
707.00,0.041
708.00,0.041
709.00,0.041
710.00,0.041
711.00,0.041
712.00,0.041
713.00,0.041
714.00,0.042
715.00,0.042
716.00,0.042
717.00,0.042
718.00,0.042
719.00,0.042
720.00,0.042
721.00,0.043
722.00,0.043
723.00,0.043
724.00,0.043
725.00,0.044
726.00,0.044
727.00,0.044
728.00,0.044
729.00,0.045
730.00,0.045
731.00,0.046
732.00,0.046
733.00,0.047
734.00,0.047
735.00,0.048
736.00,0.048
737.00,0.048
738.00,0.048
739.00,0.048
740.00,0.048
741.00,0.048
742.00,0.048
743.00,0.048
744.00,0.048
745.00,0.048
746.00,0.048
747.00,0.048
748.00,0.048
749.00,0.048
750.00,0.048
751.00,0.048
752.00,0.048
753.00,0.048
754.00,0.048
755.00,0.048
756.00,0.048
757.00,0.048
758.00,0.048
759.00,0.048
760.00,0.048
761.00,0.048
762.00,0.048
763.00,0.048
764.00,0.048
765.00,0.048
766.00,0.048
767.00,0.048
768.00,0.048
769.00,0.048
770.00,0.047
771.00,0.047
772.00,0.047
773.00,0.047
