"SantropolMontrealaise_100x - RawData"
"Wavelength nm.","Abs."
190.00,2.333
191.00,2.407
192.00,2.411
193.00,2.468
194.00,2.458
195.00,2.424
196.00,2.416
197.00,2.377
198.00,2.335
199.00,2.327
200.00,2.298
201.00,2.265
202.00,2.228
203.00,2.192
204.00,2.150
205.00,2.091
206.00,2.034
207.00,1.973
208.00,1.906
209.00,1.839
210.00,1.772
211.00,1.709
212.00,1.651
213.00,1.589
214.00,1.534
215.00,1.478
216.00,1.422
217.00,1.366
218.00,1.312
219.00,1.260
220.00,1.210
221.00,1.164
222.00,1.119
223.00,1.076
224.00,1.035
225.00,0.998
226.00,0.964
227.00,0.933
228.00,0.904
229.00,0.878
230.00,0.853
231.00,0.830
232.00,0.807
233.00,0.786
234.00,0.765
235.00,0.746
236.00,0.727
237.00,0.710
238.00,0.694
239.00,0.679
240.00,0.666
241.00,0.654
242.00,0.645
243.00,0.636
244.00,0.629
245.00,0.623
246.00,0.617
247.00,0.613
248.00,0.609
249.00,0.607
250.00,0.605
251.00,0.604
252.00,0.604
253.00,0.603
254.00,0.604
255.00,0.605
256.00,0.607
257.00,0.610
258.00,0.613
259.00,0.617
260.00,0.621
261.00,0.625
262.00,0.630
263.00,0.636
264.00,0.643
265.00,0.649
266.00,0.654
267.00,0.658
268.00,0.662
269.00,0.666
270.00,0.670
271.00,0.674
272.00,0.678
273.00,0.681
274.00,0.682
275.00,0.682
276.00,0.681
277.00,0.680
278.00,0.677
279.00,0.674
280.00,0.669
281.00,0.663
282.00,0.656
283.00,0.648
284.00,0.639
285.00,0.628
286.00,0.617
287.00,0.606
288.00,0.594
289.00,0.581
290.00,0.569
291.00,0.556
292.00,0.545
293.00,0.534
294.00,0.524
295.00,0.515
296.00,0.507
297.00,0.500
298.00,0.493
299.00,0.487
300.00,0.482
301.00,0.476
302.00,0.472
303.00,0.467
304.00,0.464
305.00,0.460
306.00,0.457
307.00,0.454
308.00,0.451
309.00,0.449
310.00,0.447
311.00,0.446
312.00,0.444
313.00,0.443
314.00,0.442
315.00,0.441
316.00,0.440
317.00,0.439
318.00,0.438
319.00,0.437
320.00,0.436
321.00,0.434
322.00,0.432
323.00,0.430
324.00,0.427
325.00,0.424
326.00,0.421
327.00,0.417
328.00,0.413
329.00,0.409
330.00,0.404
331.00,0.398
332.00,0.393
333.00,0.387
334.00,0.380
335.00,0.373
