"SleemanOriginale_25x - RawData"
"Wavelength nm.","Abs."
190.00,3.080
191.00,2.902
192.00,3.196
193.00,3.191
194.00,3.513
195.00,3.500
196.00,3.476
197.00,3.645
198.00,3.482
199.00,3.325
200.00,3.580
201.00,3.510
202.00,3.668
203.00,3.715
204.00,3.600
205.00,3.453
206.00,3.399
207.00,3.230
208.00,3.213
209.00,3.082
210.00,2.967
211.00,2.869
212.00,2.778
213.00,2.646
214.00,2.532
215.00,2.416
216.00,2.296
217.00,2.195
218.00,2.091
219.00,1.988
220.00,1.889
221.00,1.799
222.00,1.713
223.00,1.629
224.00,1.545
225.00,1.466
226.00,1.387
227.00,1.307
228.00,1.230
229.00,1.157
230.00,1.089
231.00,1.027
232.00,0.971
233.00,0.922
234.00,0.880
235.00,0.843
236.00,0.812
237.00,0.785
238.00,0.763
239.00,0.745
240.00,0.730
241.00,0.718
242.00,0.710
243.00,0.704
244.00,0.699
245.00,0.697
246.00,0.695
247.00,0.695
248.00,0.696
249.00,0.698
250.00,0.700
251.00,0.703
252.00,0.707
253.00,0.711
254.00,0.714
255.00,0.718
256.00,0.721
257.00,0.724
258.00,0.726
259.00,0.728
260.00,0.729
261.00,0.731
262.00,0.733
263.00,0.737
264.00,0.740
265.00,0.743
266.00,0.745
267.00,0.747
268.00,0.749
269.00,0.749
270.00,0.748
271.00,0.746
272.00,0.744
273.00,0.740
274.00,0.735
275.00,0.728
276.00,0.720
277.00,0.710
278.00,0.698
279.00,0.684
280.00,0.670
281.00,0.655
282.00,0.639
283.00,0.621
284.00,0.603
285.00,0.583
286.00,0.564
287.00,0.546
288.00,0.527
289.00,0.509
290.00,0.490
291.00,0.472
292.00,0.455
293.00,0.440
294.00,0.427
295.00,0.415
296.00,0.405
297.00,0.396
298.00,0.388
299.00,0.379
300.00,0.372
301.00,0.365
302.00,0.360
303.00,0.354
304.00,0.349
305.00,0.345
306.00,0.340
307.00,0.336
308.00,0.332
309.00,0.328
310.00,0.325
311.00,0.321
312.00,0.318
313.00,0.315
314.00,0.312
315.00,0.309
316.00,0.306
317.00,0.302
318.00,0.299
319.00,0.295
320.00,0.292
321.00,0.288
322.00,0.284
323.00,0.280
324.00,0.276
325.00,0.271
326.00,0.266
327.00,0.262
328.00,0.256
329.00,0.251
330.00,0.246
331.00,0.241
332.00,0.236
333.00,0.230
334.00,0.224
335.00,0.219
336.00,0.213
337.00,0.208
338.00,0.202
339.00,0.197
340.00,0.192
341.00,0.186
342.00,0.181
343.00,0.175
344.00,0.171
345.00,0.166
346.00,0.162
347.00,0.157
348.00,0.153
349.00,0.149
350.00,0.144
351.00,0.141
352.00,0.137
353.00,0.133
354.00,0.130
355.00,0.127
356.00,0.124
357.00,0.121
358.00,0.118
359.00,0.116
360.00,0.113
361.00,0.111
362.00,0.108
363.00,0.106
364.00,0.104
365.00,0.102
366.00,0.101
367.00,0.099
368.00,0.097
369.00,0.096
370.00,0.094
371.00,0.092
372.00,0.091
373.00,0.090
374.00,0.089
375.00,0.087
376.00,0.086
377.00,0.085
378.00,0.084
379.00,0.083
380.00,0.082
381.00,0.081
382.00,0.080
383.00,0.079
384.00,0.078
385.00,0.078
386.00,0.077
387.00,0.076
388.00,0.075
389.00,0.075
390.00,0.074
391.00,0.074
392.00,0.073
393.00,0.072
394.00,0.072
395.00,0.071
396.00,0.070
397.00,0.070
398.00,0.070
399.00,0.069
400.00,0.069
401.00,0.068
402.00,0.068
403.00,0.067
404.00,0.067
405.00,0.066
406.00,0.066
407.00,0.066
408.00,0.065
409.00,0.065
410.00,0.064
411.00,0.064
412.00,0.064
413.00,0.063
414.00,0.063
415.00,0.063
416.00,0.062
417.00,0.062
418.00,0.062
419.00,0.062
420.00,0.061
421.00,0.061
422.00,0.061
423.00,0.060
424.00,0.060
425.00,0.060
426.00,0.059
427.00,0.059
428.00,0.059
429.00,0.059
430.00,0.058
431.00,0.058
432.00,0.058
433.00,0.058
434.00,0.057
435.00,0.057
436.00,0.057
437.00,0.057
438.00,0.056
439.00,0.056
440.00,0.056
441.00,0.056
442.00,0.055
443.00,0.055
444.00,0.055
445.00,0.055
446.00,0.055
447.00,0.055
448.00,0.054
449.00,0.054
450.00,0.054
451.00,0.054
452.00,0.054
453.00,0.053
454.00,0.053
455.00,0.053
456.00,0.053
457.00,0.053
458.00,0.053
459.00,0.052
460.00,0.052
461.00,0.052
462.00,0.052
463.00,0.052
464.00,0.052
465.00,0.051
466.00,0.051
467.00,0.051
468.00,0.051
