"SpiaIPA_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.312
191.00,3.131
192.00,3.255
193.00,3.559
194.00,3.478
195.00,3.841
196.00,3.615
197.00,3.705
198.00,3.697
199.00,3.665
200.00,3.526
201.00,3.903
202.00,3.733
203.00,3.654
204.00,3.673
205.00,3.692
206.00,3.504
207.00,3.464
208.00,3.219
209.00,3.125
210.00,2.992
211.00,2.901
212.00,2.756
213.00,2.639
214.00,2.508
215.00,2.415
216.00,2.305
217.00,2.194
218.00,2.088
219.00,1.989
220.00,1.889
221.00,1.799
222.00,1.711
223.00,1.625
224.00,1.542
225.00,1.462
226.00,1.382
227.00,1.302
228.00,1.227
229.00,1.158
230.00,1.094
231.00,1.036
232.00,0.986
233.00,0.941
234.00,0.903
235.00,0.872
236.00,0.845
237.00,0.822
238.00,0.804
239.00,0.789
240.00,0.778
241.00,0.770
242.00,0.764
243.00,0.762
244.00,0.761
245.00,0.761
246.00,0.763
247.00,0.766
248.00,0.770
249.00,0.774
250.00,0.779
251.00,0.784
252.00,0.790
253.00,0.796
254.00,0.801
255.00,0.807
256.00,0.812
257.00,0.815
258.00,0.817
259.00,0.818
260.00,0.818
261.00,0.818
262.00,0.818
263.00,0.819
264.00,0.818
265.00,0.818
266.00,0.816
267.00,0.814
268.00,0.810
269.00,0.805
270.00,0.799
271.00,0.792
272.00,0.784
273.00,0.775
274.00,0.765
275.00,0.753
276.00,0.740
277.00,0.726
278.00,0.711
279.00,0.695
280.00,0.679
281.00,0.663
282.00,0.645
283.00,0.626
284.00,0.606
285.00,0.585
286.00,0.566
287.00,0.546
288.00,0.525
289.00,0.505
290.00,0.484
291.00,0.464
292.00,0.446
293.00,0.430
294.00,0.417
295.00,0.404
296.00,0.393
297.00,0.383
298.00,0.374
299.00,0.365
300.00,0.358
301.00,0.351
302.00,0.345
303.00,0.339
304.00,0.334
305.00,0.328
306.00,0.324
307.00,0.319
308.00,0.315
309.00,0.311
310.00,0.307
311.00,0.304
312.00,0.300
313.00,0.297
314.00,0.294
315.00,0.291
316.00,0.288
317.00,0.285
318.00,0.281
319.00,0.278
320.00,0.275
321.00,0.271
322.00,0.267
323.00,0.264
324.00,0.260
325.00,0.256
326.00,0.252
327.00,0.248
328.00,0.244
329.00,0.240
330.00,0.235
331.00,0.231
332.00,0.226
333.00,0.222
334.00,0.217
335.00,0.212
336.00,0.208
337.00,0.204
338.00,0.199
339.00,0.195
340.00,0.191
341.00,0.185
342.00,0.180
343.00,0.176
344.00,0.172
345.00,0.168
346.00,0.163
347.00,0.160
348.00,0.156
349.00,0.152
350.00,0.148
351.00,0.145
352.00,0.141
353.00,0.138
354.00,0.135
355.00,0.132
356.00,0.129
357.00,0.126
358.00,0.123
359.00,0.120
360.00,0.118
361.00,0.115
362.00,0.114
363.00,0.111
364.00,0.109
365.00,0.107
366.00,0.105
367.00,0.103
368.00,0.102
369.00,0.100
370.00,0.098
371.00,0.097
372.00,0.095
373.00,0.093
374.00,0.092
375.00,0.091
376.00,0.089
377.00,0.088
378.00,0.087
379.00,0.085
380.00,0.084
381.00,0.083
382.00,0.082
383.00,0.081
384.00,0.080
385.00,0.079
386.00,0.078
387.00,0.077
388.00,0.077
389.00,0.076
390.00,0.075
391.00,0.074
392.00,0.074
393.00,0.073
394.00,0.072
395.00,0.072
396.00,0.071
397.00,0.070
398.00,0.070
399.00,0.069
400.00,0.069
401.00,0.068
402.00,0.068
403.00,0.067
404.00,0.067
405.00,0.066
406.00,0.066
407.00,0.065
408.00,0.065
409.00,0.064
410.00,0.064
411.00,0.064
412.00,0.063
413.00,0.063
414.00,0.063
415.00,0.062
416.00,0.062
417.00,0.062
418.00,0.062
419.00,0.061
420.00,0.061
421.00,0.061
422.00,0.061
423.00,0.060
424.00,0.060
425.00,0.060
426.00,0.060
427.00,0.059
428.00,0.059
429.00,0.059
430.00,0.059
431.00,0.058
432.00,0.058
433.00,0.058
434.00,0.058
435.00,0.058
436.00,0.057
437.00,0.057
438.00,0.057
439.00,0.057
440.00,0.057
441.00,0.056
442.00,0.056
443.00,0.056
444.00,0.056
445.00,0.056
446.00,0.056
447.00,0.056
448.00,0.055
449.00,0.055
450.00,0.055
451.00,0.055
452.00,0.055
453.00,0.055
454.00,0.055
455.00,0.054
456.00,0.054
457.00,0.054
458.00,0.054
459.00,0.054
460.00,0.054
461.00,0.054
462.00,0.053
463.00,0.053
464.00,0.053
465.00,0.053
466.00,0.053
467.00,0.053
468.00,0.053
469.00,0.053
470.00,0.052
471.00,0.052
472.00,0.052
473.00,0.052
474.00,0.052
475.00,0.052
476.00,0.052
477.00,0.052
478.00,0.052
479.00,0.051
480.00,0.051
481.00,0.051
482.00,0.051
483.00,0.051
484.00,0.051
485.00,0.051
486.00,0.051
487.00,0.051
488.00,0.051
489.00,0.050
490.00,0.050
491.00,0.050
492.00,0.050
493.00,0.050
494.00,0.050
495.00,0.050
496.00,0.050
497.00,0.050
498.00,0.050
499.00,0.050
500.00,0.050
501.00,0.050
502.00,0.050
503.00,0.049
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.049
508.00,0.049
509.00,0.049
510.00,0.049
511.00,0.049
512.00,0.049
513.00,0.049
514.00,0.049
515.00,0.049
516.00,0.049
517.00,0.048
518.00,0.048
519.00,0.048
520.00,0.048
521.00,0.048
522.00,0.048
523.00,0.048
524.00,0.048
525.00,0.048
526.00,0.048
527.00,0.048
528.00,0.048
529.00,0.048
530.00,0.047
531.00,0.047
532.00,0.047
533.00,0.047
534.00,0.047
535.00,0.047
536.00,0.047
537.00,0.047
538.00,0.047
539.00,0.047
540.00,0.047
541.00,0.047
542.00,0.047
543.00,0.047
544.00,0.046
545.00,0.046
546.00,0.046
547.00,0.046
548.00,0.046
549.00,0.046
550.00,0.046
551.00,0.046
552.00,0.046
553.00,0.046
554.00,0.046
555.00,0.046
556.00,0.046
557.00,0.046
558.00,0.046
559.00,0.046
560.00,0.046
561.00,0.046
562.00,0.045
563.00,0.045
564.00,0.045
565.00,0.045
566.00,0.045
567.00,0.045
568.00,0.045
569.00,0.045
570.00,0.045
571.00,0.045
572.00,0.045
573.00,0.045
574.00,0.045
575.00,0.045
576.00,0.045
577.00,0.045
578.00,0.045
579.00,0.045
580.00,0.045
581.00,0.045
582.00,0.045
583.00,0.045
584.00,0.045
585.00,0.045
586.00,0.045
587.00,0.045
588.00,0.044
589.00,0.044
590.00,0.045
591.00,0.044
592.00,0.044
593.00,0.044
594.00,0.044
595.00,0.044
596.00,0.044
597.00,0.044
598.00,0.044
599.00,0.044
600.00,0.044
601.00,0.044
602.00,0.044
603.00,0.044
604.00,0.044
605.00,0.044
606.00,0.044
607.00,0.044
608.00,0.044
609.00,0.044
610.00,0.044
611.00,0.044
612.00,0.044
613.00,0.044
614.00,0.044
615.00,0.044
616.00,0.044
617.00,0.044
618.00,0.044
619.00,0.044
620.00,0.044
621.00,0.044
622.00,0.044
623.00,0.043
624.00,0.044
625.00,0.043
626.00,0.043
627.00,0.043
628.00,0.043
629.00,0.043
630.00,0.043
631.00,0.043
632.00,0.043
633.00,0.043
634.00,0.043
635.00,0.043
636.00,0.043
637.00,0.043
638.00,0.043
639.00,0.043
640.00,0.043
641.00,0.043
642.00,0.043
643.00,0.043
644.00,0.043
645.00,0.043
646.00,0.043
647.00,0.043
648.00,0.043
649.00,0.043
650.00,0.043
651.00,0.043
652.00,0.043
653.00,0.043
654.00,0.043
655.00,0.043
656.00,0.043
657.00,0.043
658.00,0.043
659.00,0.043
660.00,0.043
661.00,0.043
662.00,0.043
663.00,0.043
664.00,0.043
665.00,0.043
666.00,0.043
667.00,0.043
668.00,0.043
669.00,0.043
670.00,0.043
671.00,0.043
672.00,0.043
673.00,0.043
674.00,0.043
675.00,0.043
676.00,0.043
677.00,0.043
678.00,0.043
679.00,0.043
680.00,0.043
681.00,0.043
682.00,0.043
683.00,0.043
684.00,0.043
685.00,0.043
686.00,0.043
687.00,0.043
688.00,0.043
689.00,0.043
690.00,0.043
691.00,0.043
692.00,0.043
693.00,0.043
694.00,0.043
695.00,0.043
696.00,0.043
697.00,0.043
698.00,0.043
699.00,0.043
700.00,0.043
701.00,0.043
702.00,0.043
703.00,0.043
704.00,0.043
705.00,0.043
706.00,0.043
707.00,0.043
708.00,0.043
709.00,0.044
710.00,0.044
711.00,0.044
712.00,0.044
713.00,0.044
714.00,0.044
715.00,0.044
716.00,0.044
