"SpinPeachHefeweisen_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.091
191.00,3.036
192.00,3.313
193.00,3.361
194.00,3.421
195.00,3.352
196.00,3.308
197.00,3.206
198.00,3.344
199.00,3.227
200.00,3.303
201.00,3.248
202.00,3.155
203.00,3.077
204.00,2.946
205.00,2.833
206.00,2.718
207.00,2.609
208.00,2.480
209.00,2.374
210.00,2.283
211.00,2.178
212.00,2.075
213.00,1.979
214.00,1.885
215.00,1.796
216.00,1.706
217.00,1.621
218.00,1.539
219.00,1.457
220.00,1.376
221.00,1.303
222.00,1.234
223.00,1.166
224.00,1.097
225.00,1.034
226.00,0.970
227.00,0.906
228.00,0.844
229.00,0.788
230.00,0.735
231.00,0.688
232.00,0.647
233.00,0.610
234.00,0.579
235.00,0.552
236.00,0.529
237.00,0.509
238.00,0.494
239.00,0.481
240.00,0.472
241.00,0.464
242.00,0.460
243.00,0.457
244.00,0.455
245.00,0.455
246.00,0.456
247.00,0.458
248.00,0.461
249.00,0.464
250.00,0.468
251.00,0.472
252.00,0.476
253.00,0.481
254.00,0.486
255.00,0.490
256.00,0.495
257.00,0.499
258.00,0.502
259.00,0.504
260.00,0.506
261.00,0.507
262.00,0.509
263.00,0.512
264.00,0.513
265.00,0.514
266.00,0.515
267.00,0.515
268.00,0.515
269.00,0.513
270.00,0.510
271.00,0.507
272.00,0.503
273.00,0.498
274.00,0.493
275.00,0.487
276.00,0.480
277.00,0.472
278.00,0.464
279.00,0.455
280.00,0.445
281.00,0.435
282.00,0.424
283.00,0.412
284.00,0.400
285.00,0.386
286.00,0.374
287.00,0.361
288.00,0.348
289.00,0.335
290.00,0.320
291.00,0.307
292.00,0.294
293.00,0.283
294.00,0.274
295.00,0.265
296.00,0.257
297.00,0.250
298.00,0.243
299.00,0.237
300.00,0.231
301.00,0.226
302.00,0.221
303.00,0.217
304.00,0.213
305.00,0.209
306.00,0.206
307.00,0.202
308.00,0.199
309.00,0.196
310.00,0.193
311.00,0.190
312.00,0.188
313.00,0.185
314.00,0.183
315.00,0.180
316.00,0.178
317.00,0.176
318.00,0.173
319.00,0.171
320.00,0.168
321.00,0.166
322.00,0.163
323.00,0.160
324.00,0.157
325.00,0.154
326.00,0.150
327.00,0.148
328.00,0.145
329.00,0.142
330.00,0.138
331.00,0.135
332.00,0.131
333.00,0.128
334.00,0.124
335.00,0.121
336.00,0.118
337.00,0.114
338.00,0.111
339.00,0.108
340.00,0.105
341.00,0.100
342.00,0.097
343.00,0.093
344.00,0.090
345.00,0.087
346.00,0.084
347.00,0.081
348.00,0.078
349.00,0.075
350.00,0.072
351.00,0.070
352.00,0.067
353.00,0.065
354.00,0.063
355.00,0.061
356.00,0.058
357.00,0.056
358.00,0.054
359.00,0.052
360.00,0.050
361.00,0.048
362.00,0.047
363.00,0.045
364.00,0.044
365.00,0.042
366.00,0.041
367.00,0.040
368.00,0.038
369.00,0.037
370.00,0.035
371.00,0.035
372.00,0.033
373.00,0.032
374.00,0.031
375.00,0.030
376.00,0.029
377.00,0.028
378.00,0.027
379.00,0.027
380.00,0.026
381.00,0.025
382.00,0.024
383.00,0.024
384.00,0.023
385.00,0.023
386.00,0.022
387.00,0.021
388.00,0.021
389.00,0.020
390.00,0.020
391.00,0.019
392.00,0.019
393.00,0.018
394.00,0.018
395.00,0.017
396.00,0.017
397.00,0.017
398.00,0.016
399.00,0.016
400.00,0.016
401.00,0.015
402.00,0.015
403.00,0.015
404.00,0.014
405.00,0.014
406.00,0.014
407.00,0.014
408.00,0.013
409.00,0.013
410.00,0.013
411.00,0.013
412.00,0.012
413.00,0.012
414.00,0.012
415.00,0.012
416.00,0.011
417.00,0.012
418.00,0.011
419.00,0.011
420.00,0.011
421.00,0.011
422.00,0.011
423.00,0.010
424.00,0.010
425.00,0.010
426.00,0.010
427.00,0.010
428.00,0.010
429.00,0.010
430.00,0.009
431.00,0.009
432.00,0.009
433.00,0.009
434.00,0.009
435.00,0.009
436.00,0.009
437.00,0.009
438.00,0.008
