"MaledictionStBock100x - RawData"
"Wavelength nm.","Abs."
190.00,4.000
191.00,4.000
192.00,3.908
193.00,3.939
194.00,3.891
195.00,3.752
196.00,3.918
197.00,3.739
198.00,3.799
199.00,3.802
200.00,3.544
201.00,3.347
202.00,3.170
203.00,3.040
204.00,2.897
205.00,2.770
206.00,2.677
207.00,2.558
208.00,2.463
209.00,2.373
210.00,2.298
211.00,2.216
212.00,2.142
213.00,2.069
214.00,2.001
215.00,1.939
216.00,1.877
217.00,1.818
218.00,1.761
219.00,1.705
220.00,1.649
221.00,1.598
222.00,1.548
223.00,1.499
224.00,1.450
225.00,1.403
226.00,1.357
227.00,1.310
228.00,1.263
229.00,1.218
230.00,1.174
231.00,1.133
232.00,1.094
233.00,1.057
234.00,1.024
235.00,0.994
236.00,0.966
237.00,0.941
238.00,0.917
239.00,0.895
240.00,0.876
241.00,0.860
242.00,0.847
243.00,0.836
244.00,0.828
245.00,0.822
246.00,0.817
247.00,0.813
248.00,0.809
249.00,0.807
250.00,0.806
251.00,0.806
252.00,0.807
253.00,0.808
254.00,0.809
255.00,0.810
256.00,0.812
257.00,0.814
258.00,0.816
259.00,0.817
260.00,0.818
261.00,0.820
262.00,0.821
263.00,0.823
264.00,0.825
265.00,0.826
266.00,0.828
267.00,0.829
268.00,0.830
269.00,0.831
270.00,0.831
271.00,0.832
272.00,0.831
273.00,0.831
274.00,0.830
275.00,0.828
276.00,0.825
277.00,0.823
278.00,0.818
279.00,0.814
280.00,0.809
281.00,0.803
282.00,0.797
283.00,0.789
284.00,0.782
285.00,0.772
286.00,0.763
287.00,0.753
288.00,0.743
289.00,0.732
290.00,0.720
291.00,0.708
292.00,0.696
293.00,0.685
294.00,0.674
295.00,0.663
296.00,0.652
297.00,0.643
298.00,0.632
299.00,0.621
300.00,0.611
301.00,0.602
302.00,0.593
303.00,0.584
304.00,0.575
305.00,0.566
306.00,0.558
307.00,0.549
308.00,0.541
309.00,0.533
310.00,0.526
311.00,0.519
312.00,0.512
313.00,0.505
314.00,0.499
315.00,0.492
316.00,0.487
317.00,0.481
318.00,0.475
319.00,0.470
320.00,0.464
321.00,0.459
322.00,0.454
323.00,0.448
324.00,0.443
325.00,0.438
326.00,0.433
327.00,0.428
328.00,0.423
329.00,0.418
330.00,0.413
331.00,0.408
332.00,0.404
333.00,0.399
334.00,0.394
335.00,0.390
336.00,0.386
337.00,0.382
338.00,0.378
339.00,0.374
340.00,0.370
341.00,0.365
342.00,0.360
343.00,0.356
344.00,0.353
345.00,0.349
346.00,0.345
347.00,0.342
348.00,0.338
349.00,0.334
350.00,0.331
351.00,0.328
352.00,0.324
353.00,0.322
354.00,0.318
355.00,0.315
356.00,0.312
357.00,0.309
358.00,0.306
359.00,0.303
360.00,0.301
361.00,0.298
362.00,0.295
363.00,0.292
364.00,0.290
365.00,0.287
366.00,0.285
367.00,0.282
368.00,0.280
369.00,0.277
370.00,0.275
371.00,0.272
372.00,0.270
373.00,0.267
374.00,0.265
375.00,0.262
376.00,0.260
377.00,0.258
378.00,0.255
379.00,0.253
380.00,0.250
381.00,0.248
382.00,0.246
383.00,0.244
384.00,0.241
385.00,0.239
386.00,0.237
387.00,0.235
388.00,0.233
389.00,0.231
390.00,0.229
391.00,0.227
392.00,0.225
393.00,0.223
394.00,0.221
395.00,0.219
396.00,0.217
397.00,0.215
398.00,0.214
399.00,0.212
400.00,0.210
401.00,0.208
402.00,0.207
403.00,0.205
404.00,0.203
405.00,0.202
406.00,0.200
407.00,0.199
408.00,0.197
409.00,0.195
410.00,0.194
411.00,0.192
412.00,0.191
413.00,0.189
414.00,0.188
415.00,0.186
416.00,0.185
417.00,0.184
418.00,0.182
419.00,0.181
420.00,0.180
421.00,0.178
422.00,0.177
423.00,0.176
424.00,0.174
425.00,0.173
426.00,0.172
427.00,0.170
428.00,0.169
429.00,0.168
430.00,0.167
431.00,0.166
432.00,0.164
433.00,0.163
434.00,0.162
435.00,0.161
436.00,0.160
437.00,0.159
438.00,0.158
439.00,0.156
440.00,0.155
441.00,0.154
442.00,0.153
443.00,0.152
444.00,0.151
445.00,0.150
446.00,0.149
447.00,0.148
448.00,0.147
449.00,0.146
450.00,0.146
451.00,0.145
452.00,0.144
