"SuperPauseIPA50x - RawData"
"Wavelength nm.","Abs."
190.00,3.640
191.00,3.893
192.00,3.742
193.00,3.873
194.00,3.848
195.00,3.959
196.00,3.926
197.00,3.965
198.00,3.858
199.00,3.962
200.00,3.989
201.00,3.826
202.00,3.844
203.00,3.824
204.00,3.761
205.00,3.681
206.00,3.804
207.00,3.545
208.00,3.447
209.00,3.245
210.00,3.136
211.00,2.966
212.00,2.854
213.00,2.719
214.00,2.589
215.00,2.468
216.00,2.350
217.00,2.241
218.00,2.132
219.00,2.020
220.00,1.917
221.00,1.819
222.00,1.730
223.00,1.640
224.00,1.550
225.00,1.465
226.00,1.380
227.00,1.293
228.00,1.210
229.00,1.135
230.00,1.065
231.00,1.001
232.00,0.945
233.00,0.894
234.00,0.852
235.00,0.814
236.00,0.782
237.00,0.755
238.00,0.732
239.00,0.713
240.00,0.698
241.00,0.685
242.00,0.676
243.00,0.670
244.00,0.665
245.00,0.662
246.00,0.661
247.00,0.660
248.00,0.661
249.00,0.662
250.00,0.665
251.00,0.667
252.00,0.671
253.00,0.675
254.00,0.679
255.00,0.683
256.00,0.687
257.00,0.690
258.00,0.692
259.00,0.693
260.00,0.694
261.00,0.695
262.00,0.695
263.00,0.696
264.00,0.696
265.00,0.696
266.00,0.695
267.00,0.694
268.00,0.692
269.00,0.690
270.00,0.685
271.00,0.679
272.00,0.672
273.00,0.664
274.00,0.655
275.00,0.645
276.00,0.635
277.00,0.624
278.00,0.612
279.00,0.600
280.00,0.587
281.00,0.573
282.00,0.558
283.00,0.542
284.00,0.525
285.00,0.507
286.00,0.490
287.00,0.474
288.00,0.456
289.00,0.439
290.00,0.421
291.00,0.403
292.00,0.387
293.00,0.374
294.00,0.362
295.00,0.351
296.00,0.342
297.00,0.335
298.00,0.327
299.00,0.321
300.00,0.315
301.00,0.310
302.00,0.306
303.00,0.302
304.00,0.298
305.00,0.294
306.00,0.291
307.00,0.288
308.00,0.285
309.00,0.283
310.00,0.280
311.00,0.278
312.00,0.275
313.00,0.273
314.00,0.271
315.00,0.269
316.00,0.267
317.00,0.264
318.00,0.262
319.00,0.259
320.00,0.257
321.00,0.254
322.00,0.251
323.00,0.248
324.00,0.245
325.00,0.242
326.00,0.238
327.00,0.234
328.00,0.231
329.00,0.227
330.00,0.223
331.00,0.219
332.00,0.215
333.00,0.211
334.00,0.206
335.00,0.202
336.00,0.198
337.00,0.194
338.00,0.190
339.00,0.186
340.00,0.182
341.00,0.177
342.00,0.173
343.00,0.169
344.00,0.165
345.00,0.161
346.00,0.157
347.00,0.154
348.00,0.150
349.00,0.146
350.00,0.143
351.00,0.140
352.00,0.137
353.00,0.134
354.00,0.131
355.00,0.128
356.00,0.125
357.00,0.123
358.00,0.120
359.00,0.117
360.00,0.115
361.00,0.113
362.00,0.111
363.00,0.109
364.00,0.107
365.00,0.105
366.00,0.103
367.00,0.101
368.00,0.100
369.00,0.098
370.00,0.096
371.00,0.095
372.00,0.093
373.00,0.092
374.00,0.090
375.00,0.089
376.00,0.087
377.00,0.086
378.00,0.085
379.00,0.083
380.00,0.082
381.00,0.081
382.00,0.080
383.00,0.078
384.00,0.077
385.00,0.076
386.00,0.075
387.00,0.074
388.00,0.073
389.00,0.072
390.00,0.071
391.00,0.070
392.00,0.070
