"SuttonBlackLynx_100x - RawData"
"Wavelength nm.","Abs."
190.00,3.027
191.00,3.119
192.00,3.226
193.00,3.177
194.00,3.133
195.00,3.228
196.00,3.320
197.00,3.362
198.00,3.535
199.00,3.543
200.00,3.602
201.00,3.574
202.00,3.688
203.00,3.454
204.00,3.386
205.00,3.240
206.00,3.249
207.00,3.182
208.00,3.090
209.00,3.006
210.00,2.898
211.00,2.788
212.00,2.703
213.00,2.616
214.00,2.527
215.00,2.435
216.00,2.354
217.00,2.279
218.00,2.204
219.00,2.126
220.00,2.048
221.00,1.978
222.00,1.904
223.00,1.838
224.00,1.769
225.00,1.703
226.00,1.639
227.00,1.573
228.00,1.511
229.00,1.452
230.00,1.394
231.00,1.341
232.00,1.291
233.00,1.245
234.00,1.204
235.00,1.167
236.00,1.136
237.00,1.108
238.00,1.082
239.00,1.060
240.00,1.040
241.00,1.024
242.00,1.012
243.00,1.003
244.00,0.997
245.00,0.992
246.00,0.988
247.00,0.986
248.00,0.985
249.00,0.985
250.00,0.985
251.00,0.986
252.00,0.988
253.00,0.990
254.00,0.992
255.00,0.994
256.00,0.996
257.00,0.997
258.00,0.999
259.00,0.999
260.00,0.998
261.00,0.998
262.00,0.998
263.00,0.998
264.00,0.997
265.00,0.996
266.00,0.995
267.00,0.993
268.00,0.990
269.00,0.986
270.00,0.981
271.00,0.976
272.00,0.970
273.00,0.964
274.00,0.957
275.00,0.948
276.00,0.939
277.00,0.929
278.00,0.919
279.00,0.908
280.00,0.896
281.00,0.884
282.00,0.871
283.00,0.857
284.00,0.842
285.00,0.827
286.00,0.812
287.00,0.797
288.00,0.781
289.00,0.766
290.00,0.749
291.00,0.733
292.00,0.717
293.00,0.703
294.00,0.689
295.00,0.677
296.00,0.665
297.00,0.655
298.00,0.644
299.00,0.633
300.00,0.624
301.00,0.615
302.00,0.606
303.00,0.597
304.00,0.589
305.00,0.581
306.00,0.574
307.00,0.566
308.00,0.559
309.00,0.552
310.00,0.546
311.00,0.539
312.00,0.533
313.00,0.528
314.00,0.522
315.00,0.517
316.00,0.512
317.00,0.506
318.00,0.501
319.00,0.496
320.00,0.491
321.00,0.486
322.00,0.480
323.00,0.475
324.00,0.470
325.00,0.464
326.00,0.459
327.00,0.454
328.00,0.449
329.00,0.444
330.00,0.438
331.00,0.433
332.00,0.428
333.00,0.423
334.00,0.418
335.00,0.413
336.00,0.408
337.00,0.404
338.00,0.398
339.00,0.394
340.00,0.390
341.00,0.384
342.00,0.379
343.00,0.374
344.00,0.370
345.00,0.365
346.00,0.361
347.00,0.357
348.00,0.353
349.00,0.349
350.00,0.344
351.00,0.341
352.00,0.337
353.00,0.333
354.00,0.329
355.00,0.325
356.00,0.322
357.00,0.318
358.00,0.315
359.00,0.311
360.00,0.307
361.00,0.304
362.00,0.301
363.00,0.297
364.00,0.294
365.00,0.291
366.00,0.288
367.00,0.285
368.00,0.282
369.00,0.279
370.00,0.276
371.00,0.274
372.00,0.270
373.00,0.268
374.00,0.265
375.00,0.262
376.00,0.260
377.00,0.257
378.00,0.254
379.00,0.252
380.00,0.249
381.00,0.246
382.00,0.244
383.00,0.241
384.00,0.239
385.00,0.236
386.00,0.234
387.00,0.232
388.00,0.229
389.00,0.227
390.00,0.225
391.00,0.223
392.00,0.220
393.00,0.218
394.00,0.216
395.00,0.214
396.00,0.212
397.00,0.210
398.00,0.208
399.00,0.206
400.00,0.204
401.00,0.202
402.00,0.201
403.00,0.199
404.00,0.197
405.00,0.195
406.00,0.193
407.00,0.192
408.00,0.190
409.00,0.188
410.00,0.187
411.00,0.185
412.00,0.183
413.00,0.182
414.00,0.180
415.00,0.178
416.00,0.177
417.00,0.176
418.00,0.174
419.00,0.173
420.00,0.171
421.00,0.170
422.00,0.168
423.00,0.167
424.00,0.165
425.00,0.164
426.00,0.163
427.00,0.161
428.00,0.160
429.00,0.159
430.00,0.157
431.00,0.156
432.00,0.155
433.00,0.153
434.00,0.152
435.00,0.151
436.00,0.150
437.00,0.149
438.00,0.147
439.00,0.146
440.00,0.145
441.00,0.144
442.00,0.143
443.00,0.142
444.00,0.141
445.00,0.140
446.00,0.139
447.00,0.138
448.00,0.136
449.00,0.135
450.00,0.135
451.00,0.133
452.00,0.133
453.00,0.132
454.00,0.131
455.00,0.130
456.00,0.129
457.00,0.128
458.00,0.127
459.00,0.126
460.00,0.125
461.00,0.124
462.00,0.123
463.00,0.122
464.00,0.122
465.00,0.121
466.00,0.120
467.00,0.119
468.00,0.118
469.00,0.117
470.00,0.117
471.00,0.116
472.00,0.115
473.00,0.114
474.00,0.113
475.00,0.113
476.00,0.112
477.00,0.111
478.00,0.110
479.00,0.109
480.00,0.109
481.00,0.108
482.00,0.107
483.00,0.106
484.00,0.106
485.00,0.105
