"SuttonIroquois_100x - RawData"
"Wavelength nm.","Abs."
190.00,1.607
191.00,1.736
192.00,1.795
193.00,1.863
194.00,1.950
195.00,2.002
196.00,2.066
197.00,2.091
198.00,2.133
199.00,2.174
200.00,2.198
201.00,2.218
202.00,2.237
203.00,2.257
204.00,2.252
205.00,2.263
206.00,2.257
207.00,2.251
208.00,2.232
209.00,2.202
210.00,2.161
211.00,2.127
212.00,2.084
213.00,2.038
214.00,1.989
215.00,1.936
216.00,1.882
217.00,1.833
218.00,1.776
219.00,1.721
220.00,1.666
221.00,1.615
222.00,1.563
223.00,1.513
224.00,1.461
225.00,1.410
226.00,1.359
227.00,1.308
228.00,1.257
229.00,1.209
230.00,1.161
231.00,1.118
232.00,1.078
233.00,1.040
234.00,1.007
235.00,0.977
236.00,0.951
237.00,0.927
238.00,0.905
239.00,0.887
240.00,0.870
241.00,0.856
242.00,0.845
243.00,0.836
244.00,0.829
245.00,0.824
246.00,0.819
247.00,0.816
248.00,0.813
249.00,0.811
250.00,0.810
251.00,0.809
252.00,0.809
253.00,0.810
254.00,0.811
255.00,0.812
256.00,0.813
257.00,0.814
258.00,0.814
259.00,0.814
260.00,0.814
261.00,0.814
262.00,0.814
263.00,0.814
264.00,0.814
265.00,0.813
266.00,0.813
267.00,0.812
268.00,0.811
269.00,0.809
270.00,0.807
271.00,0.804
272.00,0.800
273.00,0.794
274.00,0.789
275.00,0.783
276.00,0.777
277.00,0.770
278.00,0.762
279.00,0.754
280.00,0.745
281.00,0.736
282.00,0.726
283.00,0.715
284.00,0.704
285.00,0.691
286.00,0.679
287.00,0.666
288.00,0.653
289.00,0.639
290.00,0.625
291.00,0.612
292.00,0.598
293.00,0.586
294.00,0.575
295.00,0.564
296.00,0.554
297.00,0.545
298.00,0.536
299.00,0.526
300.00,0.518
301.00,0.510
302.00,0.502
303.00,0.495
304.00,0.488
305.00,0.481
306.00,0.471
307.00,0.464
308.00,0.457
309.00,0.451
310.00,0.445
311.00,0.440
312.00,0.434
313.00,0.429
314.00,0.424
315.00,0.419
316.00,0.414
317.00,0.410
318.00,0.405
319.00,0.400
320.00,0.395
321.00,0.391
322.00,0.386
323.00,0.381
324.00,0.377
325.00,0.372
326.00,0.368
327.00,0.363
328.00,0.358
329.00,0.353
330.00,0.349
331.00,0.344
332.00,0.339
333.00,0.335
334.00,0.330
335.00,0.326
336.00,0.322
337.00,0.318
338.00,0.313
339.00,0.309
340.00,0.306
341.00,0.300
342.00,0.296
343.00,0.292
344.00,0.289
345.00,0.286
346.00,0.283
347.00,0.279
348.00,0.277
349.00,0.273
350.00,0.270
351.00,0.267
352.00,0.264
353.00,0.261
354.00,0.258
355.00,0.255
356.00,0.252
357.00,0.250
358.00,0.247
359.00,0.244
360.00,0.242
361.00,0.239
362.00,0.236
363.00,0.234
364.00,0.232
365.00,0.230
366.00,0.228
367.00,0.226
368.00,0.224
369.00,0.222
370.00,0.220
371.00,0.218
372.00,0.216
373.00,0.214
374.00,0.212
375.00,0.210
376.00,0.208
377.00,0.206
378.00,0.204
379.00,0.201
380.00,0.199
381.00,0.197
382.00,0.196
383.00,0.194
384.00,0.192
385.00,0.190
386.00,0.188
387.00,0.186
388.00,0.184
389.00,0.182
390.00,0.181
391.00,0.179
392.00,0.177
393.00,0.175
394.00,0.174
395.00,0.172
396.00,0.170
397.00,0.169
398.00,0.167
399.00,0.166
400.00,0.164
401.00,0.163
402.00,0.161
403.00,0.160
404.00,0.158
405.00,0.157
406.00,0.155
407.00,0.154
408.00,0.152
409.00,0.151
410.00,0.150
411.00,0.148
412.00,0.147
413.00,0.146
414.00,0.145
415.00,0.143
416.00,0.142
417.00,0.141
418.00,0.140
419.00,0.139
420.00,0.137
421.00,0.136
422.00,0.135
423.00,0.134
424.00,0.133
425.00,0.132
426.00,0.131
427.00,0.130
428.00,0.129
429.00,0.128
430.00,0.127
431.00,0.126
432.00,0.125
433.00,0.124
434.00,0.123
435.00,0.122
436.00,0.121
437.00,0.120
438.00,0.119
439.00,0.118
440.00,0.117
441.00,0.117
442.00,0.116
443.00,0.115
444.00,0.114
445.00,0.113
446.00,0.112
447.00,0.112
448.00,0.111
449.00,0.110
450.00,0.109
451.00,0.109
452.00,0.108
453.00,0.107
454.00,0.106
455.00,0.106
456.00,0.105
457.00,0.104
458.00,0.104
459.00,0.103
460.00,0.102
461.00,0.102
462.00,0.101
