"TDDBoissonDavril_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.567
191.00,2.973
192.00,2.945
193.00,3.029
194.00,3.095
195.00,3.015
196.00,3.090
197.00,3.178
198.00,3.186
199.00,3.243
200.00,3.413
201.00,3.272
202.00,3.317
203.00,3.400
204.00,3.332
205.00,3.348
206.00,3.247
207.00,3.228
208.00,3.170
209.00,3.126
210.00,3.009
211.00,2.912
212.00,2.835
213.00,2.698
214.00,2.601
215.00,2.490
216.00,2.398
217.00,2.295
218.00,2.191
219.00,2.089
220.00,1.990
221.00,1.895
222.00,1.807
223.00,1.720
224.00,1.629
225.00,1.541
226.00,1.453
227.00,1.362
228.00,1.275
229.00,1.194
230.00,1.119
231.00,1.051
232.00,0.991
233.00,0.937
234.00,0.892
235.00,0.852
236.00,0.819
237.00,0.790
238.00,0.766
239.00,0.747
240.00,0.731
241.00,0.717
242.00,0.707
243.00,0.700
244.00,0.694
245.00,0.690
246.00,0.687
247.00,0.685
248.00,0.685
249.00,0.685
250.00,0.686
251.00,0.688
252.00,0.690
253.00,0.693
254.00,0.696
255.00,0.699
256.00,0.702
257.00,0.704
258.00,0.706
259.00,0.707
260.00,0.707
261.00,0.708
262.00,0.709
263.00,0.709
264.00,0.710
265.00,0.710
266.00,0.709
267.00,0.709
268.00,0.708
269.00,0.705
270.00,0.701
271.00,0.697
272.00,0.690
273.00,0.684
274.00,0.675
275.00,0.665
276.00,0.655
277.00,0.643
278.00,0.630
279.00,0.616
280.00,0.602
281.00,0.587
282.00,0.570
283.00,0.552
284.00,0.533
285.00,0.512
286.00,0.494
287.00,0.476
288.00,0.457
289.00,0.438
290.00,0.418
291.00,0.398
292.00,0.382
293.00,0.366
294.00,0.354
295.00,0.343
296.00,0.333
297.00,0.325
298.00,0.318
299.00,0.311
300.00,0.306
301.00,0.301
302.00,0.296
303.00,0.292
304.00,0.289
305.00,0.286
306.00,0.283
307.00,0.280
308.00,0.278
309.00,0.275
310.00,0.273
311.00,0.271
312.00,0.269
313.00,0.267
314.00,0.266
315.00,0.264
316.00,0.262
317.00,0.260
318.00,0.258
319.00,0.256
320.00,0.254
321.00,0.252
322.00,0.249
323.00,0.247
324.00,0.244
325.00,0.241
326.00,0.238
327.00,0.235
328.00,0.232
329.00,0.229
330.00,0.225
331.00,0.222
332.00,0.218
333.00,0.215
334.00,0.211
335.00,0.207
336.00,0.204
337.00,0.200
338.00,0.196
339.00,0.193
340.00,0.190
341.00,0.184
342.00,0.180
343.00,0.177
344.00,0.174
345.00,0.171
346.00,0.168
347.00,0.164
348.00,0.161
349.00,0.158
350.00,0.155
351.00,0.152
352.00,0.149
353.00,0.147
354.00,0.144
355.00,0.141
356.00,0.139
357.00,0.137
358.00,0.134
359.00,0.132
360.00,0.130
361.00,0.128
362.00,0.126
363.00,0.124
364.00,0.123
365.00,0.121
366.00,0.120
367.00,0.118
368.00,0.116
369.00,0.115
370.00,0.113
371.00,0.112
372.00,0.110
373.00,0.109
374.00,0.108
375.00,0.107
376.00,0.105
377.00,0.104
378.00,0.103
379.00,0.102
380.00,0.101
381.00,0.100
382.00,0.099
383.00,0.098
384.00,0.097
385.00,0.096
386.00,0.095
387.00,0.094
388.00,0.093
389.00,0.092
390.00,0.092
391.00,0.091
392.00,0.090
393.00,0.089
394.00,0.089
395.00,0.088
396.00,0.087
397.00,0.087
398.00,0.086
399.00,0.086
400.00,0.085
401.00,0.085
402.00,0.084
403.00,0.084
404.00,0.083
405.00,0.083
406.00,0.082
407.00,0.082
408.00,0.082
409.00,0.081
410.00,0.081
411.00,0.080
412.00,0.080
413.00,0.080
414.00,0.079
415.00,0.079
416.00,0.078
417.00,0.078
418.00,0.078
419.00,0.078
420.00,0.077
421.00,0.077
422.00,0.077
423.00,0.077
424.00,0.076
425.00,0.076
426.00,0.076
427.00,0.075
428.00,0.075
429.00,0.075
430.00,0.075
431.00,0.075
432.00,0.074
433.00,0.074
434.00,0.074
435.00,0.074
436.00,0.073
437.00,0.073
438.00,0.073
439.00,0.073
440.00,0.073
441.00,0.072
442.00,0.072
443.00,0.072
444.00,0.072
445.00,0.072
446.00,0.072
447.00,0.071
448.00,0.071
449.00,0.071
450.00,0.071
451.00,0.071
452.00,0.071
453.00,0.071
454.00,0.070
455.00,0.070
456.00,0.070
457.00,0.070
458.00,0.070
459.00,0.070
460.00,0.069
461.00,0.069
462.00,0.069
463.00,0.069
464.00,0.069
465.00,0.069
466.00,0.069
467.00,0.069
468.00,0.068
469.00,0.068
470.00,0.068
471.00,0.068
472.00,0.068
473.00,0.068
474.00,0.068
475.00,0.067
476.00,0.067
477.00,0.067
478.00,0.067
479.00,0.067
480.00,0.067
481.00,0.067
482.00,0.067
483.00,0.066
484.00,0.066
485.00,0.066
486.00,0.066
487.00,0.066
488.00,0.066
489.00,0.066
490.00,0.065
491.00,0.065
492.00,0.065
493.00,0.065
494.00,0.065
495.00,0.065
496.00,0.065
497.00,0.065
498.00,0.065
499.00,0.064
500.00,0.064
501.00,0.064
502.00,0.064
503.00,0.064
504.00,0.064
505.00,0.064
506.00,0.064
507.00,0.064
508.00,0.063
509.00,0.063
510.00,0.063
511.00,0.063
512.00,0.063
513.00,0.063
514.00,0.063
515.00,0.063
516.00,0.063
517.00,0.063
518.00,0.062
519.00,0.062
520.00,0.062
521.00,0.062
522.00,0.062
523.00,0.062
524.00,0.062
525.00,0.062
526.00,0.062
527.00,0.061
528.00,0.061
529.00,0.061
530.00,0.061
531.00,0.061
532.00,0.061
533.00,0.061
534.00,0.061
535.00,0.061
536.00,0.061
537.00,0.061
538.00,0.060
539.00,0.060
540.00,0.060
541.00,0.060
542.00,0.060
543.00,0.060
544.00,0.060
545.00,0.060
546.00,0.060
547.00,0.059
548.00,0.059
549.00,0.059
550.00,0.059
551.00,0.059
552.00,0.059
553.00,0.059
554.00,0.059
555.00,0.059
556.00,0.059
557.00,0.059
558.00,0.059
559.00,0.059
560.00,0.058
561.00,0.058
562.00,0.058
563.00,0.058
564.00,0.058
565.00,0.058
566.00,0.058
567.00,0.058
568.00,0.058
569.00,0.058
570.00,0.058
571.00,0.057
572.00,0.057
573.00,0.057
574.00,0.057
575.00,0.057
576.00,0.057
577.00,0.057
578.00,0.057
579.00,0.057
580.00,0.057
581.00,0.057
582.00,0.057
583.00,0.057
584.00,0.057
585.00,0.057
586.00,0.056
587.00,0.056
588.00,0.056
589.00,0.056
590.00,0.056
591.00,0.056
592.00,0.056
593.00,0.056
594.00,0.056
595.00,0.056
596.00,0.056
597.00,0.056
598.00,0.056
599.00,0.056
600.00,0.056
601.00,0.056
602.00,0.056
603.00,0.056
604.00,0.056
605.00,0.056
606.00,0.056
607.00,0.055
608.00,0.055
609.00,0.055
610.00,0.055
611.00,0.055
612.00,0.055
613.00,0.055
614.00,0.055
615.00,0.055
616.00,0.055
617.00,0.055
618.00,0.055
619.00,0.055
620.00,0.055
621.00,0.055
622.00,0.055
623.00,0.054
624.00,0.054
625.00,0.054
626.00,0.054
627.00,0.054
628.00,0.054
629.00,0.054
630.00,0.054
631.00,0.054
632.00,0.054
633.00,0.054
634.00,0.054
635.00,0.054
636.00,0.054
637.00,0.054
638.00,0.053
639.00,0.053
640.00,0.053
641.00,0.053
642.00,0.053
643.00,0.053
644.00,0.053
645.00,0.053
646.00,0.053
647.00,0.053
648.00,0.053
649.00,0.053
650.00,0.053
651.00,0.053
652.00,0.053
653.00,0.053
654.00,0.053
655.00,0.053
656.00,0.053
657.00,0.053
658.00,0.053
659.00,0.053
660.00,0.053
661.00,0.053
662.00,0.053
663.00,0.053
664.00,0.053
665.00,0.052
666.00,0.052
667.00,0.052
668.00,0.052
669.00,0.052
670.00,0.052
671.00,0.052
672.00,0.052
673.00,0.052
674.00,0.052
675.00,0.052
676.00,0.052
677.00,0.052
678.00,0.052
679.00,0.052
680.00,0.052
681.00,0.052
682.00,0.052
683.00,0.052
684.00,0.052
685.00,0.052
686.00,0.052
687.00,0.052
688.00,0.052
689.00,0.052
690.00,0.052
691.00,0.052
692.00,0.052
693.00,0.051
694.00,0.051
695.00,0.051
696.00,0.051
697.00,0.051
698.00,0.051
699.00,0.051
700.00,0.052
701.00,0.052
702.00,0.052
703.00,0.052
704.00,0.052
705.00,0.052
706.00,0.052
707.00,0.052
708.00,0.052
709.00,0.052
710.00,0.052
711.00,0.052
712.00,0.052
713.00,0.052
714.00,0.052
715.00,0.053
716.00,0.053
717.00,0.053
718.00,0.053
719.00,0.053
720.00,0.053
721.00,0.054
722.00,0.054
723.00,0.054
724.00,0.054
725.00,0.054
726.00,0.055
727.00,0.055
728.00,0.055
729.00,0.056
730.00,0.056
731.00,0.057
732.00,0.057
733.00,0.058
734.00,0.058
735.00,0.058
736.00,0.059
737.00,0.059
738.00,0.059
739.00,0.059
740.00,0.059
741.00,0.059
742.00,0.059
743.00,0.059
744.00,0.059
745.00,0.059
746.00,0.059
747.00,0.059
748.00,0.059
749.00,0.059
750.00,0.059
751.00,0.059
752.00,0.059
753.00,0.059
754.00,0.059
