"TdDSangdEncre100x - RawData"
"Wavelength nm.","Abs."
190.00,2.685
191.00,2.894
192.00,3.127
193.00,2.931
194.00,3.149
195.00,3.161
196.00,3.225
197.00,3.241
198.00,3.268
199.00,3.227
200.00,3.161
201.00,3.214
202.00,3.161
203.00,3.114
204.00,2.992
205.00,2.893
206.00,2.801
207.00,2.710
208.00,2.622
209.00,2.532
210.00,2.451
211.00,2.353
212.00,2.268
213.00,2.185
214.00,2.104
215.00,2.029
216.00,1.953
217.00,1.878
218.00,1.801
219.00,1.731
220.00,1.662
221.00,1.600
222.00,1.538
223.00,1.477
224.00,1.417
225.00,1.359
226.00,1.302
227.00,1.245
228.00,1.189
229.00,1.137
230.00,1.089
231.00,1.043
232.00,1.001
233.00,0.962
234.00,0.928
235.00,0.898
236.00,0.873
237.00,0.851
238.00,0.832
239.00,0.815
240.00,0.801
241.00,0.790
242.00,0.782
243.00,0.776
244.00,0.772
245.00,0.770
246.00,0.769
247.00,0.769
248.00,0.769
249.00,0.770
250.00,0.772
251.00,0.774
252.00,0.777
253.00,0.780
254.00,0.783
255.00,0.786
256.00,0.789
257.00,0.792
258.00,0.793
259.00,0.794
260.00,0.794
261.00,0.794
262.00,0.795
263.00,0.795
264.00,0.795
265.00,0.795
266.00,0.793
267.00,0.792
268.00,0.789
269.00,0.785
270.00,0.781
271.00,0.776
272.00,0.770
273.00,0.764
274.00,0.757
275.00,0.749
276.00,0.741
277.00,0.732
278.00,0.721
279.00,0.711
280.00,0.700
281.00,0.688
282.00,0.677
283.00,0.664
284.00,0.651
285.00,0.638
286.00,0.624
287.00,0.611
288.00,0.597
289.00,0.584
290.00,0.569
291.00,0.555
292.00,0.542
293.00,0.529
294.00,0.519
295.00,0.508
296.00,0.499
297.00,0.490
298.00,0.481
299.00,0.473
300.00,0.465
301.00,0.458
302.00,0.451
303.00,0.444
304.00,0.438
305.00,0.432
306.00,0.426
307.00,0.420
308.00,0.414
309.00,0.409
310.00,0.404
311.00,0.400
312.00,0.395
313.00,0.390
314.00,0.386
315.00,0.382
316.00,0.378
317.00,0.375
318.00,0.371
319.00,0.366
320.00,0.363
321.00,0.359
322.00,0.354
323.00,0.350
324.00,0.346
325.00,0.342
326.00,0.338
327.00,0.334
328.00,0.330
329.00,0.325
330.00,0.321
331.00,0.317
332.00,0.312
333.00,0.308
334.00,0.303
335.00,0.299
336.00,0.296
337.00,0.291
338.00,0.287
339.00,0.283
340.00,0.279
341.00,0.274
342.00,0.270
343.00,0.266
344.00,0.262
345.00,0.259
346.00,0.255
347.00,0.252
348.00,0.248
349.00,0.245
350.00,0.241
351.00,0.238
352.00,0.235
353.00,0.232
354.00,0.229
355.00,0.226
356.00,0.223
357.00,0.220
358.00,0.217
359.00,0.215
360.00,0.212
361.00,0.210
362.00,0.207
363.00,0.205
364.00,0.203
365.00,0.200
366.00,0.198
367.00,0.196
368.00,0.194
369.00,0.192
370.00,0.190
371.00,0.188
372.00,0.186
373.00,0.184
374.00,0.182
375.00,0.180
376.00,0.178
377.00,0.176
378.00,0.174
379.00,0.172
380.00,0.170
381.00,0.169
382.00,0.167
383.00,0.165
384.00,0.164
385.00,0.162
386.00,0.161
387.00,0.159
388.00,0.158
389.00,0.156
390.00,0.155
391.00,0.153
392.00,0.152
393.00,0.150
394.00,0.149
395.00,0.147
396.00,0.146
397.00,0.145
398.00,0.144
399.00,0.142
400.00,0.141
401.00,0.140
402.00,0.138
403.00,0.137
404.00,0.136
405.00,0.135
406.00,0.134
407.00,0.133
408.00,0.132
409.00,0.130
410.00,0.129
411.00,0.128
412.00,0.127
413.00,0.126
414.00,0.125
415.00,0.124
416.00,0.123
417.00,0.122
418.00,0.122
419.00,0.121
420.00,0.120
421.00,0.119
422.00,0.118
423.00,0.117
424.00,0.116
425.00,0.115
426.00,0.114
427.00,0.113
428.00,0.113
429.00,0.112
430.00,0.111
431.00,0.110
432.00,0.109
433.00,0.109
434.00,0.108
435.00,0.107
436.00,0.106
437.00,0.106
438.00,0.105
439.00,0.104
440.00,0.103
441.00,0.103
442.00,0.102
443.00,0.101
444.00,0.101
445.00,0.100
446.00,0.099
447.00,0.099
448.00,0.098
449.00,0.098
450.00,0.097
451.00,0.096
452.00,0.096
453.00,0.095
454.00,0.095
455.00,0.094
456.00,0.093
457.00,0.093
458.00,0.092
459.00,0.092
460.00,0.091
461.00,0.090
462.00,0.090
463.00,0.089
464.00,0.089
465.00,0.088
466.00,0.088
467.00,0.087
468.00,0.087
469.00,0.086
470.00,0.086
471.00,0.085
472.00,0.085
473.00,0.084
474.00,0.084
475.00,0.083
476.00,0.083
477.00,0.082
478.00,0.082
479.00,0.081
480.00,0.081
481.00,0.081
482.00,0.080
483.00,0.080
484.00,0.079
485.00,0.079
486.00,0.078
487.00,0.078
488.00,0.078
489.00,0.077
490.00,0.077
491.00,0.076
492.00,0.076
493.00,0.076
494.00,0.075
495.00,0.075
496.00,0.075
497.00,0.074
498.00,0.074
499.00,0.073
500.00,0.073
501.00,0.073
502.00,0.072
503.00,0.072
504.00,0.072
505.00,0.071
506.00,0.071
507.00,0.071
508.00,0.070
509.00,0.070
510.00,0.070
511.00,0.069
512.00,0.069
513.00,0.069
514.00,0.069
515.00,0.068
516.00,0.068
517.00,0.068
518.00,0.067
519.00,0.067
520.00,0.067
521.00,0.066
522.00,0.066
523.00,0.066
524.00,0.065
525.00,0.065
526.00,0.065
527.00,0.065
528.00,0.064
529.00,0.064
530.00,0.064
531.00,0.064
532.00,0.063
533.00,0.063
534.00,0.063
535.00,0.063
536.00,0.063
537.00,0.062
538.00,0.062
539.00,0.062
540.00,0.061
541.00,0.061
542.00,0.061
543.00,0.061
544.00,0.061
545.00,0.060
546.00,0.060
547.00,0.060
548.00,0.060
549.00,0.059
550.00,0.059
551.00,0.059
552.00,0.059
553.00,0.059
554.00,0.059
555.00,0.058
556.00,0.058
557.00,0.058
558.00,0.058
559.00,0.058
560.00,0.057
561.00,0.057
562.00,0.057
563.00,0.057
564.00,0.057
565.00,0.056
566.00,0.056
567.00,0.056
568.00,0.056
569.00,0.056
570.00,0.056
571.00,0.055
572.00,0.055
573.00,0.055
574.00,0.055
575.00,0.055
576.00,0.055
577.00,0.055
578.00,0.054
579.00,0.054
580.00,0.054
581.00,0.054
582.00,0.054
583.00,0.054
584.00,0.054
585.00,0.053
586.00,0.053
587.00,0.053
588.00,0.053
589.00,0.053
590.00,0.053
591.00,0.053
592.00,0.053
593.00,0.053
594.00,0.053
595.00,0.053
596.00,0.052
597.00,0.052
598.00,0.052
599.00,0.052
600.00,0.052
601.00,0.052
602.00,0.052
603.00,0.052
604.00,0.052
605.00,0.052
606.00,0.052
607.00,0.051
608.00,0.051
609.00,0.051
610.00,0.051
611.00,0.051
612.00,0.051
613.00,0.051
614.00,0.051
615.00,0.051
616.00,0.050
617.00,0.050
618.00,0.050
619.00,0.050
620.00,0.050
621.00,0.050
622.00,0.050
623.00,0.050
624.00,0.050
625.00,0.050
626.00,0.049
627.00,0.049
628.00,0.049
629.00,0.049
630.00,0.049
631.00,0.049
632.00,0.049
633.00,0.049
634.00,0.049
635.00,0.049
636.00,0.049
637.00,0.048
638.00,0.048
639.00,0.048
640.00,0.048
641.00,0.048
642.00,0.048
643.00,0.048
644.00,0.048
645.00,0.048
646.00,0.048
647.00,0.048
648.00,0.048
649.00,0.048
650.00,0.048
651.00,0.048
652.00,0.048
653.00,0.047
654.00,0.047
