"UnibroueFinDuMonde50x - RawData"
"Wavelength nm.","Abs."
190.00,2.583
191.00,2.906
192.00,2.853
193.00,2.870
194.00,3.313
195.00,3.182
196.00,3.153
197.00,3.146
198.00,3.160
199.00,3.258
200.00,3.387
201.00,3.217
202.00,3.212
203.00,3.280
204.00,3.238
205.00,3.166
206.00,3.056
207.00,2.962
208.00,2.860
209.00,2.743
210.00,2.634
211.00,2.512
212.00,2.408
213.00,2.294
214.00,2.180
215.00,2.082
216.00,1.985
217.00,1.892
218.00,1.802
219.00,1.715
220.00,1.629
221.00,1.549
222.00,1.473
223.00,1.398
224.00,1.323
225.00,1.252
226.00,1.181
227.00,1.109
228.00,1.037
229.00,0.971
230.00,0.909
231.00,0.852
232.00,0.802
233.00,0.756
234.00,0.717
235.00,0.683
236.00,0.653
237.00,0.627
238.00,0.606
239.00,0.589
240.00,0.575
241.00,0.563
242.00,0.555
243.00,0.549
244.00,0.545
245.00,0.542
246.00,0.540
247.00,0.539
248.00,0.538
249.00,0.538
250.00,0.539
251.00,0.540
252.00,0.541
253.00,0.543
254.00,0.545
255.00,0.547
256.00,0.549
257.00,0.550
258.00,0.552
259.00,0.552
260.00,0.553
261.00,0.553
262.00,0.554
263.00,0.556
264.00,0.558
265.00,0.559
266.00,0.559
267.00,0.560
268.00,0.561
269.00,0.560
270.00,0.559
271.00,0.557
272.00,0.556
273.00,0.553
274.00,0.550
275.00,0.545
276.00,0.540
277.00,0.534
278.00,0.526
279.00,0.518
280.00,0.510
281.00,0.501
282.00,0.492
283.00,0.481
284.00,0.469
285.00,0.456
286.00,0.444
287.00,0.432
288.00,0.419
289.00,0.407
290.00,0.394
291.00,0.382
292.00,0.370
293.00,0.359
294.00,0.350
295.00,0.342
296.00,0.335
297.00,0.328
298.00,0.322
299.00,0.316
300.00,0.310
301.00,0.305
302.00,0.300
303.00,0.296
304.00,0.292
305.00,0.288
306.00,0.284
307.00,0.280
308.00,0.277
309.00,0.274
310.00,0.271
311.00,0.268
312.00,0.265
313.00,0.262
314.00,0.259
315.00,0.257
316.00,0.254
317.00,0.252
318.00,0.249
319.00,0.246
320.00,0.243
321.00,0.240
322.00,0.237
323.00,0.234
324.00,0.231
325.00,0.228
326.00,0.224
327.00,0.221
328.00,0.218
329.00,0.214
330.00,0.210
331.00,0.207
332.00,0.203
333.00,0.199
334.00,0.195
335.00,0.192
336.00,0.188
337.00,0.185
338.00,0.181
339.00,0.177
340.00,0.174
341.00,0.169
342.00,0.165
343.00,0.162
344.00,0.158
345.00,0.154
346.00,0.151
347.00,0.148
348.00,0.145
349.00,0.142
350.00,0.139
351.00,0.136
352.00,0.134
353.00,0.131
354.00,0.128
355.00,0.126
356.00,0.123
357.00,0.121
358.00,0.119
359.00,0.117
360.00,0.114
361.00,0.112
362.00,0.111
363.00,0.109
364.00,0.107
365.00,0.106
366.00,0.104
367.00,0.102
368.00,0.101
369.00,0.100
370.00,0.098
371.00,0.097
372.00,0.096
373.00,0.095
374.00,0.093
375.00,0.092
376.00,0.091
377.00,0.090
378.00,0.089
379.00,0.088
380.00,0.087
381.00,0.086
382.00,0.085
383.00,0.084
384.00,0.083
385.00,0.082
386.00,0.082
387.00,0.081
388.00,0.080
389.00,0.080
390.00,0.079
391.00,0.078
392.00,0.078
393.00,0.077
394.00,0.076
395.00,0.076
396.00,0.075
397.00,0.075
398.00,0.075
399.00,0.074
400.00,0.073
401.00,0.073
402.00,0.073
403.00,0.072
404.00,0.072
405.00,0.071
