"UnibroueFinduMonde_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.698
191.00,3.135
192.00,3.366
193.00,3.162
194.00,3.422
195.00,3.516
196.00,3.490
197.00,3.621
198.00,3.481
199.00,3.413
200.00,3.656
201.00,3.634
202.00,3.642
203.00,3.660
204.00,3.548
205.00,3.607
206.00,3.762
207.00,3.708
208.00,3.718
209.00,3.685
210.00,3.628
211.00,3.707
212.00,3.439
213.00,3.303
214.00,3.206
215.00,3.095
216.00,2.969
217.00,2.820
218.00,2.721
219.00,2.570
220.00,2.430
221.00,2.308
222.00,2.190
223.00,2.078
224.00,1.965
225.00,1.854
226.00,1.745
227.00,1.632
228.00,1.522
229.00,1.420
230.00,1.323
231.00,1.236
232.00,1.158
233.00,1.090
234.00,1.033
235.00,0.985
236.00,0.944
237.00,0.911
238.00,0.886
239.00,0.867
240.00,0.853
241.00,0.844
242.00,0.839
243.00,0.837
244.00,0.838
245.00,0.840
246.00,0.844
247.00,0.849
248.00,0.855
249.00,0.862
250.00,0.869
251.00,0.876
252.00,0.884
253.00,0.891
254.00,0.898
255.00,0.905
256.00,0.912
257.00,0.917
258.00,0.920
259.00,0.922
260.00,0.922
261.00,0.923
262.00,0.923
263.00,0.924
264.00,0.924
265.00,0.923
266.00,0.920
267.00,0.917
268.00,0.912
269.00,0.906
270.00,0.897
271.00,0.888
272.00,0.878
273.00,0.866
274.00,0.852
275.00,0.837
276.00,0.821
277.00,0.803
278.00,0.783
279.00,0.763
280.00,0.743
281.00,0.721
282.00,0.698
283.00,0.674
284.00,0.649
285.00,0.623
286.00,0.599
287.00,0.576
288.00,0.552
289.00,0.530
290.00,0.505
291.00,0.481
292.00,0.461
293.00,0.442
294.00,0.426
295.00,0.412
296.00,0.400
297.00,0.390
298.00,0.380
299.00,0.371
300.00,0.363
301.00,0.356
302.00,0.349
303.00,0.344
304.00,0.339
305.00,0.334
306.00,0.330
307.00,0.325
308.00,0.321
309.00,0.317
310.00,0.314
311.00,0.310
312.00,0.307
313.00,0.304
314.00,0.301
315.00,0.298
316.00,0.295
317.00,0.292
318.00,0.289
319.00,0.286
320.00,0.282
321.00,0.279
322.00,0.275
323.00,0.271
324.00,0.268
325.00,0.264
326.00,0.259
327.00,0.255
328.00,0.251
329.00,0.246
330.00,0.241
331.00,0.237
332.00,0.232
333.00,0.227
334.00,0.222
335.00,0.217
336.00,0.212
337.00,0.208
338.00,0.203
339.00,0.198
340.00,0.194
341.00,0.188
342.00,0.183
343.00,0.179
344.00,0.174
345.00,0.170
346.00,0.166
347.00,0.162
348.00,0.158
349.00,0.154
350.00,0.150
351.00,0.146
352.00,0.143
353.00,0.140
354.00,0.136
355.00,0.133
356.00,0.130
357.00,0.127
358.00,0.124
359.00,0.121
360.00,0.119
361.00,0.116
362.00,0.114
363.00,0.112
364.00,0.110
365.00,0.107
366.00,0.106
367.00,0.104
368.00,0.102
369.00,0.100
370.00,0.098
371.00,0.097
372.00,0.095
373.00,0.094
374.00,0.092
375.00,0.091
376.00,0.090
377.00,0.089
378.00,0.087
379.00,0.086
380.00,0.085
381.00,0.084
382.00,0.083
383.00,0.082
384.00,0.081
385.00,0.080
386.00,0.079
387.00,0.078
388.00,0.077
389.00,0.076
390.00,0.076
391.00,0.075
392.00,0.074
393.00,0.073
394.00,0.073
395.00,0.072
396.00,0.071
397.00,0.071
398.00,0.070
399.00,0.070
400.00,0.069
401.00,0.069
402.00,0.068
403.00,0.068
404.00,0.067
405.00,0.067
406.00,0.066
407.00,0.066
408.00,0.066
409.00,0.065
410.00,0.065
411.00,0.064
412.00,0.064
413.00,0.063
414.00,0.063
415.00,0.063
416.00,0.062
417.00,0.062
418.00,0.062
419.00,0.061
420.00,0.061
421.00,0.061
422.00,0.060
423.00,0.060
424.00,0.060
425.00,0.059
426.00,0.059
427.00,0.059
428.00,0.058
429.00,0.058
430.00,0.058
431.00,0.058
432.00,0.057
433.00,0.057
434.00,0.057
435.00,0.056
436.00,0.056
437.00,0.056
438.00,0.056
439.00,0.056
440.00,0.055
441.00,0.055
442.00,0.055
443.00,0.055
444.00,0.055
445.00,0.054
446.00,0.054
447.00,0.054
448.00,0.054
449.00,0.054
450.00,0.053
451.00,0.053
452.00,0.053
453.00,0.053
454.00,0.053
455.00,0.053
456.00,0.052
457.00,0.052
458.00,0.052
459.00,0.052
460.00,0.052
461.00,0.052
462.00,0.052
463.00,0.051
464.00,0.051
465.00,0.051
466.00,0.051
467.00,0.051
468.00,0.051
469.00,0.050
470.00,0.050
471.00,0.050
472.00,0.050
473.00,0.050
474.00,0.050
475.00,0.050
476.00,0.049
477.00,0.049
478.00,0.049
479.00,0.049
480.00,0.049
481.00,0.049
482.00,0.049
483.00,0.048
484.00,0.048
485.00,0.048
486.00,0.048
487.00,0.048
488.00,0.048
489.00,0.048
490.00,0.048
491.00,0.047
492.00,0.047
493.00,0.047
494.00,0.047
495.00,0.047
496.00,0.047
497.00,0.047
498.00,0.047
499.00,0.047
500.00,0.046
501.00,0.046
502.00,0.046
503.00,0.046
504.00,0.046
505.00,0.046
506.00,0.046
507.00,0.046
508.00,0.046
509.00,0.046
510.00,0.046
511.00,0.045
512.00,0.045
513.00,0.045
514.00,0.045
515.00,0.045
516.00,0.045
517.00,0.045
518.00,0.045
519.00,0.045
520.00,0.045
521.00,0.045
522.00,0.045
523.00,0.045
524.00,0.044
525.00,0.044
526.00,0.044
527.00,0.044
528.00,0.044
529.00,0.044
530.00,0.044
531.00,0.044
532.00,0.044
533.00,0.044
534.00,0.044
535.00,0.044
536.00,0.044
537.00,0.044
538.00,0.044
539.00,0.043
540.00,0.043
541.00,0.043
542.00,0.043
543.00,0.043
544.00,0.043
545.00,0.043
546.00,0.043
547.00,0.043
548.00,0.043
549.00,0.043
550.00,0.043
551.00,0.043
552.00,0.043
553.00,0.043
554.00,0.043
555.00,0.042
556.00,0.042
557.00,0.042
558.00,0.042
559.00,0.042
560.00,0.042
561.00,0.042
562.00,0.042
563.00,0.042
564.00,0.042
565.00,0.042
566.00,0.042
567.00,0.042
568.00,0.042
569.00,0.042
570.00,0.042
571.00,0.042
572.00,0.042
573.00,0.042
574.00,0.042
575.00,0.042
576.00,0.042
577.00,0.042
578.00,0.041
579.00,0.041
580.00,0.041
581.00,0.041
582.00,0.041
583.00,0.041
584.00,0.041
585.00,0.041
586.00,0.041
587.00,0.041
588.00,0.041
589.00,0.041
590.00,0.041
591.00,0.041
592.00,0.041
593.00,0.041
594.00,0.041
595.00,0.041
596.00,0.041
597.00,0.041
598.00,0.041
599.00,0.041
600.00,0.041
601.00,0.041
602.00,0.041
603.00,0.041
604.00,0.041
605.00,0.041
606.00,0.041
607.00,0.041
608.00,0.041
609.00,0.041
610.00,0.041
611.00,0.041
612.00,0.041
613.00,0.041
614.00,0.041
615.00,0.041
616.00,0.041
617.00,0.041
618.00,0.041
619.00,0.041
620.00,0.041
621.00,0.041
622.00,0.041
623.00,0.041
624.00,0.041
625.00,0.041
626.00,0.041
627.00,0.041
628.00,0.041
629.00,0.041
630.00,0.041
631.00,0.041
632.00,0.041
633.00,0.041
634.00,0.041
635.00,0.040
636.00,0.040
637.00,0.040
638.00,0.040
639.00,0.040
640.00,0.040
641.00,0.040
642.00,0.040
643.00,0.040
644.00,0.040
645.00,0.040
646.00,0.040
647.00,0.040
648.00,0.040
649.00,0.040
650.00,0.040
651.00,0.040
652.00,0.040
653.00,0.040
654.00,0.040
655.00,0.040
656.00,0.040
657.00,0.040
658.00,0.040
659.00,0.040
660.00,0.040
661.00,0.040
662.00,0.040
663.00,0.040
664.00,0.040
665.00,0.040
666.00,0.040
667.00,0.040
668.00,0.040
669.00,0.040
670.00,0.040
671.00,0.040
672.00,0.040
673.00,0.040
674.00,0.040
675.00,0.040
676.00,0.040
677.00,0.040
678.00,0.040
679.00,0.040
680.00,0.040
681.00,0.040
682.00,0.040
683.00,0.040
684.00,0.040
685.00,0.040
686.00,0.040
687.00,0.040
688.00,0.040
689.00,0.040
690.00,0.040
691.00,0.040
692.00,0.040
693.00,0.040
694.00,0.040
695.00,0.040
696.00,0.040
697.00,0.040
698.00,0.040
699.00,0.040
700.00,0.040
701.00,0.040
702.00,0.040
703.00,0.040
704.00,0.041
705.00,0.041
706.00,0.041
707.00,0.041
708.00,0.041
709.00,0.041
710.00,0.041
711.00,0.041
712.00,0.041
713.00,0.041
714.00,0.042
715.00,0.042
716.00,0.042
717.00,0.042
718.00,0.042
719.00,0.042
720.00,0.043
721.00,0.043
722.00,0.043
723.00,0.043
724.00,0.044
725.00,0.044
726.00,0.044
727.00,0.044
728.00,0.045
729.00,0.045
730.00,0.046
731.00,0.046
732.00,0.047
733.00,0.047
734.00,0.048
735.00,0.048
736.00,0.048
737.00,0.048
738.00,0.049
739.00,0.049
740.00,0.049
741.00,0.049
742.00,0.049
743.00,0.049
744.00,0.049
745.00,0.049
746.00,0.049
747.00,0.049
748.00,0.049
749.00,0.049
750.00,0.049
751.00,0.049
752.00,0.049
753.00,0.049
754.00,0.049
755.00,0.049
756.00,0.049
757.00,0.049
758.00,0.049
759.00,0.049
760.00,0.049
761.00,0.049
762.00,0.049
763.00,0.049
764.00,0.049
765.00,0.049
766.00,0.049
767.00,0.049
768.00,0.049
769.00,0.049
770.00,0.048
771.00,0.048
772.00,0.048
773.00,0.048
774.00,0.048
775.00,0.048
776.00,0.048
777.00,0.048
778.00,0.048
779.00,0.048
780.00,0.048
781.00,0.048
782.00,0.048
783.00,0.047
784.00,0.047
785.00,0.047
786.00,0.047
787.00,0.047
788.00,0.047
789.00,0.047
790.00,0.047
791.00,0.047
792.00,0.047
793.00,0.046
794.00,0.046
795.00,0.046
796.00,0.046
797.00,0.046
798.00,0.046
799.00,0.046
800.00,0.046
801.00,0.046
802.00,0.046
803.00,0.046
804.00,0.045
805.00,0.045
806.00,0.045
807.00,0.045
808.00,0.045
809.00,0.045
810.00,0.045
811.00,0.045
812.00,0.045
813.00,0.045
814.00,0.045
815.00,0.046
816.00,0.046
817.00,0.046
818.00,0.046
819.00,0.046
820.00,0.046
821.00,0.046
822.00,0.046
823.00,0.047
824.00,0.047
825.00,0.047
826.00,0.048
827.00,0.048
828.00,0.049
