"UnibroueFramboise_50x - RawData"
"Wavelength nm.","Abs."
190.00,1.788
191.00,1.926
192.00,1.980
193.00,2.046
194.00,2.135
195.00,2.171
196.00,2.236
197.00,2.280
198.00,2.319
199.00,2.370
200.00,2.400
201.00,2.430
202.00,2.446
203.00,2.459
204.00,2.475
205.00,2.519
206.00,2.534
207.00,2.540
208.00,2.568
209.00,2.582
210.00,2.577
211.00,2.554
212.00,2.546
213.00,2.501
214.00,2.463
215.00,2.403
216.00,2.340
217.00,2.265
218.00,2.190
219.00,2.106
220.00,2.011
221.00,1.920
222.00,1.824
223.00,1.730
224.00,1.631
225.00,1.536
226.00,1.440
227.00,1.339
228.00,1.241
229.00,1.150
230.00,1.064
231.00,0.987
232.00,0.916
233.00,0.853
234.00,0.799
235.00,0.751
236.00,0.710
237.00,0.674
238.00,0.645
239.00,0.621
240.00,0.600
241.00,0.584
242.00,0.572
243.00,0.562
244.00,0.555
245.00,0.549
246.00,0.545
247.00,0.542
248.00,0.539
249.00,0.538
250.00,0.537
251.00,0.538
252.00,0.538
253.00,0.538
254.00,0.539
255.00,0.540
256.00,0.542
257.00,0.543
258.00,0.545
259.00,0.546
260.00,0.547
261.00,0.548
262.00,0.550
263.00,0.551
264.00,0.552
265.00,0.553
266.00,0.553
267.00,0.554
268.00,0.554
269.00,0.552
270.00,0.549
271.00,0.545
272.00,0.541
273.00,0.536
274.00,0.531
275.00,0.524
276.00,0.517
277.00,0.509
278.00,0.501
279.00,0.492
280.00,0.483
281.00,0.473
282.00,0.463
283.00,0.451
284.00,0.439
285.00,0.426
286.00,0.415
287.00,0.404
288.00,0.393
289.00,0.382
290.00,0.370
291.00,0.358
292.00,0.347
293.00,0.337
294.00,0.328
295.00,0.320
296.00,0.313
297.00,0.307
298.00,0.300
299.00,0.295
300.00,0.289
301.00,0.284
302.00,0.279
303.00,0.275
304.00,0.272
305.00,0.268
306.00,0.264
307.00,0.261
308.00,0.258
309.00,0.255
310.00,0.252
311.00,0.250
312.00,0.247
313.00,0.244
314.00,0.242
315.00,0.240
316.00,0.238
317.00,0.235
318.00,0.232
319.00,0.230
320.00,0.228
321.00,0.225
322.00,0.222
323.00,0.219
324.00,0.217
325.00,0.213
326.00,0.210
327.00,0.207
328.00,0.204
329.00,0.200
330.00,0.197
331.00,0.194
332.00,0.190
333.00,0.186
334.00,0.182
335.00,0.179
336.00,0.176
337.00,0.172
338.00,0.168
339.00,0.165
340.00,0.162
341.00,0.157
342.00,0.153
343.00,0.150
344.00,0.146
345.00,0.143
346.00,0.140
347.00,0.137
348.00,0.134
349.00,0.130
350.00,0.127
351.00,0.125
352.00,0.122
353.00,0.119
354.00,0.117
355.00,0.114
356.00,0.112
357.00,0.110
358.00,0.107
359.00,0.105
360.00,0.103
361.00,0.101
362.00,0.099
363.00,0.098
364.00,0.096
365.00,0.095
366.00,0.093
367.00,0.092
368.00,0.090
369.00,0.089
370.00,0.088
371.00,0.086
372.00,0.085
373.00,0.084
374.00,0.083
375.00,0.082
376.00,0.081
377.00,0.080
378.00,0.079
379.00,0.078
380.00,0.077
381.00,0.076
382.00,0.076
383.00,0.075
384.00,0.074
385.00,0.074
386.00,0.073
387.00,0.072
388.00,0.072
389.00,0.071
390.00,0.070
391.00,0.070
392.00,0.069
393.00,0.069
394.00,0.068
395.00,0.068
396.00,0.067
397.00,0.067
398.00,0.066
399.00,0.066
400.00,0.066
401.00,0.065
402.00,0.065
403.00,0.064
404.00,0.064
405.00,0.064
406.00,0.063
407.00,0.063
408.00,0.063
409.00,0.063
410.00,0.062
411.00,0.062
412.00,0.062
413.00,0.061
414.00,0.061
415.00,0.061
416.00,0.060
417.00,0.060
418.00,0.060
419.00,0.060
420.00,0.060
421.00,0.059
422.00,0.059
423.00,0.059
424.00,0.059
425.00,0.058
426.00,0.058
427.00,0.058
428.00,0.058
429.00,0.058
430.00,0.058
431.00,0.057
432.00,0.057
433.00,0.057
434.00,0.057
435.00,0.057
436.00,0.056
437.00,0.056
438.00,0.056
439.00,0.056
440.00,0.056
441.00,0.056
442.00,0.055
443.00,0.055
444.00,0.055
445.00,0.055
446.00,0.055
447.00,0.055
448.00,0.055
449.00,0.055
450.00,0.054
451.00,0.054
452.00,0.054
453.00,0.054
454.00,0.054
455.00,0.054
456.00,0.054
457.00,0.054
458.00,0.053
459.00,0.053
460.00,0.053
461.00,0.053
462.00,0.053
463.00,0.053
464.00,0.053
465.00,0.053
466.00,0.053
467.00,0.052
468.00,0.052
469.00,0.052
470.00,0.052
471.00,0.052
472.00,0.052
473.00,0.052
474.00,0.052
475.00,0.052
476.00,0.052
477.00,0.052
478.00,0.051
479.00,0.051
480.00,0.051
481.00,0.051
482.00,0.051
483.00,0.051
484.00,0.051
485.00,0.051
486.00,0.051
487.00,0.051
488.00,0.050
489.00,0.050
490.00,0.050
491.00,0.050
492.00,0.050
493.00,0.050
494.00,0.050
495.00,0.050
496.00,0.050
497.00,0.050
498.00,0.050
499.00,0.049
500.00,0.049
501.00,0.049
502.00,0.049
503.00,0.049
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.049
508.00,0.049
509.00,0.049
510.00,0.048
511.00,0.048
512.00,0.048
513.00,0.048
514.00,0.048
515.00,0.048
516.00,0.048
517.00,0.048
518.00,0.048
519.00,0.048
520.00,0.048
521.00,0.047
522.00,0.047
523.00,0.047
524.00,0.047
525.00,0.047
526.00,0.047
527.00,0.047
528.00,0.047
529.00,0.046
530.00,0.046
531.00,0.046
532.00,0.046
533.00,0.046
534.00,0.046
535.00,0.046
536.00,0.046
537.00,0.046
538.00,0.046
539.00,0.046
540.00,0.046
541.00,0.045
542.00,0.045
543.00,0.045
544.00,0.045
545.00,0.045
546.00,0.045
547.00,0.045
548.00,0.045
549.00,0.045
550.00,0.045
551.00,0.045
552.00,0.045
553.00,0.045
554.00,0.045
555.00,0.045
556.00,0.044
557.00,0.044
558.00,0.044
559.00,0.044
560.00,0.044
561.00,0.044
562.00,0.044
563.00,0.044
564.00,0.044
565.00,0.044
566.00,0.044
567.00,0.044
568.00,0.044
569.00,0.044
570.00,0.044
571.00,0.044
572.00,0.043
573.00,0.043
574.00,0.043
575.00,0.043
576.00,0.043
577.00,0.043
578.00,0.043
579.00,0.043
580.00,0.043
581.00,0.043
582.00,0.043
583.00,0.043
584.00,0.043
585.00,0.043
586.00,0.043
587.00,0.043
588.00,0.043
589.00,0.043
590.00,0.043
591.00,0.043
592.00,0.043
593.00,0.043
594.00,0.043
595.00,0.043
596.00,0.043
597.00,0.043
598.00,0.043
599.00,0.043
600.00,0.043
601.00,0.043
602.00,0.043
603.00,0.043
604.00,0.043
605.00,0.043
606.00,0.043
607.00,0.043
608.00,0.042
609.00,0.042
610.00,0.042
611.00,0.042
612.00,0.042
613.00,0.042
614.00,0.042
615.00,0.042
616.00,0.042
617.00,0.042
618.00,0.042
619.00,0.042
620.00,0.042
621.00,0.042
622.00,0.042
623.00,0.042
624.00,0.042
625.00,0.042
626.00,0.042
627.00,0.042
628.00,0.042
629.00,0.042
630.00,0.042
631.00,0.042
632.00,0.042
633.00,0.042
634.00,0.042
635.00,0.042
636.00,0.041
637.00,0.041
638.00,0.041
639.00,0.041
640.00,0.041
641.00,0.041
642.00,0.041
643.00,0.041
644.00,0.041
645.00,0.041
646.00,0.041
647.00,0.041
648.00,0.041
649.00,0.041
650.00,0.041
651.00,0.041
652.00,0.041
653.00,0.041
654.00,0.041
655.00,0.041
656.00,0.041
657.00,0.041
658.00,0.041
659.00,0.041
660.00,0.041
661.00,0.041
662.00,0.041
663.00,0.041
664.00,0.041
665.00,0.041
666.00,0.041
667.00,0.041
668.00,0.041
669.00,0.041
670.00,0.041
671.00,0.041
672.00,0.041
673.00,0.041
674.00,0.041
675.00,0.041
676.00,0.041
677.00,0.041
678.00,0.041
679.00,0.041
680.00,0.041
681.00,0.041
682.00,0.041
683.00,0.041
684.00,0.041
685.00,0.041
686.00,0.041
687.00,0.041
688.00,0.041
689.00,0.041
690.00,0.041
691.00,0.041
692.00,0.041
693.00,0.041
694.00,0.041
695.00,0.041
696.00,0.041
697.00,0.041
698.00,0.041
699.00,0.041
700.00,0.041
701.00,0.041
702.00,0.041
703.00,0.041
704.00,0.041
705.00,0.041
706.00,0.041
707.00,0.041
708.00,0.041
709.00,0.042
710.00,0.042
711.00,0.042
712.00,0.042
713.00,0.042
714.00,0.042
715.00,0.042
716.00,0.043
717.00,0.043
718.00,0.043
719.00,0.043
720.00,0.043
721.00,0.044
722.00,0.044
723.00,0.044
724.00,0.044
725.00,0.045
726.00,0.045
727.00,0.045
728.00,0.046
729.00,0.046
730.00,0.046
731.00,0.047
732.00,0.047
733.00,0.048
734.00,0.048
735.00,0.049
736.00,0.049
737.00,0.049
738.00,0.050
739.00,0.050
740.00,0.050
741.00,0.050
742.00,0.050
743.00,0.050
744.00,0.050
745.00,0.050
746.00,0.050
747.00,0.049
748.00,0.050
749.00,0.050
750.00,0.050
751.00,0.050
752.00,0.050
753.00,0.050
754.00,0.050
755.00,0.050
756.00,0.050
757.00,0.049
758.00,0.049
759.00,0.049
760.00,0.050
761.00,0.049
762.00,0.049
763.00,0.049
764.00,0.049
765.00,0.049
766.00,0.049
767.00,0.049
768.00,0.049
769.00,0.049
770.00,0.049
771.00,0.049
772.00,0.049
773.00,0.049
774.00,0.049
775.00,0.049
776.00,0.048
777.00,0.048
778.00,0.048
779.00,0.048
780.00,0.048
781.00,0.048
782.00,0.048
783.00,0.048
784.00,0.048
785.00,0.048
786.00,0.048
787.00,0.047
788.00,0.047
789.00,0.047
790.00,0.047
791.00,0.047
792.00,0.047
793.00,0.047
794.00,0.047
795.00,0.047
796.00,0.047
797.00,0.046
798.00,0.046
799.00,0.046
800.00,0.046
801.00,0.046
802.00,0.046
803.00,0.046
804.00,0.046
805.00,0.046
806.00,0.046
807.00,0.046
808.00,0.046
809.00,0.046
810.00,0.046
811.00,0.046
812.00,0.046
813.00,0.046
814.00,0.046
815.00,0.046
816.00,0.046
817.00,0.046
818.00,0.046
819.00,0.046
820.00,0.046
821.00,0.047
822.00,0.047
823.00,0.047
824.00,0.047
825.00,0.048
826.00,0.048
827.00,0.049
828.00,0.049
829.00,0.050
830.00,0.051
831.00,0.051
832.00,0.052
833.00,0.052
834.00,0.052
835.00,0.052
836.00,0.053
837.00,0.053
838.00,0.053
839.00,0.053
840.00,0.053
841.00,0.053
842.00,0.053
843.00,0.054
844.00,0.054
845.00,0.054
846.00,0.054
847.00,0.054
848.00,0.054
849.00,0.054
850.00,0.054
851.00,0.055
852.00,0.055
853.00,0.055
854.00,0.055
855.00,0.055
856.00,0.055
857.00,0.055
858.00,0.055
859.00,0.055
860.00,0.055
861.00,0.055
862.00,0.056
863.00,0.056
864.00,0.056
865.00,0.056
866.00,0.056
867.00,0.056
868.00,0.056
869.00,0.056
870.00,0.057
871.00,0.057
872.00,0.057
873.00,0.057
874.00,0.057
875.00,0.057
876.00,0.057
877.00,0.058
878.00,0.058
879.00,0.058
880.00,0.058
881.00,0.059
882.00,0.059
883.00,0.059
884.00,0.059
885.00,0.060
886.00,0.060
887.00,0.060
888.00,0.060
889.00,0.061
890.00,0.061
891.00,0.061
892.00,0.061
893.00,0.061
894.00,0.062
895.00,0.062
896.00,0.062
897.00,0.062
898.00,0.063
899.00,0.063
900.00,0.063
