"UnibroueMaudite50x - RawData"
"Wavelength nm.","Abs."
190.00,2.553
191.00,2.864
192.00,2.772
193.00,2.897
194.00,3.069
195.00,3.135
196.00,3.083
197.00,3.284
198.00,3.330
199.00,3.235
200.00,3.215
201.00,3.290
202.00,3.188
203.00,3.261
204.00,3.291
205.00,3.282
206.00,3.275
207.00,3.278
208.00,3.211
209.00,3.136
210.00,3.043
211.00,2.948
212.00,2.851
213.00,2.742
214.00,2.633
215.00,2.522
216.00,2.428
217.00,2.325
218.00,2.224
219.00,2.116
220.00,2.016
221.00,1.923
222.00,1.835
223.00,1.751
224.00,1.665
225.00,1.582
226.00,1.502
227.00,1.419
228.00,1.337
229.00,1.262
230.00,1.190
231.00,1.124
232.00,1.064
233.00,1.009
234.00,0.962
235.00,0.921
236.00,0.885
237.00,0.855
238.00,0.829
239.00,0.808
240.00,0.790
241.00,0.775
242.00,0.764
243.00,0.757
244.00,0.751
245.00,0.747
246.00,0.745
247.00,0.744
248.00,0.744
249.00,0.745
250.00,0.747
251.00,0.749
252.00,0.752
253.00,0.756
254.00,0.759
255.00,0.763
256.00,0.767
257.00,0.770
258.00,0.772
259.00,0.774
260.00,0.775
261.00,0.776
262.00,0.777
263.00,0.779
264.00,0.781
265.00,0.782
266.00,0.783
267.00,0.783
268.00,0.783
269.00,0.781
270.00,0.778
271.00,0.774
272.00,0.770
273.00,0.765
274.00,0.759
275.00,0.751
276.00,0.743
277.00,0.734
278.00,0.723
279.00,0.711
280.00,0.700
281.00,0.687
282.00,0.674
283.00,0.659
284.00,0.644
285.00,0.627
286.00,0.611
287.00,0.594
288.00,0.577
289.00,0.560
290.00,0.543
291.00,0.526
292.00,0.510
293.00,0.496
294.00,0.484
295.00,0.472
296.00,0.463
297.00,0.454
298.00,0.445
299.00,0.437
300.00,0.429
301.00,0.422
302.00,0.415
303.00,0.409
304.00,0.404
305.00,0.398
306.00,0.393
307.00,0.388
308.00,0.383
309.00,0.378
310.00,0.374
311.00,0.369
312.00,0.365
313.00,0.361
314.00,0.357
315.00,0.353
316.00,0.349
317.00,0.346
318.00,0.341
319.00,0.337
320.00,0.333
321.00,0.328
322.00,0.324
323.00,0.319
324.00,0.315
325.00,0.310
326.00,0.305
327.00,0.300
328.00,0.295
329.00,0.290
330.00,0.284
331.00,0.279
332.00,0.274
333.00,0.269
334.00,0.263
335.00,0.258
336.00,0.253
337.00,0.248
338.00,0.243
339.00,0.238
340.00,0.233
341.00,0.226
342.00,0.221
343.00,0.216
344.00,0.212
345.00,0.207
346.00,0.203
347.00,0.198
348.00,0.194
349.00,0.190
350.00,0.186
351.00,0.183
352.00,0.179
353.00,0.175
354.00,0.172
355.00,0.168
356.00,0.165
357.00,0.162
358.00,0.159
359.00,0.156
360.00,0.153
361.00,0.151
362.00,0.148
363.00,0.146
364.00,0.144
365.00,0.142
366.00,0.139
367.00,0.137
368.00,0.135
369.00,0.133
370.00,0.131
371.00,0.130
372.00,0.128
373.00,0.126
374.00,0.125
375.00,0.123
376.00,0.122
377.00,0.120
378.00,0.119
379.00,0.117
380.00,0.116
381.00,0.115
382.00,0.113
383.00,0.112
384.00,0.111
385.00,0.110
386.00,0.109
387.00,0.108
388.00,0.107
389.00,0.105
390.00,0.105
391.00,0.104
392.00,0.103
393.00,0.102
394.00,0.101
395.00,0.100
396.00,0.099
397.00,0.099
398.00,0.098
399.00,0.097
400.00,0.096
401.00,0.096
402.00,0.095
403.00,0.094
404.00,0.094
405.00,0.093
406.00,0.093
407.00,0.092
408.00,0.092
409.00,0.091
410.00,0.090
411.00,0.090
412.00,0.089
413.00,0.089
414.00,0.088
415.00,0.088
416.00,0.087
417.00,0.087
418.00,0.087
419.00,0.086
420.00,0.086
421.00,0.085
422.00,0.085
423.00,0.084
424.00,0.084
425.00,0.084
426.00,0.083
427.00,0.083
428.00,0.082
429.00,0.082
430.00,0.082
431.00,0.081
432.00,0.081
433.00,0.080
434.00,0.080
435.00,0.080
436.00,0.079
437.00,0.079
438.00,0.079
439.00,0.078
440.00,0.078
441.00,0.078
442.00,0.077
443.00,0.077
444.00,0.077
445.00,0.076
446.00,0.076
447.00,0.076
448.00,0.075
449.00,0.075
450.00,0.075
451.00,0.074
452.00,0.074
453.00,0.074
454.00,0.074
455.00,0.073
456.00,0.073
457.00,0.073
458.00,0.073
459.00,0.072
460.00,0.072
461.00,0.072
462.00,0.071
463.00,0.071
464.00,0.071
465.00,0.071
466.00,0.071
467.00,0.070
468.00,0.070
469.00,0.070
470.00,0.070
471.00,0.069
472.00,0.069
473.00,0.069
474.00,0.069
475.00,0.068
476.00,0.068
477.00,0.068
478.00,0.068
479.00,0.068
480.00,0.067
481.00,0.067
482.00,0.067
483.00,0.067
484.00,0.066
485.00,0.066
486.00,0.066
487.00,0.066
488.00,0.066
489.00,0.065
490.00,0.065
