"UnibroueTroisPistoles100x - RawData"
"Wavelength nm.","Abs."
190.00,2.716
191.00,3.022
192.00,2.952
193.00,3.011
194.00,3.206
195.00,3.101
196.00,3.129
197.00,3.261
198.00,3.264
199.00,3.262
200.00,3.263
201.00,3.222
202.00,3.169
203.00,3.026
204.00,2.983
205.00,2.858
206.00,2.727
207.00,2.615
208.00,2.493
209.00,2.378
210.00,2.275
211.00,2.173
212.00,2.079
213.00,1.985
214.00,1.898
215.00,1.818
216.00,1.739
217.00,1.662
218.00,1.587
219.00,1.515
220.00,1.446
221.00,1.383
222.00,1.323
223.00,1.266
224.00,1.207
225.00,1.151
226.00,1.096
227.00,1.040
228.00,0.985
229.00,0.934
230.00,0.885
231.00,0.840
232.00,0.800
233.00,0.763
234.00,0.730
235.00,0.702
236.00,0.677
237.00,0.656
238.00,0.639
239.00,0.624
240.00,0.612
241.00,0.602
242.00,0.595
243.00,0.590
244.00,0.586
245.00,0.584
246.00,0.583
247.00,0.582
248.00,0.582
249.00,0.582
250.00,0.584
251.00,0.585
252.00,0.587
253.00,0.589
254.00,0.591
255.00,0.594
256.00,0.596
257.00,0.598
258.00,0.599
259.00,0.600
260.00,0.600
261.00,0.600
262.00,0.601
263.00,0.601
264.00,0.601
265.00,0.601
266.00,0.601
267.00,0.600
268.00,0.598
269.00,0.596
270.00,0.593
271.00,0.589
272.00,0.585
273.00,0.581
274.00,0.576
275.00,0.571
276.00,0.564
277.00,0.557
278.00,0.549
279.00,0.541
280.00,0.532
281.00,0.523
282.00,0.514
283.00,0.504
284.00,0.493
285.00,0.482
286.00,0.471
287.00,0.460
288.00,0.449
289.00,0.438
290.00,0.427
291.00,0.416
292.00,0.406
293.00,0.397
294.00,0.389
295.00,0.382
296.00,0.375
297.00,0.369
298.00,0.363
299.00,0.357
300.00,0.352
301.00,0.347
302.00,0.342
303.00,0.338
304.00,0.334
305.00,0.330
306.00,0.326
307.00,0.322
308.00,0.318
309.00,0.314
310.00,0.310
311.00,0.307
312.00,0.303
313.00,0.300
314.00,0.296
315.00,0.293
316.00,0.290
317.00,0.286
318.00,0.283
319.00,0.280
320.00,0.276
321.00,0.273
322.00,0.269
323.00,0.266
324.00,0.262
325.00,0.259
326.00,0.255
327.00,0.251
328.00,0.248
329.00,0.244
330.00,0.240
331.00,0.236
332.00,0.232
333.00,0.228
334.00,0.225
335.00,0.222
336.00,0.218
337.00,0.215
338.00,0.211
339.00,0.208
340.00,0.205
341.00,0.200
342.00,0.196
343.00,0.193
344.00,0.190
345.00,0.187
346.00,0.183
347.00,0.181
348.00,0.178
349.00,0.175
350.00,0.172
351.00,0.170
352.00,0.167
353.00,0.165
354.00,0.162
355.00,0.160
356.00,0.157
357.00,0.155
358.00,0.153
359.00,0.151
360.00,0.148
361.00,0.147
362.00,0.145
