"VoxPopuliAnna50x - RawData"
"Wavelength nm.","Abs."
190.00,3.157
191.00,3.548
192.00,3.511
193.00,3.667
194.00,3.914
195.00,3.962
196.00,3.780
197.00,3.878
198.00,3.765
199.00,3.915
200.00,3.909
201.00,3.931
202.00,3.826
203.00,3.895
204.00,3.827
205.00,3.908
206.00,3.834
207.00,3.918
208.00,3.942
209.00,3.985
210.00,3.953
211.00,3.904
212.00,3.798
213.00,3.866
214.00,3.868
215.00,3.677
216.00,3.440
217.00,3.377
218.00,3.239
219.00,3.109
220.00,2.939
221.00,2.784
222.00,2.673
223.00,2.527
224.00,2.403
225.00,2.272
226.00,2.146
227.00,2.016
228.00,1.890
229.00,1.777
230.00,1.667
231.00,1.572
232.00,1.486
233.00,1.409
234.00,1.344
235.00,1.289
236.00,1.243
237.00,1.204
238.00,1.173
239.00,1.148
240.00,1.130
241.00,1.116
242.00,1.108
243.00,1.103
244.00,1.102
245.00,1.103
246.00,1.105
247.00,1.110
248.00,1.115
249.00,1.121
250.00,1.129
251.00,1.137
252.00,1.146
253.00,1.155
254.00,1.163
255.00,1.171
256.00,1.179
257.00,1.185
258.00,1.190
259.00,1.192
260.00,1.195
261.00,1.197
262.00,1.198
263.00,1.200
264.00,1.201
265.00,1.201
266.00,1.200
267.00,1.198
268.00,1.196
269.00,1.190
270.00,1.182
271.00,1.172
272.00,1.161
273.00,1.146
274.00,1.131
275.00,1.113
276.00,1.096
277.00,1.077
278.00,1.056
279.00,1.034
280.00,1.012
281.00,0.988
282.00,0.961
283.00,0.933
284.00,0.903
285.00,0.873
286.00,0.845
287.00,0.817
288.00,0.788
289.00,0.759
290.00,0.728
291.00,0.699
292.00,0.674
293.00,0.652
294.00,0.632
295.00,0.615
296.00,0.600
297.00,0.586
298.00,0.573
299.00,0.561
300.00,0.550
301.00,0.541
302.00,0.532
303.00,0.525
304.00,0.517
305.00,0.510
306.00,0.504
307.00,0.497
308.00,0.491
309.00,0.485
310.00,0.480
311.00,0.474
312.00,0.469
313.00,0.464
314.00,0.459
315.00,0.454
316.00,0.449
317.00,0.444
318.00,0.439
319.00,0.433
320.00,0.428
321.00,0.422
322.00,0.416
323.00,0.410
324.00,0.403
325.00,0.397
326.00,0.390
327.00,0.383
328.00,0.376
329.00,0.369
330.00,0.361
331.00,0.354
332.00,0.346
333.00,0.339
334.00,0.331
335.00,0.323
336.00,0.316
337.00,0.309
338.00,0.301
339.00,0.294
340.00,0.287
341.00,0.278
342.00,0.270
343.00,0.263
344.00,0.256
345.00,0.250
346.00,0.243
347.00,0.237
348.00,0.231
349.00,0.225
350.00,0.219
351.00,0.214
352.00,0.208
353.00,0.203
354.00,0.198
355.00,0.193
356.00,0.188
357.00,0.184
358.00,0.179
359.00,0.175
360.00,0.171
361.00,0.167
362.00,0.164
363.00,0.160
364.00,0.157
365.00,0.154
366.00,0.151
367.00,0.148
368.00,0.145
369.00,0.143
370.00,0.140
371.00,0.137
372.00,0.135
373.00,0.133
374.00,0.130
375.00,0.128
376.00,0.126
377.00,0.124
378.00,0.122
379.00,0.120
380.00,0.118
381.00,0.116
382.00,0.114
383.00,0.113
384.00,0.111
385.00,0.109
386.00,0.108
387.00,0.106
388.00,0.105
389.00,0.103
390.00,0.102
391.00,0.101
392.00,0.099
393.00,0.098
394.00,0.097
395.00,0.096
396.00,0.095
397.00,0.094
398.00,0.093
399.00,0.092
400.00,0.091
401.00,0.090
402.00,0.089
403.00,0.089
404.00,0.088
405.00,0.087
406.00,0.087
407.00,0.086
408.00,0.085
409.00,0.084
410.00,0.084
411.00,0.083
412.00,0.082
413.00,0.082
414.00,0.081
415.00,0.081
416.00,0.080
417.00,0.080
418.00,0.080
419.00,0.079
420.00,0.079
421.00,0.078
422.00,0.078
423.00,0.078
424.00,0.077
425.00,0.077
426.00,0.076
427.00,0.076
428.00,0.076
429.00,0.075
430.00,0.075
431.00,0.074
432.00,0.074
433.00,0.074
434.00,0.073
435.00,0.073
436.00,0.073
437.00,0.073
438.00,0.072
439.00,0.072
440.00,0.072
441.00,0.072
442.00,0.071
443.00,0.071
444.00,0.071
445.00,0.070
446.00,0.070
447.00,0.070
448.00,0.070
449.00,0.069
450.00,0.069
451.00,0.069
452.00,0.069
453.00,0.069
454.00,0.068
455.00,0.068
456.00,0.068
457.00,0.068
458.00,0.067
459.00,0.067
460.00,0.067
461.00,0.067
462.00,0.067
463.00,0.066
464.00,0.066
465.00,0.066
466.00,0.066
467.00,0.066
468.00,0.065
469.00,0.065
470.00,0.065
471.00,0.065
472.00,0.065
473.00,0.064
474.00,0.064
475.00,0.064
476.00,0.064
477.00,0.064
478.00,0.064
479.00,0.063
480.00,0.063
481.00,0.063
482.00,0.063
483.00,0.062
484.00,0.062
485.00,0.062
486.00,0.062
487.00,0.062
488.00,0.062
489.00,0.061
490.00,0.061
491.00,0.061
492.00,0.061
493.00,0.061
494.00,0.061
495.00,0.061
496.00,0.060
497.00,0.060
498.00,0.060
499.00,0.060
500.00,0.060
501.00,0.060
502.00,0.060
503.00,0.059
504.00,0.059
505.00,0.059
506.00,0.059
507.00,0.059
508.00,0.059
509.00,0.059
510.00,0.058
511.00,0.058
512.00,0.058
513.00,0.058
514.00,0.058
515.00,0.058
516.00,0.058
517.00,0.058
518.00,0.058
519.00,0.057
520.00,0.057
521.00,0.057
522.00,0.057
523.00,0.057
524.00,0.057
525.00,0.057
526.00,0.057
527.00,0.057
528.00,0.057
529.00,0.056
530.00,0.056
531.00,0.056
532.00,0.056
533.00,0.056
534.00,0.056
535.00,0.056
536.00,0.056
537.00,0.056
538.00,0.056
539.00,0.055
540.00,0.055
541.00,0.055
542.00,0.055
543.00,0.055
544.00,0.055
545.00,0.055
546.00,0.055
547.00,0.055
548.00,0.055
549.00,0.055
550.00,0.055
551.00,0.055
552.00,0.054
553.00,0.054
554.00,0.054
555.00,0.054
556.00,0.054
557.00,0.054
558.00,0.054
559.00,0.054
560.00,0.054
561.00,0.054
562.00,0.054
563.00,0.054
564.00,0.054
565.00,0.054
566.00,0.054
567.00,0.054
568.00,0.054
569.00,0.054
570.00,0.053
571.00,0.053
572.00,0.053
573.00,0.053
574.00,0.053
575.00,0.053
576.00,0.053
577.00,0.053
578.00,0.053
579.00,0.053
580.00,0.053
581.00,0.053
582.00,0.053
583.00,0.053
584.00,0.053
585.00,0.053
586.00,0.053
587.00,0.053
588.00,0.053
589.00,0.053
590.00,0.053
591.00,0.053
592.00,0.053
593.00,0.053
594.00,0.053
595.00,0.053
596.00,0.053
597.00,0.053
598.00,0.053
599.00,0.053
600.00,0.053
601.00,0.053
602.00,0.053
603.00,0.053
604.00,0.053
605.00,0.053
606.00,0.053
607.00,0.053
608.00,0.053
609.00,0.052
610.00,0.053
611.00,0.052
612.00,0.052
613.00,0.052
614.00,0.052
615.00,0.052
616.00,0.052
617.00,0.052
618.00,0.052
619.00,0.052
620.00,0.052
621.00,0.052
622.00,0.052
623.00,0.052
624.00,0.052
625.00,0.052
626.00,0.052
627.00,0.052
628.00,0.052
629.00,0.052
630.00,0.052
631.00,0.052
632.00,0.052
633.00,0.052
634.00,0.052
635.00,0.052
636.00,0.052
637.00,0.052
638.00,0.051
639.00,0.052
640.00,0.052
641.00,0.052
642.00,0.052
643.00,0.052
644.00,0.052
645.00,0.051
646.00,0.051
647.00,0.051
648.00,0.052
649.00,0.052
650.00,0.051
651.00,0.052
652.00,0.052
653.00,0.051
654.00,0.051
655.00,0.051
656.00,0.051
657.00,0.051
658.00,0.051
659.00,0.051
660.00,0.051
661.00,0.052
662.00,0.051
663.00,0.051
664.00,0.051
665.00,0.051
666.00,0.051
667.00,0.051
668.00,0.051
669.00,0.051
670.00,0.051
671.00,0.051
672.00,0.051
673.00,0.051
674.00,0.051
675.00,0.051
676.00,0.051
677.00,0.051
678.00,0.051
679.00,0.051
680.00,0.051
681.00,0.051
682.00,0.051
683.00,0.051
684.00,0.051
685.00,0.051
686.00,0.051
687.00,0.051
688.00,0.051
689.00,0.051
690.00,0.051
691.00,0.051
692.00,0.051
693.00,0.051
694.00,0.051
695.00,0.051
696.00,0.051
697.00,0.051
698.00,0.051
699.00,0.051
700.00,0.051
701.00,0.052
702.00,0.052
703.00,0.052
704.00,0.052
705.00,0.052
706.00,0.052
707.00,0.052
708.00,0.052
709.00,0.052
710.00,0.052
711.00,0.052
712.00,0.052
713.00,0.052
714.00,0.052
715.00,0.053
716.00,0.053
717.00,0.053
718.00,0.053
719.00,0.053
720.00,0.054
721.00,0.054
722.00,0.054
723.00,0.054
724.00,0.054
725.00,0.055
726.00,0.055
727.00,0.055
728.00,0.056
729.00,0.056
730.00,0.057
731.00,0.057
732.00,0.058
733.00,0.058
734.00,0.058
735.00,0.059
736.00,0.059
737.00,0.059
738.00,0.059
739.00,0.060
740.00,0.060
741.00,0.060
742.00,0.060
743.00,0.060
744.00,0.060
745.00,0.060
746.00,0.060
747.00,0.060
748.00,0.060
749.00,0.060
750.00,0.060
751.00,0.060
752.00,0.060
753.00,0.060
754.00,0.060
755.00,0.060
756.00,0.060
757.00,0.060
758.00,0.060
759.00,0.060
760.00,0.060
761.00,0.060
762.00,0.059
763.00,0.059
764.00,0.059
765.00,0.059
766.00,0.059
767.00,0.059
768.00,0.059
769.00,0.059
770.00,0.059
771.00,0.059
772.00,0.059
773.00,0.059
774.00,0.059
775.00,0.059
776.00,0.059
777.00,0.059
778.00,0.058
779.00,0.058
780.00,0.058
781.00,0.058
782.00,0.058
783.00,0.058
784.00,0.058
785.00,0.058
786.00,0.058
787.00,0.058
788.00,0.057
789.00,0.057
790.00,0.057
791.00,0.057
792.00,0.057
793.00,0.057
794.00,0.057
795.00,0.057
796.00,0.057
797.00,0.057
798.00,0.056
799.00,0.056
800.00,0.056
801.00,0.056
802.00,0.056
803.00,0.056
804.00,0.056
805.00,0.056
806.00,0.056
807.00,0.056
808.00,0.056
809.00,0.056
810.00,0.056
811.00,0.056
812.00,0.056
813.00,0.056
814.00,0.056
815.00,0.056
816.00,0.056
817.00,0.056
818.00,0.056
819.00,0.056
820.00,0.056
821.00,0.057
822.00,0.057
823.00,0.057
824.00,0.057
825.00,0.058
826.00,0.058
827.00,0.059
828.00,0.059
829.00,0.060
830.00,0.060
831.00,0.061
832.00,0.061
833.00,0.062
834.00,0.062
835.00,0.062
836.00,0.062
837.00,0.063
838.00,0.063
839.00,0.063
840.00,0.063
841.00,0.063
842.00,0.063
843.00,0.063
844.00,0.063
845.00,0.063
846.00,0.064
847.00,0.064
848.00,0.064
849.00,0.064
850.00,0.064
851.00,0.064
852.00,0.064
853.00,0.064
854.00,0.064
855.00,0.064
856.00,0.065
857.00,0.065
858.00,0.065
859.00,0.065
860.00,0.065
861.00,0.065
862.00,0.065
863.00,0.065
864.00,0.065
865.00,0.065
866.00,0.066
867.00,0.066
868.00,0.066
869.00,0.066
870.00,0.066
871.00,0.066
872.00,0.066
873.00,0.067
874.00,0.067
875.00,0.067
876.00,0.067
877.00,0.067
878.00,0.068
879.00,0.068
880.00,0.068
881.00,0.068
882.00,0.069
883.00,0.069
884.00,0.069
885.00,0.069
886.00,0.069
887.00,0.070
