"BerlinerWeissAleSure50x - RawData"
"Wavelength nm.","Abs."
190.00,2.779
191.00,3.004
192.00,3.028
193.00,3.177
194.00,3.504
195.00,3.455
196.00,3.348
197.00,3.264
198.00,3.427
199.00,3.439
200.00,3.164
201.00,3.093
202.00,3.012
203.00,2.845
204.00,2.701
205.00,2.556
206.00,2.426
207.00,2.292
208.00,2.164
209.00,2.049
210.00,1.948
211.00,1.852
212.00,1.762
213.00,1.680
214.00,1.600
215.00,1.528
216.00,1.459
217.00,1.393
218.00,1.329
219.00,1.267
220.00,1.207
221.00,1.152
222.00,1.097
223.00,1.041
224.00,0.985
225.00,0.930
226.00,0.874
227.00,0.817
228.00,0.761
229.00,0.707
230.00,0.657
231.00,0.610
232.00,0.567
233.00,0.528
234.00,0.494
235.00,0.465
236.00,0.439
237.00,0.417
238.00,0.399
239.00,0.383
240.00,0.370
241.00,0.360
242.00,0.352
243.00,0.346
244.00,0.341
245.00,0.337
246.00,0.335
247.00,0.333
248.00,0.332
249.00,0.331
250.00,0.331
251.00,0.331
252.00,0.332
253.00,0.332
254.00,0.333
255.00,0.334
256.00,0.335
257.00,0.337
258.00,0.338
259.00,0.339
260.00,0.340
261.00,0.341
262.00,0.342
263.00,0.343
264.00,0.344
265.00,0.344
266.00,0.344
267.00,0.343
268.00,0.342
269.00,0.341
270.00,0.339
271.00,0.337
272.00,0.335
273.00,0.332
274.00,0.329
275.00,0.325
276.00,0.321
277.00,0.316
278.00,0.310
279.00,0.305
280.00,0.299
281.00,0.294
282.00,0.288
283.00,0.282
284.00,0.275
285.00,0.268
286.00,0.261
287.00,0.255
288.00,0.248
289.00,0.242
290.00,0.236
291.00,0.229
292.00,0.223
293.00,0.217
294.00,0.212
295.00,0.208
296.00,0.204
297.00,0.200
298.00,0.197
299.00,0.194
300.00,0.190
301.00,0.188
302.00,0.185
303.00,0.183
304.00,0.181
305.00,0.179
306.00,0.177
307.00,0.176
308.00,0.174
309.00,0.173
310.00,0.172
311.00,0.171
312.00,0.170
313.00,0.169
314.00,0.168
315.00,0.168
316.00,0.167
317.00,0.166
318.00,0.165
319.00,0.165
320.00,0.164
321.00,0.163
322.00,0.162
323.00,0.161
324.00,0.160
325.00,0.158
326.00,0.157
327.00,0.156
328.00,0.154
329.00,0.153
330.00,0.151
331.00,0.149
332.00,0.147
333.00,0.145
334.00,0.143
335.00,0.142
336.00,0.140
337.00,0.138
338.00,0.136
339.00,0.134
340.00,0.133
341.00,0.129
342.00,0.127
343.00,0.125
344.00,0.123
345.00,0.121
346.00,0.119
347.00,0.117
348.00,0.115
349.00,0.114
350.00,0.112
351.00,0.110
352.00,0.108
353.00,0.107
354.00,0.105
355.00,0.103
356.00,0.102
357.00,0.101
358.00,0.099
359.00,0.098
360.00,0.096
361.00,0.095
362.00,0.094
363.00,0.093
364.00,0.092
365.00,0.091
366.00,0.090
367.00,0.089
368.00,0.088
369.00,0.087
370.00,0.086
371.00,0.085
372.00,0.084
373.00,0.084
374.00,0.083
375.00,0.082
376.00,0.081
377.00,0.081
378.00,0.080
379.00,0.079
380.00,0.079
381.00,0.079
382.00,0.078
383.00,0.077
384.00,0.077
385.00,0.077
386.00,0.076
387.00,0.076
388.00,0.075
389.00,0.075
390.00,0.075
391.00,0.074
392.00,0.074
393.00,0.074
394.00,0.073
395.00,0.073
396.00,0.073
397.00,0.073
398.00,0.072
399.00,0.072
400.00,0.072
401.00,0.072
402.00,0.071
403.00,0.071
404.00,0.071
405.00,0.071
406.00,0.070
407.00,0.070
408.00,0.070
409.00,0.070
410.00,0.070
411.00,0.069
412.00,0.069
413.00,0.069
414.00,0.069
415.00,0.069
416.00,0.068
417.00,0.069
418.00,0.069
419.00,0.068
420.00,0.068
421.00,0.068
422.00,0.068
423.00,0.068
