"VroodenHelle50x - RawData"
"Wavelength nm.","Abs."
190.00,2.755
191.00,3.345
192.00,3.582
193.00,3.389
194.00,3.337
195.00,3.379
196.00,3.692
197.00,3.751
198.00,3.663
199.00,3.739
200.00,3.709
201.00,3.777
202.00,3.653
203.00,3.660
204.00,3.807
205.00,3.632
206.00,3.528
207.00,3.350
208.00,3.386
209.00,3.251
210.00,3.112
211.00,3.050
212.00,2.918
213.00,2.795
214.00,2.660
215.00,2.544
216.00,2.443
217.00,2.337
218.00,2.226
219.00,2.118
220.00,2.017
221.00,1.922
222.00,1.831
223.00,1.740
224.00,1.648
225.00,1.560
226.00,1.473
227.00,1.384
228.00,1.298
229.00,1.219
230.00,1.144
231.00,1.076
232.00,1.014
233.00,0.960
234.00,0.914
235.00,0.875
236.00,0.841
237.00,0.814
238.00,0.791
239.00,0.773
240.00,0.758
241.00,0.747
242.00,0.739
243.00,0.733
244.00,0.729
245.00,0.727
246.00,0.727
247.00,0.727
248.00,0.729
249.00,0.731
250.00,0.734
251.00,0.738
252.00,0.742
253.00,0.746
254.00,0.750
255.00,0.755
256.00,0.759
257.00,0.762
258.00,0.764
259.00,0.765
260.00,0.766
261.00,0.767
262.00,0.768
263.00,0.770
264.00,0.771
265.00,0.772
266.00,0.772
267.00,0.771
268.00,0.769
269.00,0.766
270.00,0.762
271.00,0.757
272.00,0.752
273.00,0.744
274.00,0.736
275.00,0.726
276.00,0.715
277.00,0.702
278.00,0.688
279.00,0.673
280.00,0.657
281.00,0.641
282.00,0.623
283.00,0.604
284.00,0.583
285.00,0.562
286.00,0.542
287.00,0.523
288.00,0.502
289.00,0.481
290.00,0.459
291.00,0.438
292.00,0.420
293.00,0.403
294.00,0.390
295.00,0.378
296.00,0.367
297.00,0.358
298.00,0.349
299.00,0.341
300.00,0.334
301.00,0.328
302.00,0.323
303.00,0.319
304.00,0.314
305.00,0.310
306.00,0.307
307.00,0.303
308.00,0.300
309.00,0.297
310.00,0.294
311.00,0.292
312.00,0.290
313.00,0.288
314.00,0.286
315.00,0.283
316.00,0.281
317.00,0.279
318.00,0.277
319.00,0.274
320.00,0.272
321.00,0.269
322.00,0.266
323.00,0.263
324.00,0.261
325.00,0.258
326.00,0.254
327.00,0.251
328.00,0.247
329.00,0.243
330.00,0.239
331.00,0.235
332.00,0.231
333.00,0.227
334.00,0.223
335.00,0.218
336.00,0.214
337.00,0.210
338.00,0.206
339.00,0.201
340.00,0.197
341.00,0.192
342.00,0.187
343.00,0.183
344.00,0.179
345.00,0.176
346.00,0.171
347.00,0.168
348.00,0.164
349.00,0.160
350.00,0.156
351.00,0.152
352.00,0.149
353.00,0.146
354.00,0.142
355.00,0.139
356.00,0.136
357.00,0.133
358.00,0.130
359.00,0.127
360.00,0.124
361.00,0.122
362.00,0.119
363.00,0.117
364.00,0.115
365.00,0.113
366.00,0.111
367.00,0.109
368.00,0.107
369.00,0.105
370.00,0.103
371.00,0.101
372.00,0.099
373.00,0.098
374.00,0.096
375.00,0.095
376.00,0.093
377.00,0.092
378.00,0.090
379.00,0.089
380.00,0.087
381.00,0.086
382.00,0.085
383.00,0.084
384.00,0.083
385.00,0.082
386.00,0.081
387.00,0.080
388.00,0.079
389.00,0.078
390.00,0.077
391.00,0.076
392.00,0.075
393.00,0.075
394.00,0.074
395.00,0.073
396.00,0.072
397.00,0.072
398.00,0.071
399.00,0.071
400.00,0.070
401.00,0.069
402.00,0.069
403.00,0.068
404.00,0.068
405.00,0.067
406.00,0.067
407.00,0.067
408.00,0.066
409.00,0.066
410.00,0.065
411.00,0.065
412.00,0.065
413.00,0.064
414.00,0.064
415.00,0.064
416.00,0.063
417.00,0.063
418.00,0.063
419.00,0.063
420.00,0.062
421.00,0.062
422.00,0.062
423.00,0.061
424.00,0.061
425.00,0.061
426.00,0.061
427.00,0.060
428.00,0.060
429.00,0.060
430.00,0.060
431.00,0.059
432.00,0.059
433.00,0.059
434.00,0.059
435.00,0.058
436.00,0.058
437.00,0.058
438.00,0.058
439.00,0.058
440.00,0.058
441.00,0.057
442.00,0.057
443.00,0.057
444.00,0.057
445.00,0.057
446.00,0.056
447.00,0.056
448.00,0.056
449.00,0.056
450.00,0.056
451.00,0.056
452.00,0.056
453.00,0.055
454.00,0.055
455.00,0.055
456.00,0.055
457.00,0.055
458.00,0.055
459.00,0.055
460.00,0.054
461.00,0.054
462.00,0.054
463.00,0.054
464.00,0.054
465.00,0.054
466.00,0.054
467.00,0.053
468.00,0.053
469.00,0.053
470.00,0.053
471.00,0.053
472.00,0.053
473.00,0.053
474.00,0.053
475.00,0.052
476.00,0.052
477.00,0.052
478.00,0.052
479.00,0.052
480.00,0.052
481.00,0.052
482.00,0.052
483.00,0.051
484.00,0.051
485.00,0.051
486.00,0.051
487.00,0.051
488.00,0.051
489.00,0.051
490.00,0.051
491.00,0.051
492.00,0.051
493.00,0.051
494.00,0.050
495.00,0.050
496.00,0.050
497.00,0.050
498.00,0.050
499.00,0.050
500.00,0.050
501.00,0.050
502.00,0.050
503.00,0.049
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.049
508.00,0.049
509.00,0.049
510.00,0.049
511.00,0.049
512.00,0.049
513.00,0.049
514.00,0.049
515.00,0.049
516.00,0.048
517.00,0.048
518.00,0.048
519.00,0.048
520.00,0.048
521.00,0.048
522.00,0.048
523.00,0.048
524.00,0.048
525.00,0.048
526.00,0.048
527.00,0.048
528.00,0.048
529.00,0.048
530.00,0.048
531.00,0.047
532.00,0.047
533.00,0.047
534.00,0.047
535.00,0.047
536.00,0.047
537.00,0.047
538.00,0.047
539.00,0.047
540.00,0.047
541.00,0.047
542.00,0.047
543.00,0.047
544.00,0.047
545.00,0.047
546.00,0.046
547.00,0.047
548.00,0.046
549.00,0.046
550.00,0.046
551.00,0.046
552.00,0.046
553.00,0.046
554.00,0.046
555.00,0.046
556.00,0.046
557.00,0.046
558.00,0.046
559.00,0.046
560.00,0.046
561.00,0.046
562.00,0.046
563.00,0.046
564.00,0.046
565.00,0.046
566.00,0.046
567.00,0.046
568.00,0.045
569.00,0.045
570.00,0.045
571.00,0.045
572.00,0.045
573.00,0.045
574.00,0.045
575.00,0.045
576.00,0.045
577.00,0.045
578.00,0.045
579.00,0.045
580.00,0.045
581.00,0.045
582.00,0.045
583.00,0.045
584.00,0.045
585.00,0.045
586.00,0.045
587.00,0.045
588.00,0.045
589.00,0.045
590.00,0.045
591.00,0.045
592.00,0.045
593.00,0.045
594.00,0.045
595.00,0.045
596.00,0.045
597.00,0.045
598.00,0.045
599.00,0.045
600.00,0.045
601.00,0.045
602.00,0.045
603.00,0.045
604.00,0.045
605.00,0.045
606.00,0.045
607.00,0.045
608.00,0.045
609.00,0.045
610.00,0.045
611.00,0.044
612.00,0.044
613.00,0.044
614.00,0.044
615.00,0.044
616.00,0.044
617.00,0.044
618.00,0.044
619.00,0.044
620.00,0.044
621.00,0.044
622.00,0.044
623.00,0.044
624.00,0.044
625.00,0.044
626.00,0.044
627.00,0.044
628.00,0.044
629.00,0.044
630.00,0.044
631.00,0.044
632.00,0.044
633.00,0.044
634.00,0.044
635.00,0.044
636.00,0.044
637.00,0.044
638.00,0.044
639.00,0.044
640.00,0.044
641.00,0.044
642.00,0.044
643.00,0.044
644.00,0.044
645.00,0.044
646.00,0.044
647.00,0.044
648.00,0.044
649.00,0.044
650.00,0.043
651.00,0.043
652.00,0.044
653.00,0.044
654.00,0.044
655.00,0.043
656.00,0.044
657.00,0.044
658.00,0.044
659.00,0.043
660.00,0.043
661.00,0.044
662.00,0.043
663.00,0.043
664.00,0.043
665.00,0.043
666.00,0.043
667.00,0.043
668.00,0.043
669.00,0.043
670.00,0.043
671.00,0.043
672.00,0.043
673.00,0.043
674.00,0.043
675.00,0.043
676.00,0.043
677.00,0.043
678.00,0.043
679.00,0.043
680.00,0.043
681.00,0.043
682.00,0.043
683.00,0.043
684.00,0.043
685.00,0.043
686.00,0.043
687.00,0.043
688.00,0.043
689.00,0.043
690.00,0.043
691.00,0.043
692.00,0.043
693.00,0.043
694.00,0.043
695.00,0.043
696.00,0.043
697.00,0.043
698.00,0.043
699.00,0.043
700.00,0.043
701.00,0.043
702.00,0.043
703.00,0.043
704.00,0.043
705.00,0.044
706.00,0.044
707.00,0.044
708.00,0.044
709.00,0.044
710.00,0.044
711.00,0.044
712.00,0.044
713.00,0.044
714.00,0.044
715.00,0.044
716.00,0.045
717.00,0.045
718.00,0.045
719.00,0.045
720.00,0.045
721.00,0.046
722.00,0.046
723.00,0.046
724.00,0.046
725.00,0.046
726.00,0.047
727.00,0.047
728.00,0.047
729.00,0.048
730.00,0.048
731.00,0.049
732.00,0.049
733.00,0.050
734.00,0.050
735.00,0.050
736.00,0.051
737.00,0.051
738.00,0.051
739.00,0.051
740.00,0.051
741.00,0.051
742.00,0.051
743.00,0.052
744.00,0.052
745.00,0.051
746.00,0.051
747.00,0.051
748.00,0.051
749.00,0.052
750.00,0.051
751.00,0.051
752.00,0.051
753.00,0.051
754.00,0.051
755.00,0.051
756.00,0.051
757.00,0.051
758.00,0.051
759.00,0.051
760.00,0.052
761.00,0.051
762.00,0.051
763.00,0.051
764.00,0.051
765.00,0.051
766.00,0.051
767.00,0.051
768.00,0.051
769.00,0.051
770.00,0.051
771.00,0.051
772.00,0.051
773.00,0.051
774.00,0.051
775.00,0.051
776.00,0.051
777.00,0.050
778.00,0.050
779.00,0.050
780.00,0.050
781.00,0.050
782.00,0.050
783.00,0.050
784.00,0.050
785.00,0.050
786.00,0.050
787.00,0.049
788.00,0.049
789.00,0.049
790.00,0.049
791.00,0.049
792.00,0.049
793.00,0.049
794.00,0.049
795.00,0.049
796.00,0.048
797.00,0.048
798.00,0.048
799.00,0.048
800.00,0.048
801.00,0.048
802.00,0.048
803.00,0.048
804.00,0.048
805.00,0.048
806.00,0.048
807.00,0.048
808.00,0.048
809.00,0.048
810.00,0.048
811.00,0.048
812.00,0.048
813.00,0.048
814.00,0.048
815.00,0.048
816.00,0.048
817.00,0.048
818.00,0.048
819.00,0.048
820.00,0.048
821.00,0.048
822.00,0.049
823.00,0.049
824.00,0.049
825.00,0.049
826.00,0.050
827.00,0.050
828.00,0.051
829.00,0.051
830.00,0.052
831.00,0.052
832.00,0.053
833.00,0.053
834.00,0.054
835.00,0.054
836.00,0.054
837.00,0.054
838.00,0.054
839.00,0.054
840.00,0.055
841.00,0.055
842.00,0.055
843.00,0.055
844.00,0.055
845.00,0.055
846.00,0.055
847.00,0.055
848.00,0.056
849.00,0.056
850.00,0.056
851.00,0.056
852.00,0.056
853.00,0.056
854.00,0.056
855.00,0.056
856.00,0.056
857.00,0.056
858.00,0.057
859.00,0.057
860.00,0.057
861.00,0.057
862.00,0.057
863.00,0.057
864.00,0.057
865.00,0.057
866.00,0.057
867.00,0.058
868.00,0.058
869.00,0.058
870.00,0.058
871.00,0.058
872.00,0.058
873.00,0.058
874.00,0.059
875.00,0.059
876.00,0.059
877.00,0.059
878.00,0.059
879.00,0.060
880.00,0.060
881.00,0.060
882.00,0.060
883.00,0.061
884.00,0.061
885.00,0.061
886.00,0.061
