"VroodenSchwartzbier_100x - RawData"
"Wavelength nm.","Abs."
190.00,2.660
191.00,2.770
192.00,2.883
193.00,3.054
194.00,3.125
195.00,3.094
196.00,3.010
197.00,3.104
198.00,3.095
199.00,3.039
200.00,3.000
201.00,2.909
202.00,2.896
203.00,2.823
204.00,2.698
205.00,2.596
206.00,2.472
207.00,2.381
208.00,2.293
209.00,2.191
210.00,2.112
211.00,2.032
212.00,1.952
213.00,1.872
214.00,1.802
215.00,1.736
216.00,1.669
217.00,1.606
218.00,1.545
219.00,1.485
220.00,1.426
221.00,1.372
222.00,1.318
223.00,1.265
224.00,1.213
225.00,1.163
226.00,1.114
227.00,1.064
228.00,1.017
229.00,0.973
230.00,0.931
231.00,0.892
232.00,0.857
233.00,0.824
234.00,0.796
235.00,0.771
236.00,0.750
237.00,0.731
238.00,0.715
239.00,0.701
240.00,0.689
241.00,0.680
242.00,0.672
243.00,0.667
244.00,0.663
245.00,0.660
246.00,0.658
247.00,0.656
248.00,0.656
249.00,0.655
250.00,0.656
251.00,0.657
252.00,0.658
253.00,0.660
254.00,0.661
255.00,0.662
256.00,0.664
257.00,0.665
258.00,0.666
259.00,0.666
260.00,0.667
261.00,0.667
262.00,0.668
263.00,0.668
264.00,0.669
265.00,0.669
266.00,0.669
267.00,0.669
268.00,0.668
269.00,0.667
270.00,0.665
271.00,0.663
272.00,0.661
273.00,0.659
274.00,0.655
275.00,0.651
276.00,0.646
277.00,0.640
278.00,0.634
279.00,0.627
280.00,0.619
281.00,0.612
282.00,0.603
283.00,0.594
284.00,0.585
285.00,0.574
286.00,0.564
287.00,0.554
288.00,0.543
289.00,0.532
290.00,0.521
291.00,0.509
292.00,0.499
293.00,0.489
294.00,0.480
295.00,0.472
296.00,0.464
297.00,0.457
298.00,0.450
299.00,0.443
300.00,0.437
301.00,0.430
302.00,0.424
303.00,0.418
304.00,0.412
305.00,0.406
306.00,0.400
307.00,0.394
308.00,0.388
309.00,0.382
310.00,0.377
311.00,0.371
312.00,0.366
313.00,0.361
314.00,0.356
315.00,0.351
316.00,0.346
317.00,0.342
318.00,0.337
319.00,0.332
320.00,0.327
321.00,0.323
322.00,0.318
323.00,0.314
324.00,0.309
325.00,0.304
326.00,0.300
327.00,0.295
328.00,0.291
329.00,0.287
330.00,0.282
331.00,0.278
332.00,0.274
333.00,0.270
334.00,0.266
335.00,0.262
336.00,0.258
337.00,0.254
338.00,0.251
339.00,0.247
340.00,0.244
341.00,0.239
342.00,0.236
343.00,0.232
344.00,0.228
345.00,0.226
346.00,0.223
347.00,0.220
348.00,0.216
349.00,0.213
350.00,0.210
351.00,0.207
352.00,0.204
353.00,0.202
354.00,0.199
355.00,0.196
356.00,0.194
