"1","Target","Source","Distance"
"1","AlchimisteIPA50x","AlchimisteIPA50x.txt","4"
"1","HopfenstarkGose50x","HopfenstarkGose50x.txt","4"
"1","BeneluxCongo50x","BeneluxCongo50x.txt","4"
"1","2xBorealeBlanche50x","2xBorealeBlanche50x.txt","4"
"1","BeneluxMarginale100x","BeneluxMarginale100x.txt","4"
"1","LTMGrandeCuvee100x","LTMGrandeCuvee100x.txt","4"
"1","BorealeBlonde50x","BorealeBlonde50x.txt","4"
"1","LeCastorYakima50x","LeCastorYakima50x.txt","4"
"1","DDCRigorMortis50x","DDCRigorMortis50x.txt","4"
"1","DDCCorneduDiable50x","DDCCorneduDiable50x.txt","4"
"1","HelmduParc50x","HelmduParc50x.txt","4"
"1","HelmVanHorne50x","HelmVanHorne50x.txt","4"
"1","JukeboxNewWave50x","JukeboxNewWave50x.txt","4"
"1","EspacePubliqueBalcon50x","EspacePubliqueBalcon50x.txt","4"
"1","LTMMaibock50x","LTMMaibock50x.txt","4"
"1","VoxPopuliAnna50x","VoxPopuliAnna50x.txt","4"
"1","AlchimisteRousse50x","AlchimisteRousse50x.txt","4"
"1","BDMBunker50x","BDMBunker50x.txt","4"
"1","LTMGose50x","LTMGose50x.txt","4"
"1","BeneluxCongo50xBIS","BeneluxCongo50xBIS.txt","4"
"1","BorealeIPA50x","BorealeIPA50x.txt","4"
"1","EquinoxduPrintemps50x","EquinoxduPrintemps50x.txt","4"
"1","BeneluxEnfantRoi50x","BeneluxEnfantRoi50x.txt","4"
"1","BeneluxGaia50x","BeneluxGaia50x.txt","4"
"1","PitBonneAventure50x","PitBonneAventure50x.txt","4"
"1","BorealeBlanche50x","BorealeBlanche50x.txt","4"
"1","JukeboxJazz50x","JukeboxJazz50x.txt","4"
"1","LTMPorterBaltique100x","LTMPorterBaltique100x.txt","4"
"1","CharlesHenriPAA50x","CharlesHenriPAA50x.txt","4"
"1","BlanchedePrato50x","BlanchedePrato50x.txt","4"
"1","LagerBlondeCarling50x","LagerBlondeCarling50x.txt","4"
"1","Exploite100x","Exploite100x.txt","4"
"1","HelmStViateur100x","HelmStViateur100x.txt","4"
"1","Penombre100x","Penombre100x.txt","4"
"1","Lochness100xBIS","Lochness100xBIS.txt","4"
"1","BlondeAchouffe50x","BlondeAchouffe50x.txt","4"
"1","BruneAchouffe100x","BruneAchouffe100x.txt","4"
"1","MolsonBlancheBelge50x","MolsonBlancheBelge50x.txt","4"
"1","DeathValley50x","DeathValley50x.txt","4"
"1","BerlinerWeiss50x","BerlinerWeiss50x.txt","4"
"1","Moralite50x","Moralite50x.txt","4"
"1","UnibroueUblonde50x","UnibroueUBlonde50x.txt","6"
"1","BDMInterdite6050x","BDMInterdite6050x.txt","4"
"1","Nectareus100x","Nectareus100x.txt","4"
"1","BeneluxCuda100x","BeneluxCuda100x.txt","4"
"1","BeneluxSessionPrintemps50x","BeneluxSessionPrintemps50x.txt","4"
"1","StHoublonVinOrge100x","StHoublonVinOrge100x.txt","4"
"1","StHoublonIPABelge50x","StHoublonIPABelge50x.txt","4"
"1","StHoublonHefeweizen100x","StHoublonHefeweizen100x.txt","4"
"1","SuperPauseIPA50x","SuperPauseIPA50x.txt","4"
"1","StBockMalediction100x","StBockMalediction100x.txt","4"
"1","BDMLoccasion50x","BDMLoccasion50x.txt","4"
"1","VieuxMontrealRousse50x","VieuxMontrealRousse50x.txt","4"
"1","CharlevoixIPA50x","CharlevoixIPA50x.txt","4"
"1","GrosseIle50x","GrosseIle50x.txt","4"
"1","CoupGrisou100x","CoupGrisou100x.txt","4"
"1","Canon100x","Canon100x.txt","4"
"1","Lochness100x","Lochness100x.txt","4"
"1","ChevalBlancDouble100x","ChevalBlancDouble100x.txt","4"
