Beer	Fmax1	Fmax2	Fmax3	Fmax4	Fmax5	Fmax6	Fmax7	Fmax8
AlchimisteEcossaise50x	3507.17568087657	4458.8231294526	2154.16728664534	1612.56169463777	1517.97414067825	735.083010969999	855.636252720457	313.710178677172
BGBrumaire50x	5173.65555868635	4910.41073406547	292.106080120366	328.416191005454	267.337294626882	441.950940771827	109.138097460997	188.117405902642
BorealeIPA50x	3689.33403578551	5983.5891086463	1214.59511855043	643.432539428904	507.68794319835	361.923563303986	202.362106635059	176.102545046349
CharlevoixDominusTriple50x	4294.44953671415	5601.42790411923	813.84369460003	332.396505779691	219.900010250382	298.127904788567	81.4628417193966	187.423637835106
AlchimisteIPA50x	2293.64334040641	3481.12385998507	1419.96096692064	878.785208388166	751.380837433468	521.086028335368	361.979192339004	160.580675127683
HopfenstarkGose50x	2161.68587534318	2439.58143960803	2215.1416007128	128.519073567542	70.3529828779762	0.317262018306979	39.2690679710886	64.7685431864936
BDMDruide50x	4051.71845820914	5667.54063129109	1198.10156631235	753.84114564533	592.534800492502	470.410170750142	294.835159512641	157.168036619218
SMRousse50x	2445.59469180064	4518.52226891472	1792.719201184	1023.0031314107	841.47572550271	437.690436832657	494.514985535421	173.896914519123
BeneluxCongo50x	4098.9052916234	6268.53606666784	1262.35868829173	647.207448304119	482.233212930873	522.962533234303	215.422059412695	252.594557077359
BorealeBlanche50x	2554.92250598003	3704.38477243513	827.18150468473	282.330264130943	140.260512603175	96.4157930298344	66.5410310476816	116.449299737521
BeneluxMarginale100x	165.630825087928	3877.28194148161	3057.85509744387	1911.43343908966	1275.21227153594	644.819559801224	698.485432863632	22.1277886924152
LTMGrandeCuvee100x	3239.00185933258	6924.78562793781	3287.45421539673	2449.36754555836	1943.81618477223	1091.23586312155	1078.6717437782	222.700183251632
BorealeBlonde50x	2836.36877035182	4269.80500662258	891.140795464255	322.715574949983	207.126858323347	108.974795949884	94.7931793818067	132.514094304976
LeCastorYakima50x	4219.79132753304	5381.30227949143	792.167568947208	463.598381231343	330.694421635446	309.821676500445	119.090905281301	224.70314084676
BorealeDoubleBlanche50x	3688.23235439691	5260.07709650027	1236.58537684207	562.207486976134	320.291537004394	179.437143007695	135.066408311046	151.470708386509
DDCSentinelle50x	2937.14881487659	4563.78773229871	1001.51840166009	308.111532988738	178.220871684646	89.1149048765513	90.3348939642264	191.553965178136
BorealeIPA50x	2443.15885445459	4221.00704638113	1358.61396066454	657.742302653685	393.797236190671	177.642832245184	195.15156712024	98.9792719474208
CharlevoixDominusTriple50x	4294.44953707274	5601.42790403491	813.843694367009	332.396505893698	219.900010305639	298.127904635982	81.462841706728	187.423637745991
BorealeRousse50x	2898.73321605069	4671.72884723899	1177.35635993743	597.979591415795	427.537084436585	242.15812246239	202.977272778859	140.803097547636
SMSaisonSession50x	2146.25016997489	2616.73411154612	452.28064357015	161.450036794161	100.040755058462	170.477453355944	45.4370225031913	69.0117872445815
DDCRigorMortis50x	3723.88329201154	6256.32093165794	1850.68705385065	993.970304558926	1009.60327294049	826.321957449108	517.939478180099	302.888915950227
DDCCorneduDiable50x	3321.91316472038	5263.38834661775	1948.11366794021	949.372896787315	881.407466485068	622.072374865743	416.078888924541	239.954724177945
DDCRoseedHibiscus50x	4687.71131071311	5121.9661360372	1705.52604061227	766.236269321088	301.312470909749	78.8511059216028	101.663000670376	255.512946962216
McAuslanPorterBaltique100x	3253.2695592677	8742.83858806709	4954.95852691589	3002.48066125658	2972.50933020239	1274.67141694031	1585.3072314729	623.580537655947
DDCRoutedesEpices100x	2735.13489414887	5854.3340075235	2045.69498297979	1080.09000397596	813.153588178358	520.869804926415	461.340730884486	171.104298001683
BockaleScotchAle100x	6328.29325959832	9682.61063413043	2893.56330966869	2149.81220165332	1695.33113155984	935.514229300956	801.90333753179	265.75041495715
FramptonBrasseNuitdAutomne50x	5204.81180304293	10061.1533872787	2999.48954792046	1109.13518638573	2458.92782508894	1278.57928063975	1259.12865405167	1279.92596240354
HelmHutchiBlondie50x	4583.02474552424	5851.67346604262	628.600013832664	386.692291870846	278.676646349268	262.884863771692	119.411598406437	229.952502455582
HelmParc50x	2000.55518914308	4366.4981924119	1273.01119407514	820.484851334614	672.720603348265	542.134304880728	344.910884583663	152.475478211604
HelmVanHorne50x	3785.30185673132	6181.84284513453	1334.34258638704	861.344996484581	764.42435402275	896.885637257764	304.758852244182	299.339741844154
JukeboxNewWave50x	3502.15798945024	5081.13404721396	850.680145004737	348.542252492592	201.573212468172	213.115934160159	93.2585957225097	184.054373695272
EspacePubliqueBalcon50x	1531.50580880904	2116.05978139788	1194.47336826983	151.285925399465	105.740980262099	54.2643364947301	64.4922308881169	113.140464734353
LTMAPA50x	1952.9275628746	3842.77389328832	916.794094801601	412.087100504515	264.159593041193	381.446707551512	122.105950764972	169.506078575527
LSJGuimbarde50x	3163.91000926981	3253.29843193661	839.431425603078	549.864876486461	418.791652400767	276.610665317453	247.656247243997	155.56012047457
LTMMaibock50x	5680.29900680969	7644.37146543377	1235.98293470955	607.61698673597	431.25132019045	584.530214704997	120.028601098681	259.076647690501
VoxPopuliAnna50x	5939.03625836923	7091.26807609585	1104.84884189034	641.336190150315	663.676856955251	636.498815071239	264.45805929589	388.407778180465
MonsBelge100x	4200.14033933948	6634.89685895133	2376.36436892673	1663.44043426497	1162.62567759329	644.822757238994	586.100844726188	187.726348581955
BilboquetBrownAle100x	2038.26643719281	4190.76045821439	1917.1795078685	1324.82265350404	883.761403192477	569.68812051321	447.885726311593	87.1427585635055
SMIPA50x	2852.79386941521	3639.36235061447	996.102342240336	842.614440617397	350.801515864774	230.99968457439	97.797773484118	130.986470878109
