000_Brasserie,Bière,Type,Malt,Blé,Houblon,Seigle,Fleurs,Avoine,Ingrédient,Goût,S'agence avec,Type de contenant,,,,,,,,,,,,,,,,,,,
3 mousquetaireas,Rousse,Lager Rousse,,,,,,,Non spécifié,Caramélisé,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
3 mousquetaires,Grande cuvée,Porter baltique (lager noire),,,,,,,"Malt (Pilsner, Munich, Cara60/160), blé, avoine, carafa, malt fumée, houblons (perle, mandarina bavaria, cascade du québec)","Chocolat noir, boisé, bourbon, brandy, noix","Viandes fumées, chocolat, pralines, fromage fort",Bouteille brune 750,,,,,,,,,,,,,,,,,,,
3 mousquetaires,Gose,Ale acidulée,,,,,,,"Malt, Pilsner, blé, houblon","Limonade surette, coriandre, sel de mer","Pad thai, salades vertes, fromage de chèvre",bouteille brune (375mL),,,,,,,,,,,,,,,,,,,
Bénélux,Cuda,IPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bénélux,Marginale,Dry Stout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bénélux,Gaïa,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bénélux,Enfant-roi,Saison sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bénélux,Congo,IPA belge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bénélux,Session Printemps,Session IPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boréal,Double blanche du lac,Double blanche,,,,,,,Non spécifié,,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Brasseur du monde,L'exploité,Stout,1,,3,,,,Café moka et cacao,,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Brasseur du monde,L'interdite 60,APA,,,,,,,Non spécifié,,"Boeuf, fromage, poulet, poisson, cochon",Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Brasseur du monde,L'interdite 90,APA,,,,,,,Non spécifié,"Notes florales et herbacées, agrumes","Chocolat, fromage, gâteau, brochette, piments",,,,,,,,,,,,,,,,,,,,
Brasseur du monde,Druide,Saison,,,,,,,Non spécifié,"Sèche et herbacée, poivr, romarin et achillée millefeuille","Poulet, cochone, betterave, champignon, fromage, tarte",Bouteille brune 500,,,,,,,,,,,,,,,,,,,
Brasseur du monde,Bunker,IPA,,,,,,,Houblon mozaïc,"agrume, fruit de la passion, ","Steak, fromage, poulet, poisson, cochon, cheeseburger",Bouteille brune 500,,,,,,,,,,,,,,,,,,,
Charles-Henri,Ale Ambrée,Ambrée,,,,,,,,,,Bouteille brune 500,,,,,,,,,,,,,,,,,,,
Charlevoix,Dominus Vobiscum Triple,Blonde,,,,,,,"orge malté, sucre, houblon",,,Bouteille brune 500,,,,,,,,,,,,,,,,,,,
Charlevoix,IPA,IPA belge,,,,,,,"Orge malté, houblon, levures",,,Bouteille brune 500,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Routes des épices,,1,,,,,,"Orge malté, seigle, poivres houblon",Poivre,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Blanche du paradis,Blanche,,1,1,,,1,"orge malté, blé malté, blé, avoine, houblons, épices",,,"ÉCHANTILLON PERDU, À REFAIRE",,,,,,,,,,,,,,,,,,,
Dieu du ciel,Corne du diable,IPA,1,,,,,,"Orge malté, blé houblon",,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Moralité,IPA,,,,,,,"Houblon (Simcoe, citra, centennial) et orge maltée",,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Rigor mortis,Brune style abbaye,,,,,,,"Orge malté, blé, houblon",Fruits rouges et épices,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Rosée d'Hibiscus,Blanche,,1,,,1,,"Orge malté, blé, blé malté, hibiscus, houblons, épices",,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Pénombre,Black IPA,,,,,,,"Orge malté, blé, houblon",,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Dieu du ciel,Sentinelle,blonde style kolsch,,,,,,,"Orge malté, blé, houblon",légèrement fruité,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Frampton,Nuit d'automne,Brune,1,0,1,,,,Malt houblon,Caramélisé,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Helm,St-Viateur,Stout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helm,Hutchi-blondi,IPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helm,Du parc,Rousse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'espace public,Bière de balcon,Sure framboises,,,,,,,Non spécifié,Framboise surette,,canette,,,,,,,,,,,,,,,,,,,
Molson coors,Belgian moon,blanche blege,,,,,,,Blé blanc et avoine,Zeste d'orange et coriandre,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
Pit Caribou,Bonne aventure,Rousse,,,,,,,,,,Bouteille brune 500,,,,,,,,,,,,,,,,,,,
Pit Caribou,Blanche de pratto,Blanche,,,,,,,,,,Bouteille brune 500,,,,,,,,,,,,,,,,,,,
Riverbend,Berliner Weisse,berliner weisse,,,,,,,Non spécifié,"Pamplemousse, ananas et fruit de la passion",,canette (473mL),,,,,,,,,,,,,,,,,,,
RJ,Brune d'achouffe,Brune,,,,,,,,,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
RJ,Lochness,,,,,,,,,,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
RJ,Cheval blanc double,Blanche,,,,,,,,,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
RJ,Canon,,,,,,,,,,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
RJ,Coup de grisou,Blanche,,,,,,,,,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
RJ,Blonde d'achouffe,Blonde,,,,,,,,,,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
St-Ambroise,Porter baltic,Porter Baltique,6,,3,,,,"Malt (pâle 2 rangs, Vienna, carabohemiam, crystal foncé, chocolat, caraaroma), houblon (nugget, golding, willamette)","Caramel, touche chocolat et réglisse",,Bouteille brune 341,,,,,,,,,,,,,,,,,,,
St-Houblon,Vin d'orge,Vin d'orge,,,,,,,,,,Fut,,,,,,,,,,,,,,,,,,,
St-Houblon,IPA belge,IPA,,,,,,,,,,Fut,,,,,,,,,,,,,,,,,,,
St-Houblon,Hefeweizen,Blanche,,,,,,,,,,Fut,,,,,,,,,,,,,,,,,,,
