"1","Target","Source","Distance"
"1","AlchimistRousse50x","CDOM/01.AlchimistRousse50x.txt","12"
"1","BunkerIPA50x","CDOM/02.BunkerIPA50x.txt","12"
"1","LTMGose50x","CDOM/03.LTMGose50x.txt","12"
"1","BlancheBelgeMolson50x","CDOM/04.BlancheBelgeMolson50x.txt","12"
"1","DeathValley50x","CDOM/05.DeathValley50x.txt","12"
"1","BerlinerWeiss50x","CDOM/06.BerlinerWeiss50x.txt","12"
"1","Exploite100x","CDOM/11.Exploite100x.txt","12"
"1","StViateur100x","CDOM/12.StViateur100x.txt","12"
"1","Penombre100x","CDOM/13.Penombre100x.txt","12"
"1","Lochness100BIS","CDOM/09.Lochness100x.txt","16"
"1","BlondeAchouffe100x","CDOM/15.BlondeAchouffe.txt","14"
"1","BruneAchouffe100x","CDOM/16.BruneAchouffe.txt","14"
"1","Moralite50x","CDOM/17.Moralite50x.txt","12"
"1","Ublonde50x","CDOM/18.UBlonde50x.txt","14"
"1","Interdite6050x","CDOM/19.Interdite6050x.txt","12"
"1","VieuxMontrealRousse50x","CDOM/20.VieuxMontrealRousse50x.txt","12"
"1","ChalevoixIPA50x","CDOM/21.ChalevoixIPA50x.txt","12"
"1","GrosseIle50x","CDOM/22.GrosseIle50x.txt","12"
"1","VinOrgeStHoublon100x","CDOM/23.VinOrgeStHoublon100x.txt","12"
"1","IPABelgeStHoublon50x","CDOM/24.IPABelgeStHoublon50x.txt","12"
"1","HefeweizenStHoublon100x","CDOM/25.HefeweizenStHoublon100x.txt","12"
"1","CharlesHenriPAA50x","CDOM/ChalesHenriPAA50x.txt","10"
"1","BlancheDePreto50x","CDOM/BlancheDePreto50x.txt","9"
"1","LagerBlondeCarling50x","CDOM/LagerBlondeCarling50x.txt","9"
"1","EnfantRoiBenelux50x","CDOM/EnfantRoiBenelux50x.txt","9"
"1","GaiaBenelux50x","CDOM/GaiaBenelux50x.txt","9"
"1","BonneAventurePit50x","CDOM/BonneAventurePit50x.txt","9"
"1","Nectareus100x","CDOM/Nectareus100x.txt","9"
"1","Luda100x","CDOM/Luda100x.txt","9"
"1","SessionIPABenelux50x","CDOM/SessionIPABenelux50x.txt","9"
"1","SuperPauseIPA50x","CDOM/SuperPauseIPA50x.txt","9"
"1","MaledictionStbock100x","CDOM/MaledictionStBock100x.txt","11"
"1","LoccasionBDM50x","CDOM/LoccasionBDM50x.txt","9"
"1","CoupGrisou100x","CDOM/07.CoupGrisou100x.txt","12"
"1","Canon100x","CDOM/08.Canon100x.txt","12"
"1","Lochness100x","CDOM/09.Lochness100x.txt","12"
"1","ChevalBlancDouble100x","CDOM/10.ChevalBlancDouble100x.txt","12"
